standardized_disease,list_of_diseases_fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf_fuzzy_tfidf_fuzzy_tfidf
gangguan pendengaran,['gangguan pendengaran']
gangguan peradangan okular,['gangguan peradangan okular']
gangguan pernapasan,"['sekretolitik', 'gangguan saluran pernafasan akut kronik', 'gangguan pernafasan', 'gangguan saluran pernafasan', 'gangguan saluran nafas akut kronis', 'gangguan saluran nafas akut', 'gangguan saluran pernafasan disebabkan dahak mukus', 'gangguan pernapasan akut kronis', 'gangguan saluran nafas khronik', 'gangguan saluran napa', 'gangguan saluran pernafasan kronik', 'gangguan pernapasan', 'gangguan saluran pernapasan', 'gangguan saluran pernapasan akut kronik', 'gangguan saluran nafas kronis', 'gangguan saluran pernafasan akut', 'gangguan di saluran pernafasan', 'gangguan saluran pernapasan alergi dermatologi serta gangguan inflamasi ocular', 'gangguan pernafasan akibat rokok', 'sekretolitik gangguan saluran napa akut khronik', 'gangguan saluran napa akut khronik']"
gangguan prostat,['gangguan prostat']
gangguan saluran gastrointestinal,"['gangguan gi', 'gi', 'gangguan gi mual']"
gangguan saluran kemih,"['gangguan saluran kemih bagian bawah berhubungan dengan hiperplasia prostat jinak', 'gangguan saluran kemih bagian bawah']"
gangguan saraf,"['gangguan saraf', 'gangguan sistem syaraf', 'gangguan faal saraf wajah', 'gangguan saraf perifer', 'gangguan sistem saraf perifer', 'gangguan sistem saraf tepi']"
gangguan serebral,"['serebrovaskular', 'gangguan serebrovaskular', 'gejala serebrovaskular', 'gangguan serebral', 'serebral periferal', 'vasospasme serebral', 'periferal serebral']"
gangguan sirkulasi,"['gangguan sirkulasi serebralpada otak', 'sirkulasi serebral perifer', 'gangguan peredaran darah serebral perifer', 'gangguan sistem sirkulasi perifer', 'sirkulasi perifer', 'kelainan sirkulasi perifer serebral', 'gangguan peredaran darah', 'gangguan peredaran darah kakivarises', 'gangguan sirkulasi darah perifer serebral', 'gangguan aliran darah', 'gangguan peredaran darah perifer', 'gangguan peredaran darah kaki', 'gangguan sirkulasi', 'peredaran darah otak', 'gangguan sirkulasi serebral otak', 'gangguan peredaran darah otak', 'gangguan sirkulasi serebral', 'gangguan peredaran darah otak perifer', 'gangguan sirkulasi darah otak', 'gangguan sirkulasi darah perifer', 'gangguan sirkulasi perifer', 'gangguan sirkulasi darah pembuluh darah tepi', 'membantu sirkulasi darah', 'gangguan sirkulasi perifer arteriopati organik', 'arteriopati organik', 'gangguan sirkulasi serebral vestibular']"
gangguan spastik,"['gangguan spastik saluran empedu', 'gangguan spastik saluran cerna', 'gangguan spastik', 'gangguan spastik saluran kemih', 'gangguan spastik saluran genital wanita']"
gangguan tidur,"['gangguan tidur', 'gangguan ritme tidur', 'sulit tidur', 'gangguan irama tidur', 'susah tidur', 'gangguan sulit tidur']"
gangguan tropik,"['gangguan trofik', 'gangguan tropik']"
gangguan tulang,"['gangguan statik fungsional tulang', 'gangguan tulang']"
gangguan vestibular,"['gangguan vaskular vestibular', 'gangguan vestibular']"
gangrene,"['ganggren', 'gangrene']"
gastritis,"['gastritis alkoholisme khronik', 'gastristis', 'gastritis kronik', 'gastritis tukak lambung tukak usus dua belas jari', 'antasida gastritis', 'penuh lambung gastritis', 'gastritis', 'ulkus gastritis', 'gastritis kronis', 'gastritis kronik sd 8 minggu']"
gastroenteritis,"['gastroenteritis anak', 'gastroenteritis', 'gastroenteritis bayi']"
gastroparesis,"['gastroparesis akut dan berulang', 'gastroparesis', 'gastroparesis diabetikum', 'gastroparesis diabetikum akut berulang', 'gastroparesis berulang', 'gastroparesis akut', 'gastroparesis diabetikum akut rekuren', 'gastroparesis akut berulang']"
gatal,"['sakit gigi gatal gatal', 'gatalgatal', 'gatal tidak nyaman vagina', 'penyakit kulit selasela jari', 'gatal', 'gatalgatal selangkangan paha', 'gatal daerah anogenital', 'gatal gatal', 'rasa gatal', 'gatalgatal kaki', 'gatalgatal disebabkan oleh infeksi jamur', 'gatal rektal', 'gatalgatal sela jari selangkangan', 'gatalgatal selasela jari kaki', 'inflamasi gatal gatal', 'gatal jamur kulit', 'gatal2', 'gatal kulit', 'urtikaria gatal gatal', 'gatal dengan luka ringan']"
gerd,"['esofagitis erosif', 'reflux esofagitis', 'esofagitis erosifulseratif', 'refluks esofagitis erosif atau ulseratif', 'reflux esophagitis sedang berat', 'reflux gastroesofagitis', 'inflamasi esofagus', 'refluks esofagitis berat', 'refluks gastroesofagus', 'inflamasi esofagus refluks esofagus', 'refluks gastroesofagus erosif', 'simtomatik gerd', 'reflux esofagitis erosifulseratif', 'refluks esophagitis', 'reflux esophagitis sedang dan berat', 'refluks esofagitis', 'refluks esofagitis erosif', 'refluks gastroesofagitis', 'refluks esofagitis erosif ulseratif', 'gastroesophageal reflux disease', 'refluks gastroesofagus yang erosif', 'reflucks esofagitis', 'gastroesophageal reflux disease gerd', 'refluks esofagus', 'gerd', 'refluks esofagitis erosifulseratif']"
giardiasis,"['giardia lambliasis', 'giardiasis', 'giardia']"
gigi berlubang,['gigi berlubang']
gigitan serangga,"['gatalgatal akibat gigitan serangga dan nyamuk', 'gatalgatal gigitan serangga nyamuk', 'gatalgatal akibat gigitan serangga nyamuk', 'gatalgatal akibat gigitan serangga atau nyamuk', 'serangga', 'gatal gatal gigit serangga', 'gatal gigitan serangga', 'gatalgatal gigitan serangga', 'gigitan nyamuk  serangga', 'gatal gigitan serangga nyamuk', 'gatalgatal karena gigitan serangga atau nyamuk', 'gatal karena biang keringet udara panas gigitan serangga', 'gatal akibat gigitan seranggga', 'gigitan nyamukserangga', 'digigit serangga', 'gatal karena gigitan serangga', 'gatal  gatal gigit serangga', 'gigitan nyamuk serangga', 'gatalgatal karena gigitan serangga', 'gigitan nyamuk', 'gatalgatal akibat digigit serangga', 'gatal biang keringet udara panas gigitan serangga', 'gatalgatal akibat gigitan serangga', 'gatal gigitan serangga dan nyamuk', 'gatal akibat digigit serangga', 'gatal akibat gigitan serangga', 'gigitan serangga', 'gatalgatal akibat gigitan serangganyamuk', 'gigitan nyamuk/serangga', 'gigitan nyamuk bahkan nyamuk demam berdarah', 'gatal akibat gigitan nyamukserangga']"
glaukoma,"['glaukoma sekunder', 'aphakic glukoma', 'glaukoma sudut terbuka', 'glaukoma sudut terbuka khronis', 'glaukoma sudut  terbuka hipertensi okular', 'glukoma', 'glaukoma sudut tertutup', 'glaukoma simplek kronis', 'glukoma sudut terbuka kronis', 'glaukoma sudut  terbuka khronis', 'glaukoma sudut terbuka hipertensi okular', 'glaukoma sudut  terbuka', 'glaukoma sudutterbuka', 'glaukoma', 'glaukoma sudut terbuka kronis']"
gonore,"['gonore tidak terkomplikasi', 'gonorea', 'gonorrhea komplikasi', 'uretritis gonore', 'gonore akut', 'eritritis pielonefritis gonore', 'go akut', 'gonorrhoea akut tidak terkomplikasi', 'n gonorrhoae', 'n gonorrhoea', 'gonorhea yang tidak terkomplikasi infeksi kulit dan jaringan lunak', 'gonore komplikasi', 'gonorrhoea tidak terkomplikasi', 'uretritis gonore servisitis komplikasi', 'gonorrhoeae', 'neisseria gonorrhoea', 'gonorhea tidak terkomplikasi infeksi kulit jaringan lunak', 'gonorrhoea', 'gogonorea tanpa komplikasi', 'gonorea tanpa komplikasi', 'go', 'uretritis servisitis gonore', 'gonore', 'gonorrhoea acute tidak terkomplikasi', 'gonorrhea', 'uretritis non gonore', 'go infeksi']"
granuloma inguinale,['granuloma inguinale']
gusi bengkak,['gusi bengkak']
heartburn,"['heartburn', 'rasa panas ulu hati', 'panas ulu hati', 'rasa panas ulu hatikerongkongan akibat reflux esofagitis', 'rasa panas uluhati']"
hematoma,['hematoma']
hepatitis,"['profilaksis infeksi hepatitis', 'hepatitis', 'virus hepatitis b', 'hepatitis virus', 'hepatitis alkoholik']"
hepatitis b,"['virus hepatitis b kronik', 'hepatitis b kronik', 'infeksi virus hepatitis b kronik']"
hernia,"['hernia peptik', 'hernia']"
hernia hiatus,"['hiatus hernia', 'hiatus', 'hiatus hernis', 'hernia hiatus']"
hernia nukleus pulposus,['hernia neukleus pulposus']
herpes,"['virus herpes', 'herpes labialis', 'infeksi rekuren herpes labialis']"
herpes genital (herpes simplex),"['herpes ginital', 'infeksi rekuren herpes genital', 'infeksi virus herpes simpleks pada kulit dan selaput lendir', 'rekuren', 'herpes simpleks', 'herpes simplex dan zoster', 'herpes ginital awal', 'herpes simplek kulit', 'infeksi herpes simpleks kulit', 'herpes genitalis', 'infeksi awal herpes labialis', 'herpes simplex', 'infeksi virus herpes simpleks kulit selaput lendir', 'herpes genital', 'herpes genital awal dan rekuren', 'herpes simplex tipe 1  2', 'alergi kulit selaput lendir', 'infeksi herpes simpleks pada kulit', 'infeksi herpes simplex pada kulit', 'infeksi virus herpes simplex kulit membran mukosa', 'infeksi virus herpes simpleks kulit membran mukosa', 'pencegahan infeksi herpes simplex', 'herpes genital berulang', 'herpes simplex tipe 1 2', 'herpes genital awal  rekuren', 'infeksi awal herpes genital', 'herpes simplex zoster', 'supresi kekambuhan infeksi herpes simplex', 'herpes simplek pada kulit', 'infeksi herpes simplex kulit', 'herpes simplek', 'infeksi herpes simplex', 'virus herpes simpleks', 'herpes simplex tipe 1', 'herpes simplex tipe 2', 'herpes genital awal', 'herpes genital awal rekuren', 'infeksi virus herpes simpleks', 'herpes simpleks kulit membran mukosa', 'lichen simplek', 'herpes genital rekuren']"
herpes zoster,"['infeksi virus herpes zoster', 'herpes zoster', 'zoster']"
hidung tersumbat,"['hidung tersumbat/gatal', 'rasa gatal rongga hidung tenggorokan serta mata berair alergi', 'gatal hidung tenggorokan', 'gatal hidung', 'hidung berair tersumbat', 'tersumbat', 'hidung berair', 'hidung tersumbatgatal', 'hidung tersumbat pilek', 'tenggorokan hidung tersumbat', 'pilek gatal hidung', 'hidung tersumbat bersinbersin', 'hidung tersumbat']"
hiperasiditas gastrointestinal,"['hiperasiditas pencernaan', 'hiperasiditas lambung', 'hiperasiditas', 'hiperasiditas kembung', 'hiperasiditas gastrointestinal', 'hiperasiditas lambung saluran cerna']"
hiperemesis gravidarum,"['hiperemesis gravidarum muntahmuntah 3 kehamilan', 'hiperemesis gravidarum', 'emesis gravidarum']"
hiperglikemia,['hiperglikemia']
hiperkalemia,['hiperkalemia']
hiperkolesterolemia,"['hiperkolesterolemia familial heterozigot homozigot', 'hiperkolesterol primer', 'hiperkolesterolemia', 'hiperkolesterolemia primer tipe', 'hiperkolesterolemia familial heterozigot', 'hiperkolesterolemia hip', 'hiperkoleterolemia primer', 'hiperko - lesterolemia', 'hiperkolesterol primer tipe iia', 'hiperkolesterolemia primer tipe iia', 'hiperko lesterolemia', 'hiperkolesterolemia tipe iia', 'hiperkolsterolemia', 'hiperkolesterolemia primer', 'heterozigot familial', 'hiperkolesterolemia familial']"
hiperlipidemia,"['hiperlipidemia', 'hiperlipidemia kombinasi tipe iib ii', 'hiperlipidaemia', 'hiperlipidemia kombinasi campuran', 'hiperlipidemia campuran']"
hiperparatiroidisme,['hiperparatiroidisme']
hiperpigmentasi,"['hiperpigmentasi', 'hiperpigmentasi melamin', 'hiperpigmentasi melanin area kulit tidak', 'hiperpigmentasi melamin akibat pemakaian kontrasepsi oral', 'hiperpigmentasi kulit']"
hipersekresi,"['hipersekreasi', 'pengurangan asam lambung', 'hipersekresi', 'hipersekreksi', 'hipersekresi asam lambung', 'hipersekesi asam lambung']"
hipersekresi mukus,['hipersekresi mukus']
hipersekresi patologis,"['hipersekresiu patologik', 'hipersekresi patologi', 'hipersekrusi patologis', 'hipersekretori patologis', 'hipersekresi patologis lainnya', 'hipersekresi patologis', 'hiperseresi patologis', 'hipersekretori patologikal', 'hipersekreasi patologis']"
hipertensi,"['hipertensi maligna', 'hipertensi ringan', 'hipertensi', 'hipertensi nefrogenik', 'hipertensi renovaskuler', 'hipertensi esensial', 'tekanan darah', 'darah tinggi', 'hipertensi essensial', 'hipertensi esensial renovaskular', 'hipertensi berat', 'hipertensi essensial ringan', 'hipertensi dewasa', 'tekanan tinggi pembuluh darah arteri paruparu', 'hipertensi esensial ringan']"
hipertensi okuler,"['hipertensi okular', 'hipertensi okular responsif', 'hipertensi okuler', 'hipertensi mata', 'hipertensi okular tidak responsif']"
hipertensi pulmonal,['hipertensi pulmonal']
hiperurisemia,"['hiperurisemia primer', 'hiperurisemia sekunder', 'hiperurisemia', 'hiperuresemia']"
hipoalbuminemia,['hipoalbuminemia']
hipogalaksia,"['hipogalaksia sekunder', 'hipogalaksia']"
hipokalemia,['hipokalemia']
hipomagnesemia,"['hipomagnesia', 'hipomagnesemia']"
hipoparatiroid,['hipoparatiroidisme']
hipotensi,"['hipotensi okuler', 'hipotensi']"
hirsutisme,"['hirsutism', 'hirsutisme']"
histoplasmosis,"['hiptoplasmosis', 'histoplasmosis']"
iktiosis,"['iktiosis kulit kering', 'ikhtiosis', 'iktiosis']"
ileus paralitik,['ileus paralitik']
impetigo,"['impetigo', 'impetigo kontagiosa', 'impetigo go komplikasi', 'impetigo furunculosis', 'impetigo kontagiosum']"
impotensi,"['impotensi', 'impoten', 'impoten pria']"
imunisasi,['imunisasi']
infark,"['infark', 'infark akut']"
infark jantung,['infark jantung']
infark miokard,"['infark miokard', 'pasca infark miokard', 'infark miokardial', 'infark miokard akut', 'infark miokad']"
infark otak,"['infark otak', 'infark serebral']"
infeksi,"['infeksi ringan sedang', 'infeksi kandida mukosa lainnya', 'infeksi serius', 'infeksi2', 'infeksi lain disebabkan kuman gram sensitif', 'infeksi lainnya', 'infeksi berat terkomplikasi', 'infeksi akut', 'infeksi sedang', 'infeksi topikal', 'infeksi lain', 'infeksi rentan berat', 'infkesi', 'kuman', 'infeski', 'infeksi berat', 'infeksi eksternal', 'infeksi ringan', 'infeksi', 'infeksi kuman']"
infeksi bakteri,"['bakteri gr penyebab bakteremia', 'infeksi gram', 'bakteri gram positif', 'bakteri', 'bakteriuria asimptomatik masa hamil', 'infeksi bakteri anaerob serius', 'infeksi akibat bakteri pencernaan', 'infeksi mikobakterial tertentu', 'infeksi bakteri rentan', 'infeksi gram positif serius berat', 'infeksi gram positif gram negatif', 'infeksi disebabkan strain bakteri peka', 'infeksi bakteri anaerob sensitif', 'infeksi bakteri anaerob', 'infeksi berat disebabkan kuman gr gr', 'infeksi bakteri gr gr sal nafas', 'bakteriuria asimptomatik pada masa hamil', 'infeksi bakteri jamur fungi', 'infeksi serius disebabkan bakteri anaerob sensitif', 'bakteri gram negativ', 'infeksi mikobakterial', 'infeksi bakteri dan fungi pada mulut dan tenggorokan', 'infeksi akibat bakteri saluran kemih', 'infeksi bakteri fungi mulut tenggorokan', 'infeksi mikobakteri', 'infeksi bakteri dan jamur fungi', 'infeksi bakteri lipatan kulit', 'infeksi gram negatif', 'infeksi akibat bakteri', 'bakterial akut', 'infeksi bakteri yang rentan', 'infeksi serius disebabkan bakteri sensitif', 'infeksi berat disebabkan bakteri gram', 'gram negatif', 'infeksi bakteri sekunder bronkitis akut', 'bakteri gr  penyebab bakteremia', 'infeksi disebabkan oleh bakteri', 'bakteri gr', 'infeksi bakterial sekunder', 'infeksi bakteri', 'infeksi akibat bakteri saluran pernapasan', 'bakteri gram negatif', 'infeksi disebabkan oleh mikroorganisme gram positif gram negatif sensitif terhadap tetracyclin', 'infeksi serius bakteri anaerob', 'infeksi bakteri pada lipatan kulit', 'infeksi gram positif', 'bakteri anaerob', 'infeksi sekunder bakteri gram positif', 'eksaserbasi bakterial akut', 'bakterial', 'infeksi bakteri sensitif levofloxacin sinusitis', 'infeksi bakteri gram positif', 'infeksi anaerob', 'disebabkan oleh jamur bakteri mulut', 'infeksi bakteri sensitif moxifloxacin', 'infeksi disebabkan bakteri anaerob', 'infeksi kandungan eritis bakterial', 'anaerob', 'infeksi bakteri sekunder', 'infeksi bakteri gr gr  sal nafas', 'infeksi serius akibat bakteri anaerob', 'infeksi oleh bakteri', 'infeksi bakterial mata', 'infeksi gram positif negatif', 'infeksi akibat chlamydia trachomatis', 'bakteri endocarditis', 'infeksi gr serius berat']"
infeksi genital,"['infeksi anogenital', 'infeksi anogenital urethral', 'infeksi genital']"
infeksi gigi,['infeksi gigi']
infeksi ginjal,"['pielonefritis infeksi ginjal akut', 'pielonefritis akut', 'infeksi ginjal', 'pyelonephritis', 'pyelonephritis akut', 'infeksi pada ginjal', 'pielonefritis']"
infeksi helicobacter pylori,['infeksi bakteri helicobacter pylorus']
infeksi jamur,"['profilaksis infeksi jamur', 'jamur kuning', 'infeksi jamur ring worm kulit', 'infeksi jamur sistemik', 'infeksi jamur ringworm kulit rambut kuku disebabkan microsporum epidermophyton trichophyton', 'infeksi akibat jamur', 'infeksi jamur fungi', 'infeksi jamur ring  worm kulit', 'infeksi jamur kulit kulit kepala kuku', 'infeksi jamur pada kulit dengan inflamasiperadangan', 'jamur', 'infeksi jamur kandidiasis', 'infeksi jamur ringworm kulit  rambut kuku disebabkan microsporum  epidermophyton trichophyton', 'fungi', 'infeksi jamur', 'infeksi jamur kulit dengan inflamasiperadangan', 'infeksi jamur pada kulit kulit kepala dan kuku', 'infesi jamur', 'infeksi fungi', 'infeksi jamur tubuh']"
infeksi jamur kuku,"['infeksi jamur pada kuku', 'infeksi jamur kuku']"
infeksi jamur kulit,"['infeksi kuku kulit dermatofita', 'infeksi dermatofit', 'infeksi jamur kulit kepala', 'infeksi jamur kulit kuku', 'infeksi jamur kulit', 'infeksi dermatofita kuku kaki', 'infeksi di kulit  jaringan lunak', 'infeksi jamur lipatan kulit', 'infeksi jamur pada kulit dan kuku', 'dermatofita', 'infeksi jamur pada kulit', 'dermatofit', 'infeksi dermatofita kulit kuku tangan']"
infeksi jamur rambut,['infeksi jamur rambut']
infeksi kuku,['infeksi kuku']
infeksi kulit,"['infeksi kulit primer dan sekunder', 'infeksi kulit dan membran mukosa luar', 'infeksi kulit dan jaringan lunak tanpa komplikasi', 'infeksi basah kering kulit bayi', 'infeksi kulit sekunder', 'kulit infeksi', 'infeksi kulit pioderma', 'infeksi jarang lunak', 'infeksi kulit membran mukosa luar', 'infeksi kuku kulit', 'infeksi struktur kulit', 'infeksi sekunder kulit', 'infeksi kulit kepala demartitis sebaroik ringan', 'infeksi kulit termasuk herpes genital rekuren dan herpes labialis', 'infeksi kulit jar lunak terkomplikasi', 'mikosis kulit lain', 'infeksi kulit termasuk herpes genital rekuren', 'infeksi kulit primer akut', 'infeksi kulit lain', 'infeksi pada kulit', 'infeksi kulit primer sekunder', 'infeksi jaringan', 'infeksi kulit membran mukosa lokal', 'pioderma dermatitis infeksi sekunder', 'infeksi jaringan lunak', 'lesi kulit dengan infeksi primer sekunder oleh bakteri streptokokus', 'infeksi kulit primer maupun sekunder', 'infeksi serius jaringan lunak kulit', 'infeksi kulit lainnya', 'infeksi sekunder luka terbuka', 'infeksi kulit mukosa', 'pioderma primer sekunder', 'infeksi kulit jaringan lunak', 'pioderma gangrenosa', 'infeksi kulit jaringan lunak tanpa komplikasi', 'infeksi kulit dan strukturnya tanpa komplikasi', 'infeksi kulit struktur kulit', 'lesi kulit traumatik infeksi sekunder', 'terapi infeksi kulit', 'infeksi kulit lain organisme peka terhadap kloramfenikol', 'infeksi jaringan lunak kulit', 'pyoderma', 'infeksi mikotik kulit', 'infeksi kulit', 'infeksi kulit struktur kulit terkomplikasi', 'infeksi kulit termasuk herpes genital rekuren herpes labialis', 'infeksi kulit lain karena organisme yang peka terhadap kloramfenikol', 'kulit jar lunak infeksi serius', 'infeksi sekunder pyoderma', 'infeksi kulit struktur kulit tak terkomplikasi', 'infeksi kulit dan struktur kulit tak terkomplikasi', 'infeksi kulit dan jar lunak', 'infeksi kulit dan membran mukosa lokal', 'infeksi primer sekunder', 'infeksi jar lunak', 'infeksi kulit dan jaringan lunak', 'infeksi kulit kepala', 'infeksi kulit dan struktur kulit', 'infeksi kulit struktur kulit komplikasi', 'infeksi kulit jar lunak', 'pioderma', 'infeksi kulit primer', 'infeksi kulit struktur kulit tidak terkomplikasi', 'infeksi kulit jaringan luka', 'struktur kulit infeksi', 'infeksi kulit struktur kulit ringan terkomplikasi', 'infeksi kulit  jaringan lunak', 'infeksi kulit jelunak', 'infeksi mikotik kulit disebabkan candida albikans', 'infeksi kulit strukturnya tanpa komplikasi']"
infeksi lambung,['infeksi lambung']
infeksi luka,"['luka terinfeksi', 'infeksi luka', 'infeksi luka iris ringan minor', 'luka dengan infeksi']"
infeksi mata,"['infeksi pada mata', 'infeksi ocular', 'infeksi eksternal mata', 'infeksi mata eksternal bola mata', 'infeksi mata okular', 'infeksi okular', 'infeksi eksternal bola mata struktur terkait', 'infeksi mata disebabkan oleh bakteri gram negatif', 'infeksi mata']"
infeksi mikroorganisme,"['infeksi disebabkan mikroorganisme rentan', 'infeksi mikroorganisme', 'infeksi disebabkan mikroorganisme gram positif gram negatif organisme memproduksi penisillinase']"
infeksi mulut,"['infeksi jamur fungi rongga mulut tenggorokan', 'infeksi jamur rongga mulut', 'infeksi rongga mulut', 'infeksi mulut', 'infeksi jamur dalam rongga mulut']"
infeksi organisme,"['infeksi organisme', 'infeksi disebabkan organisme peka']"
infeksi paru-paru,"['infeksi paru-paru', 'infeksi paru']"
infeksi pasca operasi,"['luka paska operasi', 'infeksi luka operasi', 'infeksi pasca operasi', 'infeksi operasi esofangeal', 'infeksi sesudah operasi', 'infeksi operasi']"
infeksi pelvis,['infeksi pelvis']
infeksi perut,['infeksi perut']
infeksi protozoa,['infeksi protozoa']
infeksi rahim,['infeksi rahim']
infeksi salmonella,"['infeksi salmonele', 'salmonelosis', 'infeksi salmonella', 'infeksi disebabkan salmonella sp', 'salmonella', 'infeksi disebabkan oleh salmonella', 'infeksi yang disebabkan oleh salmonella sp', 'infeksi disebabkan oleh salmonella sp', 'salmonelosis infeksi urogenital', 'salmonella sp', 'infeksi salmonella sp sp', 'infeksi salmonella sp', 'infeksi disebabkan salmonella', 'infeksi salmonella spp', 'salmonellosis', 'salmonelosis  infeksi urogenital', 'infeksi yang disebabkan oleh salmonella']"
infeksi saluran kelamin,"['infeksi kelamin', 'kelamin infeksi', 'infeksi sal kelamin']"
infeksi saluran kemih,"['infeksi saluran gl', 'infeksi traktus genitourinary', 'komplikasi infeksi saluran kemih', 'saluran kemih kelamin infeksi kulit jaringan lunak', 'infeksi saluran kemih dengan komplikasi', 'infeksi sal gl', 'complicated urinary tract infection', 'isk terkomplikasi', 'infeksi saluran kemih kelamin', 'infeksi traktus urinarius', 'infeksi traktus urinarius pielonefritis', 'infeksi sal urogenital kemih kelamin', 'infeksi saluran kemih kompleks complicated urinary tract infection', 'infeksi saluran urogenital', 'isk terkomplikasi pielonefritis akut', 'infeksi sal kemih', 'saluran kemih kelamin infeksi', 'infeksi saluran kemih bagian bawah', 'isk', 'infeksi saluran genitourinari', 'isk pielonefritis ringan', 'infeksi akut non komplikata saluran kemih bagian bawah', 'infeksi saluran kemih kecuali prostatitis', 'infeksi saluran genitourinary', 'infeksi urogenital', 'infeksi saluran kemih', 'infeksi saluran kemih akut', 'infeksi saluran kemih  kelamin', 'infeksi saluran kemih komplikasi', 'infeksi saluran kencing', 'infeksi di saluran kemih', 'isk terkomlikasi', 'kelamin infeksi kulit jaringan lunak', 'infeksi saluran urinarius', 'infeksi saluran kemih tanpa komplikasi', 'infeksi saluran kemih tidak terkomplikasi disebabkan escherichia coli proteus mirabilis', 'infeksi saluran urin', 'saluran kemih organ genital wanita', 'infeksi pada saluran kemih', 'infeksi saluran kemih akut komplikasi', 'infeksi saluran kemih kompleks', 'infeksi saluran genitourinaria', 'infeksi saluram urinarius', 'infeksi bakteri saluran kemih', 'infeksi saluran kemih dan kelamin', 'isk komplikasi', 'infeksi saluran kelamin']"
infeksi saluran pencernaan,"['sal cerna tifoid paratifoid', 'infeksi pencernaan', 'lesi di saluran pencernaan', 'infeksi saluran cerna', 'infeksi sistem pencernaan', 'infeksi intraabdomen', 'infeksi intra abdomen komplikasi', 'infeksi intra abdomen', 'infeksi intraabdomen dengan komplikasi', 'infeksi intraabdomen komplikasi', 'infeksi abdomen', 'lesi saluran pencernaan', 'infeksi pernafasan saluran cerna', 'infeksi gut', 'infeksi sal cerna', 'proteus mirabilisinfeksi saluran pencernaan', 'infeksi intraabdominal', 'infeksi saluran cerna tifoid paratifoid', 'infeksi saluran pencernaan']"
infeksi saluran pernapasan,"['infeksi saluran nafas bagian atas dan bawah', 'infeksi saluran nafas dan tht', 'infeksi saluran pernapasan', 'infeksi saluran napas', 'infeksi ringan sedang sal nafas bawah atas kulit struktur kulit phs', 'infeksi saluran pernfasan bagian atas bawah', 'infeksi serius saluran nafas', 'infeksi saluran pernapasan atas', 'infeksi sal napa', 'infeksi saluran nafas dan bawah', 'infeksi saluran nafas bawah dan atas', 'infeksi ringan  sedang sal nafas bawah dan atas kulit dan struktur kulit phs', 'infeksi ringan saluran nafas', 'infeksi sal nafas bawah', 'infeksi saluran nafas bawah atas', 'infeksi saluran pernapasan bawah', 'infeksi saluran pernapasan atas bawah', 'infeksi saluran nafas akut khronik', 'infeksi saluran pencernaan saluran kemih', 'infeksi saluran napas atas bawah', 'infeksi saluran nafas bawah', 'infeksi saluran nafas', 'infeksi saluran napas atas dan bawah', 'infeksi saluran nafas akut dan kronik', 'saluran napas akut', 'infeksi saluran pernafasan bagian bawah', 'infeksi sal nafas atas', 'infeksi tht', 'infeksi saluran napas bawah', 'infeksi saluran pernafasan bawah', 'infeksi saluran pernapasan atas dan bawah', 'infeksi pernafasan', 'infeksi saluran nafas bagian atas bawah', 'saluran nafas atas', 'infeksi saluran nafas kecuali pneumonia strep hemolitikus', 'infeksi saluran napa akut kronik', 'infeksi saluran pernafasan bagian atas bawah', 'saluran nafas akut kronik', 'infeksi saluran pernafasan', 'infeksi saluran nafas akut kronik', 'infeksi mikroorganisme peka tht', 'infeksi saluran pernafasan bagian atas  bawah', 'tht', 'infeksi saluran nafas khronik', 'infeksi saluran nafas kulit dan jaringan lunak', 'infeksi virus sal napa', 'infeksi saluran napas atas', 'infeksi saluran nafas atas bawah', 'infeksi saluran nafas tht', 'infeksi sal nafas lainnya', 'infeksi traktus respiratorius', 'infeksi sal', 'infeksi serius disebabkan bakteri sensitif infeksi saluran nafas bawah', 'infeksi serius saluran nafas bag bwh', 'infeksi sal nafas atas bawah', 'infeksi saluran napa', 'infeksi saluran nafas kulit jaringan lunak', 'infeksi saluran napa akut', 'infeksi sal pernafasan atas', 'infeksi serius saluran nafas bag bawah', 'infeksi sal nafas atas dan bawah', 'infeksi sal nafas bakteri gr', 'infeksi sal nafas', 'infeksi saluran nafas kronik', 'infeksi sal nafas kulit', 'infeksi berat sal nafas', 'infeksi bakteri saluran pernafasan', 'sal nafas kecuali pneumonia strep', 'infeksi tht faringotonsilitis', 'infeksi saluran pernapasan bagian atas', 'infeksi saluran nafas akut', 'infeksi saluran pernapasan atas  bawah', 'infeksi saluran napas atas  bawah', 'infeksi saluran nafas atas', 'infeksi saluran nafas atas dan bawah', 'infeksi saluran nafas akut dan khronik', 'infeksi saluran pernafasan bagian atas']"
infeksi sekunder,"['komplikasi infeksi sekunder', 'infeksi sekunder']"
infeksi selaput lendir mulut,['infeksi selaput lendir mulut']
infeksi sendi,['infeksi sendi']
infeksi staphylococcus,"['infeksi staphylococcus', 'kuman e colidan staph', 'lesi kulit dengan infeksi primer sekunder oleh bakteri stafilokokus', 'pneumokakus staph peka', 'staph', 'staphyloccocus aureus', 'infeksi disebabkan staphylococcus', 'bakteri staph', 'staphylococcus', 'staphylococcusa aureus', 'infeksi serius staph', 'infeksi staph', 'staphylococcus aureus', 'luka terinfeksi disebabkan oleh staphylococcus aureus', 'staphylococci']"
