standardized_disease;list_of_diseases;tambahan manual
infeksi saluran kemih;['infeksi saluran kemih', 'infeksi pada saluran kemih', 'infeksi saluran kemih kelamin', 'infeksi saluran gl', 'infeksi di saluran kemih', 'infeksi saluran kemih kompleks', 'infeksi bakteri saluran kemih', 'saluran kemih kelamin infeksi', 'infeksi saluran kemih akut', 'infeksi sal kemih', 'infeksi saluran kelamin', 'infeksi saluran urin'];['infeksi saluran kemih', 'saluran kemih', 'saluran kemih  kelamin', 'saluran kemih  kelamin', 'saluran kemih dan kelamin', 'infeksi sal kelamin', 'infeksi sal urogenital kemih kelamin', 'infeksi saluram urinarius','infeksi saluran genitourinaria', 'infeksi saluran genitourinari', 'infeksi saluran genitourinary', 'infeksi saluran kemih  kelamin', 'infeksi saluran kemih akut komplikasi', 'infeksi saluran kemih bagian bawah', 'infeksi saluran kemih dan kelamin', 'infeksi saluran kemih dengan komplikasi', 'infeksi saluran kemih kecuali prostatitis', 'infeksi saluran kemih kompleks complicated urinary tract infection', 'infeksi saluran kemih komplikasi', 'infeksi saluran kemih tanpa komplikasi', 'infeksi saluran kemih tidak terkomplikasi disebabkan escherichia coli proteus mirabilis', 'infeksi saluran urinarius', 'infeksi saluran urogenital','saluran kemih kelamin', 'saluran kemih kelamin infeksi', 'saluran kemih kelamin infeksi kulit jaringan lunak', 'saluran kemih organ genital wanita', 'saluran kemih organ genital wanita dismenore', 'sal kemih','saluran urogenital', 'sal kemih dan kelamin', 'saluran kemihkelamin', 'infeksi di saluran kemih', 'infeksi saluran kelamin', 'infeksi sal kemih', 'infeksi saluran kemih akut', 'infeksi pada saluran kemih', 'infeksi saluran kencing', 'infeksi bakteri saluran kemih', 'infeksi saluran kemih kelamin', 'infeksi saluran urin', 'infeksi saluran kemih kompleks', 'infeksi saluran gl']
infeksi saluran pencernaan;['infeksi saluran pencernaan', 'infeksi saluran pernapasan', 'lesi di saluran pencernaan', 'infeksi saluran cerna', 'infeksi saluran pencernaan saluran kemih', 'infeksi saluran napa'];['infeksi saluran pencernaan', 'infeksi sal cerna','saluran pencernaan', 'saluran cerna', 'saluran cerna empedu', 'infeksi saluran cerna', 'sal cerna', 'sal cerna tifoid paratifoid', 'lesi di saluran pencernaan','sal pencernaan']
infeksi saluran pernapasan;['infeksi saluran pernapasan', 'infeksi saluran nafas', 'infeksi saluran pernapasan atas', 'alergi saluran pernapasan', 'infeksi saluran napas atas', 'infeksi saluran napas bawah', 'infeksi saluran napas', 'infeksi saluran pernapasan bawah'];['infeksi saluran pernapasan', 'infeksi saluran pernafasan', 'infeksi saluran pernapasan atas', 'saluran nafas', 'saluran nafas akut kronik', 'infeksi ringan saluran nafas','saluran nafas atas', 'infeksi sal nafas bawah', 'infeksi sal nafas kulit', 'infeksi sal nafas lainnya', 'infeksi sal napa', 'infeksi sal pernafasan atas', 'infeksi saluran nafas akut', 'infeksi saluran nafas akut dan khronik', 'infeksi saluran nafas akut dan kronik', 'infeksi saluran nafas atas', 'infeksi saluran nafas atas bawah', 'infeksi saluran nafas atas dan bawah', 'infeksi saluran nafas bagian atas dan bawah', 'infeksi saluran nafas bawah', 'infeksi saluran nafas bawah dan atas', 'infeksi saluran nafas dan bawah', 'infeksi saluran nafas dan tht', 'infeksi saluran nafas kecuali pneumonia strep hemolitikus', 'infeksi saluran nafas khronik', 'infeksi saluran nafas kronik', 'infeksi saluran nafas kulit dan jaringan lunak', 'infeksi saluran napa akut kronik', 'infeksi saluran napas atas  bawah', 'infeksi saluran napas atas dan bawah', 'infeksi saluran pencernaan saluran kemih', 'infeksi saluran pernafasan bagian atas', 'infeksi saluran pernafasan bagian atas  bawah', 'infeksi saluran pernafasan bagian bawah', 'infeksi saluran pernapasan atas  bawah', 'infeksi saluran pernapasan atas dan bawah', 'infeksi saluran pernapasan bagian atas','saluran nafas bawah', 'infeksi sal nafas atas', 'infeksi sal nafas','infeksi sal nafas atas dan bawah', 'infeksi ringan  sedang sal nafas bawah dan atas kulit dan struktur kulit phs','infeksi sal nafas bakteri gr','saluran napa', 'saluran napas', 'saluran napas akut', 'saluran pernafasan', 'saluran pernapasan','sal pernafasan','sal nafas', 'sal nafas kecuali pneumonia strep','infeksi saluran pernapasan bawah', 'infeksi saluran napas', 'infeksi saluran napa', 'infeksi saluran pernafasan bawah', 'infeksi saluran nafas', 'infeksi saluran napas atas', 'infeksi bakteri saluran pernafasan', 'infeksi saluran napas bawah', 'alergi saluran pernapasan', 'infeksi saluran napa akut']
infeksi streptococcus;['infeksi streptococcus', 'infeksi staphylococcus'];['infeksi streptococcus']
infeksi telinga;['infeksi telinga', 'infeksi ringan'];['infeksi telinga']
infeksi usus;['infeksi usus', 'infeksi serius'];['infeksi usus']
infeksi vagina;['infeksi vagina', 'infeksi lain', 'infeksi lainnya'];['infeksi vagina']
inkontinensia tinja;['inkontinensia tinja', 'inkontinensia urin'];['inkontinensia tinja']
insomnia;['insomnia'];['insomnia']
iskemia;['iskemia'];['iskemia']
jamur kulit;['jamur kulit'];['jamur kulit','jamur lipatan kulit', 'jamur pada kulit']
jerawat;['jerawat'];['jerawat','jerawat berisi nanah', 'jerawat bisul', 'jerawat parah', 'jerawatakne vulgaris','jerawat berat']
jerawat batu;['jerawat batu', 'jerawat berat'];['jerawat batu']
kandidiasis kulit;['kandidiasis kulit', 'kandidasis kutan', 'kandidiasis mulut'];['kandidiasis kulit', 'kandidasis kutan']
kandidiasis oral;['kandidiasis oral', 'atopik oral kandidiasis', 'kandidosis oral'];['kandidiasis oral', 'kandidiasis mulut','kandidosis oral','kandidiasis mulut dermatomikosis', 'kandidiasis oral infeksi jamur rongga mulut', 'kandidiasis orofaringe', 'kandidiasis orofaringeal', 'kandidiasis orofaringeal  esofageal', 'kandidiasis rongga mulut','atopik oral kandidiasis']
kandidiasis vaginalis;['kandidiasis vaginalis', 'kandidiasis vaginal'];['kandidiasis vaginal', 'kandidiasis vagina', 'kandidosis vaginal', 'kandidiasis vulvovaginal']
kanker;['kanker'];['kanker']
kanker darah;['kanker darah', 'kanker rahim'];['kanker darah']
kanker hati;['kanker hati'];['kanker hati']
kanker kandung kemih;['kanker kandung kemih', 'kolik kandung kemih'];['kanker kandung kemih']
kanker lambung;['kanker lambung'];['kanker lambung']
kanker payudara;['kanker payudara'];['kanker payudara', 'kanker payu dara']
kanker prostat;['kanker prostat'];['kanker prostat']
kanker tenggorokan;['kanker tenggorokan', 'tenggorokan kering', 'nyeri tenggorokan'];['kanker tenggorokan']
kapalan;['kapalan'];['kapalan']
kejang;['kejang'];['kejang']
kelainan darah;['kelainan darah'];['kelainan darah']
keputihan;['keputihan'];['keputihan']
keracunan obat;['keracunan obat', 'keracunan hati'];['keracunan obat']
keratosis pilaris;['keratosis pilaris'];['keratosis pilaris']
keseleo;['keseleo', 'kesleo'];['keseleo', 'kesleo']
kesemutan;['kesemutan'];['kesemutan']
ketombe;['ketombe'];['ketombe']
kista;['kista'];['kista']
klaudikasio intermiten;['klaudikasio intermiten', 'klaudikasi intermiten'];['klaudikasio intermiten', 'klaudikasi intermiten']
kolera;['kolera'];['kolera']
kolesterol;['kolesterol', 'kolesterol ldl'];['kolesterol', 'kolesterol ldl']
koma;['koma'];['koma']
komedo;['komedo'];['komedo']
konjungtivitis;['konjungtivitis', 'keratokonjungtivitis', 'konjungtivitas', 'konjungktivitis'];['konjungtivitis', 'konjungktivitis', 'konjungtivitas']
konstipasi;['konstipasi'];['konstipasi']
kram otot;['kram otot'];['kram otot']
kram perut;['kram perut'];['kram perut']
kriptosporidiosis;['kriptosporidiosis', 'cryptosporidiosis'];['kriptosporidiosis', 'cryptosporidiosis']
kudis;['kudis'];['kudis','kadas']
kurap;['kurap'];['kurap','kadaskurap']
kutil;['kutil'];['kutil']
kutu air;['kutu air'];['kutu air']
kutu rambut;['kutu rambut'];['kutu rambut']
labirinitis;['labirinitis'];['labirinitis']
laringitis;['laringitis', 'laryngitis'];['laringitis', 'laryngitis']
leptospirosis;['leptospirosis'];['leptospirosis']
lichen planus;['lichen planus', 'liken planus'];['lichen planus', 'likhen planus', 'liken planus']
luka bakar;['luka bakar'];['luka bakar']
luka tusuk;['luka tusuk', 'luka usus'];['luka tusuk']
lupus;['lupus'];['lupus','lupus eritematosus', 'lupus eritematosus discoid', 'lupus eritematosus diskoid', 'lupus eritematosus diskoid kondisi tidak respon kortikosteroid aktif', 'lupus eritemmantosus']
mabuk perjalanan;['mabuk perjalanan'];['mabuk perjalanan','mabuk karena kendaraan']
makrosomia;['makrosomia', 'akrosia'];['makrosomia']
malaria;['malaria'];['malaria']
mata ikan;['mata ikan'];['mata ikan']
mata kering;['mata kering', 'kekeringan mata'];['mata kering', 'kekeringan mata']
mata lelah;['mata lelah'];['mata lelah']
mata merah;['mata merah', 'kemerahan mata'];['mata merah', 'kemerahan mata']
melasma;['melasma'];['melasma']
meningitis;['meningitis'];['meningitis']
menopause;['menopause'];['menopause']
migrain;['migrain', 'migraine'];['migrain', 'migraine']
mikosis;['mikosis'];['mikosis']
milia;['milia', 'mialgia'];['milia']
miom;['miom'];['miom']
molluscum contagiosum;['molluscum contagiosum', 'moluskum kontagiosum'];['molluscum contagiosum', 'moluskum kontagiosum']
morning sickness;['morning sickness'];['morning sickness']
mual;['mual'];['mual','mual akibat radiasi', 'mual akut']
mulut kering;['mulut kering', 'kulit kering'];['mulut kering']
muntah;['muntah', 'muntah muntah'];['muntah','muntah  muntah', 'muntah akut', 'muntah dalam perjalanan', 'muntah dalam perjalanan yang diderita jika mempergunakan kendaraan bermotor kapal kereta api atau pesawat udara', 'muntah kehamilan', 'muntah pada kehamilan', 'muntah pasca operasi', 'muntah paska anestesi', 'muntah paska operasi', 'muntah ringan', 'muntah saat hamil', 'muntah saat perjalanan', 'muntahmuntah', 'muntahmuntah karena bromokriptin', 'muntahmuntah karena levodopa']
myasthenia gravis;['myasthenia gravis', 'miastenia gravis'];['myasthenia gravis', 'miastenia gravis']
myositis;['myositis', 'miositis'];['myositis', 'miositis']
nefropati diabetik;['nefropati diabetik', 'polineuropati diabetik', 'neuropati diabetika'];['nefropati diabetik']
neuritis optik;['neuritis optik', 'neuritis optika'];['neuritis optik', 'neuritis optika']
neurodermatitis;['neurodermatitis'];['neurodermatitis', 'neuro-dermatitis']
neuropati;['neuropati', 'nefropati'];['neuropati']
neuropati diabetik;['neuropati diabetik', 'polineuropati diabetikum'];['neuropati diabetik', 'neuropati diabetika']
neuropati perifer;['neuropati perifer'];['neuropati perifer']
nistagmus;['nistagmus'];['nistagmus']
nyeri bahu;['nyeri bahu'];['nyeri bahu']
nyeri leher;['nyeri leher'];['nyeri leher']
nyeri lutut;['nyeri lutut'];['nyeri lutut']
nyeri punggung;['nyeri punggung', 'nyeri dipunggung', 'nyeri pinggang', 'sakit nyeri punggung', 'nyeri pada punggung'];['nyeri punggung', 'nyeri dipunggung', 'nyeri pada punggung', 'sakit nyeri punggung']
nyeri sendi;['nyeri sendi'];['nyeri sendi']
oligomenorea;['oligomenorea', 'oligomenore'];['oligomenorea', 'oligomenore']
oligospermia;['oligospermia'];['oligospermia']
orchitis;['orchitis', 'rachitis'];['orchitis']
osteoarthritis;['osteoarthritis', 'osteoartritis oa', 'osteoarthritis oa', 'osteo arthritis', 'osteoartritis', 'ostearthiritis', 'nyeri osteoarthritis', 'osteaoarthritis'];['osteoartrosis', 'artritis tulang punggung','gejala osteoartritis','osteoarthritis', 'osteo arthritis', 'osteaoarthritis', 'osteoartritis', 'ostearthiritis', 'osteoarthritis oa', 'osteoartritis oa', 'osteoarthritis (oa)', 'nyeri osteoarthritis','osteoartritis akut', 'osteoartritis eksaserbasi akut', 'osteoartritis jangka pendek', 'osteoartritis kolumna vertebralis', 'osteoartritis spondilartritis', 'osteoartritis spondilosa', 'osteoartritis spondilosa artritis', 'osteoatritis panggul']
osteogenesis imperfecta;['osteogenesis imperfecta', 'osteogenesis imperfekta'];['osteogenesis imperfecta', 'osteogenesis imperfekta']
osteomielitis;['osteomielitis', 'osteomielitis akut'];['osteomielitis', 'osteomielitis akut','osteomielitis radang sumsum tulang', 'osteomielitis radang sumsum tulang akut', 'osteomielitisradang sumsum tulang']
osteopetrosis;['osteopetrosis', 'osteoartrosis', 'osteoporosis', 'osteporosis'];['osteopetrosis']
otitis eksterna;['otitis eksterna', 'otitis eksterna akut', 'otitis externa'];['otitis eksterna', 'otitis externa', 'otitis eksterna akut','otitis eksterna kronik', 'otitis eksterna kronis', 'otitis externa akut', 'otitis externa akut khronik', 'otitis externa atau peradangan pada telinga bagian luar', 'otitis externa khronik']
otitis media;['otitis media', 'otitis medium', 'otitis media akut'];['otitis media', 'otitis medium', 'otitis media akut','otitis media radang rongga gendang telinga', 'otitis media radang telinga tengah akut', 'otitis media kronis', 'otitis media supuratif', 'otitis media supuratif kronik', 'otitis medium akut', 'otitis medium akuta', 'otitis medium radang rongga gendang telinga', 'otitis medium sal nafas']
otomikosis;['otomikosis', 'onkomikosis'];['otomikosis']
pankreatitis akut;['pankreatitis akut', 'keratitis akut', 'pankreatitis'];['pankreatitis akut', 'pankreatitis']
panu;['panu'];['panu']
paratifus;['paratifus'];['paratifus', 'tifoid', 'tifoid paratifoid', 'tifus  paratifus', 'tifus dan paratifus', 'tifus epidemi', 'tifus paratifus']
paronikia;['paronikia', 'paronikhia'];['paronikia', 'paronikhia']
pembengkakan otak;['pembengkakan otak', 'pembengkakan prostat', 'pembengkakan'];['pembengkakan otak']
penyakit arteri perifer;['penyakit arteri perifer', 'penyakit arteri koroner'];['penyakit arteri perifer']
penyakit behcet;['penyakit behcet', 'penyakit berat'];['penyakit behcet']
penyakit ginjal;['penyakit ginjal', 'penyakit ginjal hati'];['penyakit ginjal', 'penyakit ginjal hati']
penyakit infeksi;['penyakit infeksi', 'penyakit infeksi ringan', 'penyakit infeksi kulit'];['penyakit infeksi', 'penyakit infeksi ringan', 'penyakit infeksi kulit']
penyakit jantung;['penyakit jantung', 'penyakit jantung hati'];['penyakit jantung', 'penyakit jantung hati']
penyakit jantung koroner;['penyakit jantung koroner'];['penyakit jantung koroner']
penyakit liver;['penyakit liver', 'penyakit alergi'];['penyakit liver']
penyakit meniere;['penyakit meniere', 'penyakit meniere s'];['penyakit meniere', 'penyakit meniere s']
penyakit menular seksual;['penyakit menular seksual'];['penyakit menular seksual']
penyakit paru obstruktif kronis;['penyakit paru obstruktif kronis', 'paru obstruktif kronik'];['penyakit paru obstruktif kronis', 'penyakit paru obstruktif kronik', 'penyakit paru obstruktif kronik (ppok)']
penyakit pes;['penyakit pes', 'penyakit paget'];['penyakit pes']
perdarahan saluran pencernaan;['perdarahan saluran pencernaan', 'perdarahan saluran cerna atas'];['perdarahan saluran pencernaan', 'perdarahan saluran cerna atas']
perdarahan subarachnoid;['perdarahan subarachnoid', 'pendarahan subarakhnoid'];['perdarahan subarachnoid', 'pendarahan subarakhnoid']
perikarditis;['perikarditis', 'periartritis'];['perikarditis']
perikoronitis;['perikoronitis', 'periodontitis', 'peritonitis'];['perikoronitis]
periodontitis;['periodontitis', 'priodontitis', 'peritoditis'];['periodontitis', 'priodontitis']
perut kembung;['perut kembung'];['perut kembung']
pilek;['pilek'];['pilek']
pleuritis;['pleuritis', 'pruritis', 'neuritis', 'polineuritis', 'polyneuritis', 'plineuritis'];['pleuritis']
pneumonia;['pneumonia', 'spneumoniae', 's pneumoniae'];['pneumonia', 's.pneumoniae', 's  pneumoniae', 's pneumoniae','pneumonia akibat lingkungan', 'pneumonia akibat streptococcus', 'pneumonia akut', 'pneumonia atipik primer', 'pneumonia bakteri', 'pneumonia cystitis', 'pneumonia dr lingkungan', 'pneumonia faringitis', 'pneumonia komunitas', 'pneumonia komunitas communityacquired pneumonia', 'pneumonia komuniti', 'pneumonia lingkungan', 'pneumonia masyarakat', 'pneumonia nosokomial', 'pneumonia saluran napa', 'pneumonia strep hemolitikus', 'pneumonia yang didapat dari lingkungan', 'pneumonitis anaerob']
pneumonia aspirasi;['pneumonia aspirasi'];['pneumonia aspirasi']
polip hidung;['polip hidung'];['polip hidung']
polisitemia vera;['polisitemia vera'];['polisitemia vera']
proktitis;['proktitis', 'parotitis'];['proktitis']
prostatitis;['prostatitis', 'isk prostatitis'];['prostatitis', 'isk prostatitis']
prurigo;['prurigo'];['prurigo']
pruritus;['pruritus'];['pruritus', 'pruritis','pruritis ani', 'pruritis anogenital', 'pruritus alergi', 'pruritus anogenital', 'pruritus anogential', 'pruritus atau gatalgatal pada anus dan vulvagenital external pada wanita', 'pruritus di anus', 'pruritus pada urtikaria khronik idiopathik']
psikosis;['psikosis', 'psitakosis'];['psikosis']
psoriasis;['psoriasis'];['psoriasis', 'psoriasis ','psoriasis diskoid', 'psoriasis kecuali plak']
pusing;['pusing'];['pusing','pusing vestibular', 'pusing yang berhubungan dengan gangguan keseimbangan pada gangguan sirkulasi darah', 'pusingpusing', 'pusingmigren']
radang gusi;['radang gusi'];['radang gusi']
radang sendi;['radang sendi'];['radang sendi']
radang tenggorokan;['radang tenggorokan', 'batuk dan tenggorokan'];['radang tenggorokan','rasa sakit di tenggorokan']
rakitis;['rakitis', 'rakhitis', 'trakhitis'];['rakhitis','rachitis rickets','rakhitis akibat defisiensi vit  d']
rambut rontok;['rambut rontok', 'kerontokan rambut'];['rambut rontok', 'kerontokan rambut']
reactive arthritis;['reactive arthritis', 'arthritis reumatik', 'rematik artritis'];['reactive arthritis']
rematik;['rematik', 'rheumatik', 'reumatik'];['rematik', 'rheumatik', 'reumatik']
rheumatoid arthritis;['rheumatoid arthritis', 'rheumatoid artritis', 'rematoid athritis', 'artritis reumatoid', 'artritis rematoid', 'rematoid artritis', 'rheumatoid arthritis ra', 'artritis rheumatoid'];['rheumatoid arthritis', 'rheumatoid artritis', 'rematoid athritis', 'artritis reumatoid', 'artritis rematoid', 'rematoid artritis', 'rheumatoid arthritis ra', 'artritis rheumatoid', 'arthritis reumatik', 'rematik artritis','arthritis reumatik', 'arthritis reumatoid', 'arthritis reumatoid ar', 'arthritis rheumatoid', 'artritis rematoid', 'artritis rematoid aktif', 'artritis reumatoid', 'artritis rheumatoid', 'artritis rheumatoid juvenil',  'atritis rematoid', 'gejala artritis reumatoid','gejala juvenile artritis reumatoid','juvenile artritis reumatoid']
rhinitis;['rhinitis'];['rhinitis']
rhinitis alergi;['rhinitis alergi', 'rinitis alergika', 'allergic rhinitis', 'alergi rhinitis', 'alergi rinitis', 'rhinitis alergika', 'rinitis alergi'];['rhinitis alergi', 'rinitis alergika', 'allergic rhinitis', 'alergi rhinitis', 'alergi rinitis', 'rhinitis alergika', 'rinitis alergi','alergi rinitis intermiten persisten  menerus', 'alergi rinitis intermitensewaktu', 'alergi rinitis nasal  nonnasal', 'alergi rinitis perenial', 'alergi rinitis persistenterusmenerus']
ruam popok;['ruam popok'];['ruam popok']
sakit gigi;['sakit gigi'];['sakit gigi']
sakit kepala;['sakit kepala', 'skit kepala'];['sakit kepala', 'skit kepala']
sakit maag;['sakit maag'];['sakit maag']
sakit perut;['sakit perut'];['sakit perut']
sakit pinggang;['sakit pinggang', 'sakit pinggan', 'sakit otot pinggang', 'sakit punggung'];['sakit pinggang', 'sakit pinggan', 'sakit otot pinggang']
sakit tenggorokan;['sakit tenggorokan', 'sakıt tenggorokan'];['sakit tenggorokan', 'sakıt tenggorokan']
salpingitis;['salpingitis'];['salpingitis']
sariawan;['sariawan'];['sariawan']
selulitis;['selulitis'];['selulitis']
sepsis;['sepsis'];['sepsis']
serangan jantung;['serangan jantung'];['serangan jantung']
servisitis;['servisitis', 'servisitis go'];['servisitis', 'servisitis go','cervicitis']
sesak napas;['sesak napas', 'sesak nafas'];['sesak napas', 'sesak nafas']
sifilis;['sifilis', 'sipilis'];['sifilis', 'sipilis']
sindrom nefrotik;['sindrom nefrotik', 'sindroma nefrotik'];['sindrom nefrotik', 'sindroma nefrotik']
sindrom raynaud;['sindrom raynaud', 'sindroma raynaud'];['sindrom raynaud', 'sindroma raynaud']
sindrom zollinger-ellison;['sindrom zollinger-ellison', 'sindroma zollingerellison', 'sindrom zollingerellison'];['sindrom zollinger-ellison', 'sindroma zollingerellison', 'sindrom zollingerellison']
sinusitis;['sinusitis', 'sinusitus', 'sistitis'];['sinusitis', 'sinusitus', 'sistitis']
sirosis;['sirosis', 'pirosis'];['sirosis']
skiatika;['skiatika'];['skiatika']
skorbut;['skorbut'];['skorbut']
stenosis pilorus;['stenosis pilorus', 'stenosis pylorus', 'stenosis pilorik'];['stenosis pilorus', 'stenosis pylorus', 'stenosis pilorik']
stres;['stres', 'stress'];['stres', 'stress']
stroke;['stroke'];['stroke']
stroke iskemik;['stroke iskemik', 'stroke iskhemik'];['stroke iskemik', 'stroke iskhemik']
takikardia;['takikardia'];['takikardia']
tendinitis;['tendinitis', 'tendovaginitis'];['tendinitis']
tetanus;['tetanus'];['tetanus']
tifus;['tifus'];['tifus']
tinea barbae;['tinea barbae'];['tinea barbae']
tinea capitis;['tinea capitis', 'tinea kapitis'];['tinea capitis', 'tinea kapitis']
tinea corporis;['tinea corporis', 'tinea corporis kurap', 'tinea cruris', 'tinea korporis'];['tinea corporis', 'tinea corporis kurap', 'tinea korporis']
tinea cruris;['tinea cruris', 'tinea kuris'];['tinea cruris', 'tinea kuris']
tinnitus;['tinnitus', 'tinitus'];['tinnitus', 'tinitus']
tirotoksikosis;['tirotoksikosis'];['tirotoksikosis']
toksoplasmosis;['toksoplasmosis', 'toxoplasmosis'];['toksoplasmosis', 'toxoplasmosis']
trikomoniasis;['trikomoniasis'];['trikomoniasis']
tromboflebitis;['tromboflebitis'];['tromboflebitis']
trombositopenia;['trombositopenia', 'trombositemia'];['trombositopenia']
tukak lambung;['tukak lambung', 'tukak lambung usus', 'luka lambung'];['tukak lambung', 'tukak lambung usus', 'luka lambung']
tumor;['tumor'];['tumor']
ulkus dekubitus;['ulkus dekubitus'];['ulkus dekubitus']
ulkus duodenum;['ulkus duodenum', 'ulkus duodenum aktif', 'ulkus deudenum', 'ulkus duodenal'];['ulkus duodenum', 'ulkus duodenum aktif', 'ulkus deudenum', 'ulkus duodenal']
ulkus kornea;['ulkus kornea', 'ulkus pada kornea'];['ulkus kornea', 'ulkus pada kornea']
uretritis;['uretritis', 'gi uretritis', 'urethritis', 'urethris', 'uritritis'];['uretritis', 'gi uretritis', 'urethritis', 'urethris', 'uritritis']
uveitis;['uveitis'];['uveitis','chronic anterior uveitis']
vaginitis;['vaginitis'];['vaginitis']
vaginosis bakterialis;['vaginosis bakterialis', 'bacterial vaginosis'];['vaginosis bakterialis', 'bacterial vaginosis']
varises;['varises'];['varises']
vertigo;['vertigo'];['vertigo']
vulvitis;['vulvitis', 'vulvitas'];['vulvitis', 'vulvitas']
wasir (ambeien);['wasir (ambeien)', 'wasir ambeien', 'ambien wasir'];['wasir (ambeien)', 'wasir ambeien', 'ambien wasir']
lambliasis;;['lambliasis']
varicela;;['varicela', 'varicella', 'varicella zoster', 'varisela']
disfungsi ovulasi;;['disfungsi ovulasi','disovulasi','gangguan ovulasi']
discoid;;['discoid','diskoid','diskoid lupus eritemmantosus','dsikoid']
disfungsi ereksi;;['disfungsi ereksi']
empiema;;['emfiema']
endometritis;;['endometritis']
epididimo-orkitis;;['epididimo-orkitis']
skleritis;;['skleritis']
gangguan tropik;;['gangguan tropik']
gangguan spastik;;['gangguan spastik']
gangguan pendengaran;;['gangguan pendengaran']
granuloma inguinale;;['granuloma inguinale']
hepatitis b;;['infeksi virus hepatitis b kronik','hepatitis b kronik']
hernia nukleus pulposus;;['hernia neukleus pulposus']
herpes genital (herpes simplex);;['virus herpes simpleks','infeksi virus herpes simpleks', 'infeksi virus herpes simpleks kulit membran mukosa', 'infeksi virus herpes simpleks pada kulit dan selaput lendir', 'infeksi virus herpes simplex kulit membran mukosa','herpes simplek', 'infeksi herpes simpleks pada kulit', 'infeksi herpes simplex', 'infeksi herpes simplex pada kulit', 'herpes simplek pada kulit', 'herpes simpleks', 'herpes simpleks kulit membran mukosa', 'herpes simplex', 'herpes simplex dan zoster', 'herpes simplex tipe 1', 'herpes simplex tipe 1  2', 'herpes simplex tipe 2','herpes genital', 'herpes genital awal', 'herpes genital awal  rekuren', 'herpes genital awal dan rekuren', 'herpes genital berulang', 'herpes genital rekuren', 'herpes genitalis', 'herpes ginital', 'herpes ginital awal']
herpes;;['virus herpes']
hipertensi okuler;;['hipertensi okuler','hipertensi okular', 'hipertensi okular responsif', 'hipertensi okular tidak responsif','hipertensi mata']
hiperparatiroidisme;;['hiperparatiroidisme']
hipokalemia;;['hipokalemia']
hipoparatiroid;;['hipoparatiroidisme']
riketsiosis;;['riketsiosis']
infeksi genital;;['infeksi genital']
infeksi helicobacter pylori;;['infeksi bakteri helicobacter pylorus']
infeksi jamur rambut;;['infeksi jamur rambut']
infeksi jamur kuku;;['infeksi jamur kuku','infeksi jamur pada kuku']
infeksi tulang;;['infeksi tulang']
infeksi staphylococcus;;['infeksi staphylococcus','infeksi disebabkan staphylococcus']
infeksi;;['infeksi lain','infeksi lainnya']
inkontinensia urine;;['inkontinensia urin']
kandidiasis mukosal;;['kandidiasis mukosal','kandidiasi mukosa','kandidiasis mukokutan khronis', 'kandidiasis mukokutan kronis', 'kandidiasis mukokutan kulit  mukosa khronik', 'kandidiasis mukokutan kulit  mukosa khronik tidak responsif nistatin obat kandidiasis vaginal']
kanker rahim;;['kanker rahim']
kolik kandung kemih;;['kolik kandung kemih']
kanker paru-paru;;['kanker paru paru']
keracunan hati;;['keracunan hati']
keracunan alkohol;;['keracunan alkohol']
keratitis;;['keratitis', 'keratitis akut']
keratokonjungtivitis;;['keratokonjungtivitis']
luka usus;;['luka usus']
akrosia;;['akrosia','akrosianosis']
mialgia;;['mialgia']
kulit kering;;['kulit kering']
mual muntah;;['mual atau muntah', 'mual atau muntah pasca operasi', 'mual dan muntah', 'mual dan muntah akibat kemoterapi', 'mual dan muntah akibat kemoterapi  radioterapi', 'mual dan muntah akibat kemoterapi dan radioterapi', 'mual dan muntah akibat obat', 'mual dan muntah akibat penggunaal levodopa dan bromokriptin', 'mual dan muntah akibat radioterapi', 'mual dan muntah akut', 'mual dan muntah karena kemoterapi', 'mual dan muntah karena kemoterapi dan radioterapi', 'mual dan muntah karena obat', 'mual dan muntah karena radioterapi', 'mual dan muntah pada anak akibat kemoterapi dan radioterapi', 'mual dan muntah pada anak2 akibat kemoterapi  radioterapi', 'mual dan muntah pasca operasi', 'mual dan muntah pasca pembedahan', 'mual dan muntah paska operasi', 'mual dan muntah yang diinduksi obat kemoterapi sitotoksik', 'mual dan muntah yang dipicu oleh radioterapi', 'mual dan muntah yang disebabkan kemoterapi', 'mual dan muntah yang disebabkan oleh obat', 'mual dan muntah yang disebabkan radioterapi untuk kanker', 'mual di pagi hari', 'mual meriang', 'mual muntah', 'mual muntah akibat gangguan metabolik pasca operasi', 'mual muntah akut', 'mual muntah kehamilan', 'mual muntah kemoterapi emetogenik', 'mual muntah paska operasi','mual  muntah', 'mual  muntah akut', 'mual  muntah yang disebabkan kemoterapi', 'mual  muntah yang disebabkan kemoterapi  radioterapi untuk kanker']
polineuropati diabetik;;['polineuropati diabetik', 'polineuropati diabetikum']
nefropati;;['nefropati']
nyeri pinggang;;['nyeri pinggang']
nyeri pasca operasi;;['nyeri pasca bedah', 'nyeri pasca op', 'nyeri pasca operasi', 'nyeri pasca operasi cabut gigi', 'nyeri pasca operasi derajat', 'nyeri pasca operasi pasca bedah gigi tulang', 'nyeri pasca partum', 'nyeri pasca trauma', 'nyeri pasca vaksinasi', 'nyeri pascabedah', 'nyeri paska bedah', 'nyeri paska operasi','nyeri yang muncul setelah operasi']
rachitis;;['rachitis']
onkomikosis;;['onkomikosis']
pembengkakan;;['pembengkakan']
