standardized_disease;fuzzy_tfidf_fuzzy_tfidf;list_of_diseases;corrected_list_of_diseases
dermatitis kontak;dermatitis akut kronik;[];[]
dermatitis kontak;dermatitis kontak;[];[]
dermatitis kontak;dermatitis kontak jenis dermatitis;[];[]
dermatitis seboroik;demartitis sebaroik ringan;[];[]
dermatitis seboroik;seborrhoeic dermatitis;[];[]
dermatitis seboroik;seboroik;[];[]
dermatitis seboroik;dermatitis seboroik;[];[]
dermatomikosis;dermatomikosis;[];[]
dermatomiositis;dermatomiosis;[];[]
dermatomiositis;dermatomiositis;[];[]
dermatosis;dermatosis bakterial;['dermatosis bakterial mikotik'];['dermatosis bakterial mikotik']
dermatosis;inflamasi dermatosis;[];[]
dermatosis;dermatosis;[];[]
dermatosis;dermatosis alergi inflamasi;[];[]
dermatosis;dermatosis lain;[];[]
dermatosis;dermatosis alergi;[];[]
diabetes;paresis;[];[]
diabetes;diabetes mellitus;[];[]
diabetes;insulin dependent diabetes mellitus;[];[]
diabetes;diabetik gastroparesis akut;[];[]
diabetes;diabetik gastro paresis akut;[];[]
diabetes;diabetik;[];[]
diabetes;diabetes melitus;[];[]
diabetes;non insulin dependent diabetes mellitus;['non insulin dependent diabetic mellitus'];['non insulin dependent diabetic mellitus']
diabetes;diabetik gastroparesis berulang;[];[]
diabetes;diabetes;[];[]
diabetes;diabetes obesitas;[];[]
diabetes tipe 1;diabetes tipe 1;[];[]
diabetes tipe 1;diabetes melitus tipe  1;[];[]
diabetes tipe 1;diabetes tipe - 1;[];[]
diabetes tipe 2;diabetes melitus tipe 2;[];[]
diabetes tipe 2;dm tipe 2;[];[]
diabetes tipe 2;pasien dm tipe 2;[];[]
diabetes tipe 2;diabetes tipe 2 terkontrol;[];[]
diabetes tipe 2;diabetes tipe - 2;[];[]
diabetes tipe 2;tipe 2;[];[]
diabetes tipe 2;dm tipe  2;[];[]
diabetes tipe 2;dmt2;[];[]
diabetes tipe 2;diabetes melitus tipe 1;[];[]
diabetes tipe 2;diabetes miletus tipe 2;[];[]
diabetes tipe 2;diabetes melitus tipe  2;[];[]
diabetes tipe 2;diabetes mellitus tipe 2;[];[]
diabetes tipe 2;diabetes tipe 2;[];[]
diare;diare mencret;[];[]
diare;diare staph;[];[]
diare;diare non spesifik;[];[]
diare;diare akut;[];[]
diare;diare kronik;[];[]
diare;diare kronis;[];[]
diare;diare e  coli;[];[]
diare;diare akut non spesifik kronik;[];[]
diare;ecoli;[];[]
diare;diare ecoli;[];[]
diare;diare nonspesifik;[];[]
diare;diare akut non spesifik;[];[]
diare;diare kuman e coli staph kolopati spesifik non spesifik dewasa anak;[];[]
diare;mencret;[];[]
diare;diare non  spesifik;[];[]
diare;diare e coli;[];[]
diare;diare;[];[]
diare;diare karena kuman e coli dan staph kolopati spesifik dan non spesifik pada dewasa dan anak;[];[]
diare;diare akut kronik;[];[]
diare;diare anak;[];[]
difteri;difteri faringeal;[];[]
difteri;difteri;[];[]
discoid;diskoid lupus eritemmantosus;[];[]
discoid;ekzema diskoid;[];[]
discoid;discoid;[];[]
discoid;dsikoid;[];[]
discoid;diskoid;[];[]
disentri;disentri basiler;[];[]
disentri;paratifoid disentri basiler;[];[]
disentri;disentri basil;[];[]
disentri;enterokolitis disentri basiler akibat bakteri gram negatif;[];[]
disentri;disentri;[];[]
disfungsi ereksi;disfungsi ereksi;[];[]
disfungsi ovulasi;gangguan ovulasi;[];[]
disfungsi ovulasi;disfungsi ovulasi;[];[]
disfungsi ovulasi;disovulasi;[];[]
dislipidemia;dislipidemia campuran fredrickson tipe iia iib;[];[]
dislipidemia;dislipidemia campuran;[];[]
dislipidemia;dislipidemia;[];[]
dislipidemia;dislipidemia campuran tipe iib;[];[]
dismenore;dysmenorrhea primer;[];[]
dismenore;disumenore;[];[]
dismenore;nyeri haid primer;[];[]
dismenore;dysmenorrhea;[];[]
dismenore;disenore;[];[]
dismenore;nyeri haid;[];[]
dismenore;sakit haid;[];[]
dismenore;keram saat haid;[];[]
dismenore;dismenorea;[];[]
dismenore;haid;[];[]
dismenore;nyeri haid dismenore primer;[];[]
dismenore;dismenor primer;[];[]
dismenore;dismenore primer;[];[]
dismenore;nyeri waktu haid;[];[]
dismenore;disenore nyeri haid;[];[]
dismenore;dismenore pasca operasi;[];[]
dismenore;dismenore nyeri haid;[];[]
dismenore;nyeri dismenore primer;[];[]
dismenore;nyeri haid dysmenorrhea primer;[];[]
dismenore;nyeri dismenore;[];[]
dismenore;dismenorea primer;[];[]
dismenore;dismenore;[];[]
dismenore;dismenore nyeri saat haid;[];[]
edema;edema asites;[];[]
edema;edema akibat chf;[];[]
edema;edema gagal jantung kongestif;[];[]
edema;edema;[];[]
edema;edema inflamasi;[];[]
ejakulasi dini;ejakulasi dini;[];[]
eksaserbasi;exaserbasi akut;[];[]
eksaserbasi;eksaserbasi akut;[];[]
eksaserbasi;eksaserbasi;[];[]
eksaserbasi;ekarserbasi akut;[];[]
eksaserbasi;eksasaerbasi akut;[];[]
eksaserbasi;eksaserbasi bakteri akut;[];[]
eksema;ekzema bernanah;[];[]
emboli;embolus paru;[];[]
emboli;emboli serebral;[];[]
emboli;embolus sistemik;[];[]
emboli;emboli;[];[]
emfisema;emphysema;[];[]
emfisema;pulmonari emfisema;[];[]
emfisema;enfisema;[];[]
emfisema;emfisema paru;[];[]
emfisema;batuk emphysema;[];[]
emfisema;emfisema;[];[]
emfisema;emfisema penyakit paru komplikasi bronkhospasme;[];[]
emfisema;emfisema gangguan bronkhopulmoner;[];[]
emfisema;emfisema dengan bronkitis;[];[]
emfisema;ppok emfisema dengan bronkitis bronkitis kronis bronkiektasi;[];[]
emfisema;gangguan bronkhopulmoner;[];[]
empiema;emfiema;[];[]
endokarditis;endokarditis;[];[]
endometriosis;endometriosis;[];[]
endometritis;endometritis;[];[]
ensefalitis;toksoplasmik ensefalitis;[];[]
ensefalopati;ensefalopati portalsistemik;[];[]
ensefalopati;ensefalopati;[];[]
ensefalopati;ensefalopati portal  sistemik;[];[]
ensefalopati;portal systemic encephalopathy;[];[]
ensefalopati;encephalopathy;[];[]
ensefalopati;ensefalopati portal sistemik;[];[]
ensefalopati;portal sistemik;[];[]
ensefalopati;ensefalopati portal sistemik kronik;[];[]
ensefalopati;ensefalopati portal;[];[]
epididimitis;epididimitis;[];[]
epididimo-orkitis;epididimo-orkitis;[];[]
epididimo-orkitis;epididimo orkitis;[];[]
epididimoorkitis;epididimoorkitis;[];[]
episkleritis;episcleritis;[];[]
episkleritis;episklerit;[];[]
episkleritis;episkleritis;[];[]
eritritis;eritritis;[];[]
erosi kornea;erosi kornea;[];[]
esofagitis;peptik eosifagitis;[];[]
esofagitis;peptik esofagitis;[];[]
esofagitis;esophagitis;[];[]
esofagitis;eosifagitis;[];[]
esofagitis;esofagitis;[];[]
faringitis;faringitis tonsilitis;[];[]
faringitis;faringitis;[];[]
faringitis;pharingitis;[];[]
faringitis;faringitis tonsilitis streptokokus;['tonsilitis streptokokus'];[]
fatigue;fatig lelah;[];[]
fistula ani;fistula;[];[]
fistula ani;fistula ani;[];[]
fisura ani;fisura anal;['fisura anal superfisial'];['fisura anal superfisial']
fisura ani;fisura ani;[];[]
flek;flek;[];[]
flek;flek hitam;[];[]
flek;flek kanker paru paru;[];[]
flu;flu pilek;[];[]
flu;influenza tipe b;[];[]
flu;infeksi virus influenza tipe a;[];[]
flu;demam influensa;[];[]
flu;flu disertai batuk kering;[];[]
flu;hinfluenzae;[];[]
flu;influensa;[];[]
flu;influenza tipe a;[];[]
flu;virus influenza c;[];[]
flu;flu;[];[]
flu;flu demam;[];[]
flu;virus influenza tipe a;[];[]
flu;h influenza;[];[]
flu;influenza dewasa;[];[]
flu;influenza a;[];[]
flu;flu seperti demam;[];[]
flu;flu anak orang dewasa;[];[]
flu;virus influenza a;[];[]
flu;influensa demam;[];[]
flu;infeksi virus influenza tipe b;[];[]
flu;flu pada anak dan orang dewasa;[];[]
flu;virus influenza b;[];[]
flu;fluinfluensa;[];[]
flu;virus influenza tipe a atau b;[];[]
flu;infuenza;[];[]
flu;influenza anak;[];[]
flu;influenza;[];[]
flu;gejala flu;[];[]
flu;flu influensa;[];[]
flu;h influenzae;['infeksi h influenzae'];['infeksi h influenzae']
flu;virus influenza tipe a b;[];[]
flu burung;flu burung;[];[]
folikulitis;folikulitis barbae;[];[]
folikulitis;folikulitis;[];[]
folikulitis;folikulitis superfisialis;[];[]
folikulitis;folikulitis superfisial;[];[]
furunculosis;furunculosis;[];[]
furunculosis;furunkulosis;[];[]
gagal ginjal akut;gagal ginjal akut;[];[]
gagal ginjal akut;gagal ginjal;[];[]
gagal ginjal akut;insufisiensi ginjal;[];[]
gagal ginjal kronis;pasien gagal ginjal khronik;[];[]
gagal ginjal kronis;insufisiensi ginjal kronik;[];[]
gagal ginjal kronis;gangguan ginjal khronik;[];[]
gagal ginjal kronis;gagal ginjal kronik;[];[]
gagal ginjal kronis;gagal ginjal khronis;[];[]
gagal ginjal kronis;insufisiensi ginjal khronik;[];[]
gagal ginjal kronis;gagal ginjal akut kronik;[];[]
gagal jantung;gagal jantung kongesti;[];[]
gagal jantung;masalah jantung;[];[]
gagal jantung;infeksi jantung;[];[]
gagal jantung;gangguan jantung;[];[]
gagal jantung;gagal jantung;[];[]
gagal jantung;gagal jantung kronik;[];[]
gagal jantung;gagal jantung kongestif;[];[]
gangguan ginjal;gangguan ginjal prostat;[];[]
gangguan ginjal;gangguan ginjal;[];[]
gangguan hati;gangguan hati;[];[]
gangguan kehamilan;komplikasi kehamilan;[];[]
gangguan kehamilan;kehamilan;[];[]
gangguan kehamilan;gangguan kehamilan;[];[]
gangguan keseimbangan;gangguan keseimbangan;['gangguan keseimbangan hormonal'];['gangguan keseimbangan hormonal']
gangguan metabolik;gangguan metabolisme otot jantung;[];[]
gangguan metabolik;gangguan metabolisme;[];[]
gangguan metabolik;gangguan vaskulo metabolik serebral akut khronik;[];[]
gangguan metabolik;gangguan vaskulo metabolik perifer akut khronik;[];[]
gangguan metabolik;gangguan metabolik;[];[]
gangguan muskuloskeletal;gangguan muskulosketal akut;[];[]
gangguan muskuloskeletal;gangguan musculoskeletal akut gout akut;[];[]
gangguan muskuloskeletal;gangguan musculoskeletal akut;['nyeri musculoskeletal akut', 'musculoskeletal'];[]
gangguan panik;gangguan panik;[];[]
gangguan pencernaan;gangguan pada pencernaan;[];[]
gangguan pencernaan;gangguan pencernaan;[];[]
gangguan pencernaan;gangguan pencernaan neurogenik;[];[]
gangguan pencernaan;dispepsia gangguan pencernaan neurogenik;[];[]
gangguan pencernaan;gangguan saluran cerna;[];[]
gangguan pencernaan;gangguan lambung;[];[]
gangguan pencernaan;gangguan pencernaan fungsional;[];[]
gangguan pendengaran;gangguan pendengaran;[];[]
gangguan peradangan okular;gangguan peradangan okular;[];[]
gangguan pernapasan;sekretolitik gangguan saluran napa akut khronik;[];[]
gangguan pernapasan;gangguan saluran nafas kronis;[];[]
gangguan pernapasan;gangguan pernafasan akibat rokok;[];[]
gangguan pernapasan;gangguan saluran pernafasan kronik;[];[]
gangguan pernapasan;gangguan saluran pernafasan akut;[];[]
gangguan pernapasan;gangguan saluran pernapasan;[];[]
gangguan pernapasan;gangguan pernafasan;[];[]
gangguan pernapasan;gangguan saluran nafas akut kronis;[];[]
gangguan pernapasan;gangguan saluran napa;[];[]
gangguan pernapasan;gangguan pernapasan;[];[]
gangguan pernapasan;gangguan di saluran pernafasan;[];[]
gangguan pernapasan;gangguan saluran nafas akut;[];[]
gangguan pernapasan;gangguan saluran pernafasan;[];[]
gangguan pernapasan;gangguan saluran pernapasan akut kronik;[];[]
gangguan pernapasan;gangguan saluran napa akut khronik;[];[]
gangguan pernapasan;gangguan saluran pernapasan alergi dermatologi serta gangguan inflamasi ocular;[];[]
gangguan pernapasan;gangguan saluran nafas khronik;[];[]
gangguan pernapasan;gangguan saluran pernafasan disebabkan dahak mukus;[];[]
gangguan pernapasan;gangguan saluran pernafasan akut kronik;[];[]
gangguan pernapasan;gangguan pernapasan akut kronis;[];[]
gangguan prostat;gangguan prostat;[];[]
gangguan saluran gastrointestinal;gangguan gi mual;[];[]
gangguan saluran gastrointestinal;gi;[];[]
gangguan saluran gastrointestinal;gangguan gi;[];[]
gangguan saluran kemih;gangguan saluran kemih bagian bawah;[];[]
gangguan saluran kemih;gangguan saluran kemih bagian bawah berhubungan dengan hiperplasia prostat jinak;[];[]
gangguan saraf;gangguan saraf;['gangguan saraf perifer'];['gangguan saraf perifer']
gangguan sirkulasi;gangguan sirkulasi;['gangguan sirkulasi perifer'];['gangguan sirkulasi perifer']
gangguan spastik;gangguan spastik saluran cerna;[];[]
gangguan spastik;gangguan spastik saluran kemih;[];[]
gangguan spastik;gangguan spastik saluran empedu;[];[]
gangguan spastik;gangguan spastik;[];[]
gangguan spastik;gangguan spastik saluran genital wanita;[];[]
gangguan tidur;gangguan sulit tidur;[];[]
gangguan tidur;gangguan tidur;[];[]
gangguan tidur;sulit tidur;[];[]
gangguan tidur;gangguan ritme tidur;[];[]
gangguan tidur;susah tidur;[];[]
gangguan tidur;gangguan irama tidur;[];[]
gangguan tropik;gangguan tropik;[];[]
gangguan tropik;gangguan trofik;[];[]
gangguan vestibular;gangguan vestibular;['gangguan vaskular vestibular'];['gangguan vaskular vestibular']
gangrene;ganggren;[];[]
gangrene;gangrene;[];[]
gastritis;gastritis;[];[]
gastritis;gastritis kronik sd 8 minggu;[];[]
gastritis;gastritis alkoholisme khronik;[];[]
gastritis;gastritis kronis;[];[]
gastritis;ulkus gastritis;[];[]
gastritis;gastritis kronik;[];[]
gastritis;antasida gastritis;[];[]
gastritis;gastritis tukak lambung tukak usus dua belas jari;[];[]
gastritis;gastristis;[];[]
gastritis;penuh lambung gastritis;['penuh lambung'];['penuh lambung']
gastroenteritis;gastroenteritis;[];[]
gastroenteritis;gastroenteritis bayi;[];[]
gastroenteritis;gastroenteritis anak;[];[]
gastroparesis;gastroparesis diabetikum;[];[]
gastroparesis;gastroparesis diabetikum akut berulang;[];[]
gastroparesis;gastroparesis akut;[];[]
gastroparesis;gastroparesis diabetikum akut rekuren;[];[]
gastroparesis;gastroparesis akut dan berulang;[];[]
gastroparesis;gastroparesis berulang;[];[]
gastroparesis;gastroparesis akut berulang;[];[]
gastroparesis;gastroparesis;[];[]
gatal;inflamasi gatal gatal;[];[]
gatal;gatal kulit;[];[]
gatal;gatalgatal;[];[]
gatal;gatal jamur kulit;[];[]
gatal;gatal gatal;[];[]
gatal;gatal2;[];[]
gatal;gatalgatal disebabkan oleh infeksi jamur;[];[]
gatal;gatal;[];[]
gatal;urtikaria gatal gatal;[];[]
gatal;sakit gigi gatal gatal;[];[]
gerd;refluks gastroesofagus erosif;[];[]
gerd;refluks esofagitis berat;[];[]
gerd;reflux esofagitis;[];[]
gerd;refluks esophagitis;[];[]
gerd;refluks esofagitis erosifulseratif;[];[]
gerd;gastroesophageal reflux disease gerd;[];[]
gerd;nonerosive reflux disease;[];[]
gerd;refluks esofagitis erosif;[];[]
gerd;reflux esophagitis sedang berat;[];[]
gerd;refluks gastroesofagus yang erosif;[];[]
gerd;refluks;[];[]
gerd;reflux esofagitis erosifulseratif;[];[]
gerd;reflux gastroesofagitis;[];[]
gerd;reflux esophagitis sedang dan berat;[];[]
gerd;inflamasi esofagus;[];[]
gerd;refluks esofagitis erosif atau ulseratif;[];[]
gerd;esofagitis berat;[];[]
gerd;inflamasi esofagus refluks esofagus;[];[]
gerd;refluks gastroesofagus;[];[]
gerd;rasa panas ulu hatikerongkongan akibat reflux esofagitis;[];[]
gerd;esofagitis erosifulseratif;[];[]
gerd;nonerosive reflux disease nerd;[];[]
gerd;refluks esofagitis;[];[]
gerd;refluks esofagus;[];[]
gerd;refluks esofagitis erosif ulseratif;[];[]
gerd;gastroesophageal reflux disease;[];[]
gerd;esofageal;[];[]
gerd;reflux;[];[]
gerd;gerd;[];[]
gerd;esofagitis erosif;[];[]
gerd;gangguan refluks non erosive;[];[]
gerd;reflucks;[];[]
gerd;simtomatik gerd;['simtomatik'];[]
gerd;refluks gastroesofagitis;[];[]
gerd;reflucks esofagitis;[];[]
gerd;esofangeal;[];[]
giardiasis;giardia lambliasis;[];[]
giardiasis;giardia;[];[]
giardiasis;giardiasis;[];[]
gigi berlubang;gigi berlubang;[];[]
gigitan serangga;gatal gatal gigit serangga;[];[]
gigitan serangga;gatal akibat gigitan nyamukserangga;[];[]
gigitan serangga;gatal gigitan serangga dan nyamuk;[];[]
gigitan serangga;gatal biang keringet udara panas gigitan serangga;[];[]
gigitan serangga;gatalgatal akibat gigitan serangga atau nyamuk;[];[]
gigitan serangga;gatal gigitan serangga nyamuk;[];[]
gigitan serangga;gatal gigitan serangga;[];[]
gigitan serangga;gigitan nyamuk/serangga;[];[]
gigitan serangga;gatalgatal akibat gigitan serangga dan nyamuk;[];[]
gigitan serangga;gatal  gatal gigit serangga;[];[]
gigitan serangga;gigitan nyamuk  serangga;[];[]
gigitan serangga;gatalgatal karena gigitan serangga atau nyamuk;[];[]
gigitan serangga;gigitan serangga;[];[]
gigitan serangga;digigit serangga;[];[]
gigitan serangga;gatalgatal akibat gigitan serangganyamuk;[];[]
gigitan serangga;gigitan nyamuk;[];[]
gigitan serangga;gatal akibat gigitan serangga;[];[]
gigitan serangga;gatal karena biang keringet udara panas gigitan serangga;[];[]
gigitan serangga;gatalgatal gigitan serangga nyamuk;[];[]
gigitan serangga;serangga;[];[]
gigitan serangga;gatalgatal akibat gigitan serangga nyamuk;[];[]
gigitan serangga;gigitan nyamuk serangga;[];[]
gigitan serangga;gigitan nyamukserangga;[];[]
gigitan serangga;gatalgatal gigitan serangga;[];[]
gigitan serangga;gatalgatal akibat digigit serangga;[];[]
gigitan serangga;gatal akibat digigit serangga;[];[]
gigitan serangga;gatal karena gigitan serangga;[];[]
gigitan serangga;gigitan nyamuk bahkan nyamuk demam berdarah;[];[]
gigitan serangga;gatal akibat gigitan seranggga;[];[]
gigitan serangga;gatalgatal karena gigitan serangga;[];[]
gigitan serangga;gatalgatal akibat gigitan serangga;[];[]
glaukoma;glaukoma sudut terbuka kronis;[];[]
glaukoma;glaukoma sudut terbuka khronis;[];[]
glaukoma;glaukoma sudut  terbuka hipertensi okular;[];[]
glaukoma;glaukoma sudutterbuka;[];[]
glaukoma;aphakic glukoma;[];[]
glaukoma;glukoma sudut terbuka kronis;[];[]
glaukoma;glaukoma sudut  terbuka khronis;[];[]
glaukoma;glaukoma sudut  terbuka;[];[]
glaukoma;glaukoma sudut terbuka hipertensi okular;[];[]
glaukoma;glaukoma sudut terbuka;[];[]
glaukoma;glaukoma sudut tertutup;[];[]
glaukoma;glukoma;[];[]
glaukoma;glaukoma sekunder;[];[]
glaukoma;glaukoma;[];[]
glaukoma;glaukoma simplek kronis;[];[]
gonore;gonorrhoeae;[];[]
gonore;gonorhea yang tidak terkomplikasi infeksi kulit dan jaringan lunak;[];[]
gonore;gonorrhoea akut tidak terkomplikasi;[];[]
gonore;gonore;[];[]
gonore;n gonorrhoae;[];[]
gonore;gonorea tanpa komplikasi;[];[]
gonore;gonore tidak terkomplikasi;[];[]
gonore;eritritis pielonefritis gonore;[];[]
gonore;go;[];[]
gonore;gonore komplikasi;[];[]
gonore;uretritis gonore servisitis komplikasi;[];[]
gonore;gogonorea tanpa komplikasi;[];[]
gonore;gonorrhoea acute tidak terkomplikasi;[];[]
gonore;gonorea;[];[]
gonore;gonorrhea;[];[]
gonore;uretritis servisitis gonore;[];[]
gonore;n gonorrhoea;[];[]
gonore;uretritis gonore;[];[]
gonore;gonore akut;[];[]
gonore;gonorrhoea;[];[]
gonore;go infeksi;[];[]
gonore;neisseria gonorrhoea;[];[]
gonore;gonorhea tidak terkomplikasi infeksi kulit jaringan lunak;[];[]
gonore;go akut;[];[]
gonore;uretritis non gonore;[];[]
gonore;gonorrhea komplikasi;[];[]
gonore;gonorrhoea tidak terkomplikasi;[];[]
granuloma inguinale;granuloma inguinale;[];[]
gusi bengkak;gusi bengkak;[];[]
hematoma;hematoma;[];[]
hepatitis;hepatitis alkoholik;[];[]
hepatitis;virus hepatitis b;[];[]
hepatitis;hepatitis;[];[]
hepatitis;profilaksis infeksi hepatitis;[];[]
hepatitis;hepatitis virus;[];[]
hepatitis b;virus hepatitis b kronik;[];[]
hepatitis b;infeksi virus hepatitis b kronik;[];[]
hepatitis b;hepatitis b kronik;[];[]
hernia;hernia peptik;[];[]
hernia;hernia;[];[]
hernia hiatus;hiatus hernia;[];[]
hernia hiatus;hiatus hernis;[];[]
hernia hiatus;hiatus;[];[]
hernia hiatus;hernia hiatus;[];[]
hernia nukleus pulposus;hernia neukleus pulposus;[];[]
herpes;virus herpes;[];[]
herpes;infeksi rekuren herpes labialis;[];[]
herpes;herpes labialis;[];[]
herpes genital (herpes simplex);lichen simplek;[];[]
herpes genital (herpes simplex);infeksi herpes simplex kulit;[];[]
herpes genital (herpes simplex);herpes simpleks kulit membran mukosa;[];[]
herpes genital (herpes simplex);herpes simplex tipe 1  2;[];[]
herpes genital (herpes simplex);herpes simplek kulit;[];[]
herpes genital (herpes simplex);herpes genital berulang;[];[]
herpes genital (herpes simplex);herpes genital awal dan rekuren;[];[]
herpes genital (herpes simplex);alergi kulit selaput lendir;[];[]
herpes genital (herpes simplex);herpes simplek pada kulit;[];[]
herpes genital (herpes simplex);infeksi virus herpes simplex kulit membran mukosa;[];[]
herpes genital (herpes simplex);herpes genital rekuren;[];[]
herpes genital (herpes simplex);herpes simplex;[];[]
herpes genital (herpes simplex);herpes genitalis;[];[]
herpes genital (herpes simplex);herpes simplex zoster;[];[]
herpes genital (herpes simplex);infeksi herpes simpleks kulit;[];[]
herpes genital (herpes simplex);herpes genital awal  rekuren;[];[]
herpes genital (herpes simplex);herpes simplex tipe 1;[];[]
herpes genital (herpes simplex);herpes genital awal;[];[]
herpes genital (herpes simplex);infeksi rekuren herpes genital;[];[]
herpes genital (herpes simplex);herpes simplek;[];[]
herpes genital (herpes simplex);infeksi herpes simplex;[];[]
herpes genital (herpes simplex);infeksi virus herpes simpleks kulit membran mukosa;[];[]
herpes genital (herpes simplex);herpes genital;[];[]
herpes genital (herpes simplex);infeksi virus herpes simpleks kulit selaput lendir;[];[]
herpes genital (herpes simplex);virus herpes simpleks;[];[]
herpes genital (herpes simplex);infeksi virus herpes simpleks;[];[]
herpes genital (herpes simplex);herpes ginital awal;[];[]
herpes genital (herpes simplex);herpes simpleks;[];[]
herpes genital (herpes simplex);infeksi herpes simplex pada kulit;[];[]
herpes genital (herpes simplex);herpes ginital;[];[]
herpes genital (herpes simplex);infeksi virus herpes simpleks pada kulit dan selaput lendir;[];[]
herpes genital (herpes simplex);herpes genital awal rekuren;[];[]
herpes genital (herpes simplex);infeksi awal herpes labialis;[];[]
herpes genital (herpes simplex);herpes simplex tipe 2;[];[]
herpes genital (herpes simplex);supresi kekambuhan infeksi herpes simplex;[];[]
herpes genital (herpes simplex);rekuren;[];[]
herpes genital (herpes simplex);herpes simplex tipe 1 2;[];[]
herpes genital (herpes simplex);herpes simplex dan zoster;[];[]
herpes genital (herpes simplex);pencegahan infeksi herpes simplex;[];[]
herpes genital (herpes simplex);infeksi herpes simpleks pada kulit;[];[]
herpes genital (herpes simplex);infeksi awal herpes genital;[];[]
herpes zoster;herpes zoster;[];[]
herpes zoster;zoster;[];[]
herpes zoster;infeksi virus herpes zoster;[];[]
hidung tersumbat;gatal hidung;[];[]
hidung tersumbat;hidung tersumbatgatal;[];[]
hidung tersumbat;tenggorokan hidung tersumbat;[];[]
hidung tersumbat;hidung berair;[];[]
hidung tersumbat;pilek gatal hidung;[];[]
hidung tersumbat;hidung tersumbat/gatal;[];[]
hidung tersumbat;hidung tersumbat bersinbersin;[];[]
hidung tersumbat;tersumbat;[];[]
hidung tersumbat;gatal hidung tenggorokan;[];[]
hidung tersumbat;hidung berair tersumbat;[];[]
hidung tersumbat;hidung tersumbat pilek;[];[]
hidung tersumbat;hidung tersumbat;[];[]
hiperasiditas gastrointestinal;hiperasiditas lambung saluran cerna;['hiperasiditas lambung'];['hiperasiditas lambung']
hiperasiditas gastrointestinal;hiperasiditas gastrointestinal;[];[]
hiperasiditas gastrointestinal;hiperasiditas pencernaan;[];[]
hiperemesis gravidarum;emesis gravidarum;[];[]
hiperemesis gravidarum;hiperemesis gravidarum muntahmuntah 3 kehamilan;[];[]
hiperemesis gravidarum;hiperemesis gravidarum;[];[]
hiperglikemia;hiperglikemia;[];[]
hiperkalemia;hiperkalemia;[];[]
hiperkolesterolemia;hiperkolesterolemia primer tipe iia;[];[]
hiperkolesterolemia;hiperkolesterolemia hip;[];[]
hiperkolesterolemia;hiperkolesterolemia primer tipe;[];[]
hiperkolesterolemia;heterozigot familial;[];[]
hiperkolesterolemia;hiperko - lesterolemia;[];[]
hiperkolesterolemia;hiperkolesterolemia primer;[];[]
hiperkolesterolemia;hiperkolesterolemia familial heterozigot;[];[]
hiperkolesterolemia;hiperkoleterolemia primer;[];[]
hiperkolesterolemia;hiperkolesterolemia;[];[]
hiperkolesterolemia;hiperkolesterol primer;[];[]
hiperkolesterolemia;hiperkolesterol primer tipe iia;[];[]
hiperkolesterolemia;hiperkolesterolemia tipe iia;[];[]
hiperkolesterolemia;hiperko lesterolemia;[];[]
hiperkolesterolemia;hiperkolesterolemia familial;[];[]
hiperkolesterolemia;hiperkolesterolemia familial heterozigot homozigot;[];[]
hiperkolesterolemia;hiperkolsterolemia;[];[]
hiperlipidemia;hiperlipidemia kombinasi tipe iib ii;[];[]
hiperlipidemia;hiperlipidemia campuran;[];[]
hiperlipidemia;hiperlipidemia;[];[]
hiperlipidemia;hiperlipidemia kombinasi campuran;[];[]
hiperlipidemia;hiperlipidaemia;[];[]
hiperparatiroidisme;hiperparatiroidisme;[];[]
hiperpigmentasi;hiperpigmentasi kulit;[];[]
hiperpigmentasi;hiperpigmentasi;[];[]
hiperpigmentasi;hiperpigmentasi melanin area kulit tidak;[];[]
hiperpigmentasi;hiperpigmentasi melamin;[];[]
hipersekresi mukus;hipersekresi mukus;[];[]
hipertensi;hipertensi;[];[]
hipertensi;hipertensi essensial ringan;[];[]
hipertensi;hipertensi esensial renovaskular;[];[]
hipertensi;tekanan tinggi pembuluh darah arteri paruparu;[];[]
hipertensi;hipertensi nefrogenik;[];[]
hipertensi;hipertensi essensial;[];[]
hipertensi;hipertensi ringan;[];[]
hipertensi;hipertensi dewasa;[];[]
hipertensi;hipertensi esensial;[];[]
hipertensi;hipertensi berat;[];[]
hipertensi;hipertensi renovaskuler;[];[]
hipertensi;darah tinggi;[];[]
hipertensi;hipertensi esensial ringan;[];[]
hipertensi;hipertensi maligna;[];[]
hipertensi okuler;hipertensi okular;[];[]
hipertensi okuler;hipertensi okular tidak responsif;[];[]
hipertensi okuler;hipertensi mata;[];[]
hipertensi okuler;hipertensi okular responsif;[];[]
hipertensi okuler;hipertensi okuler;[];[]
hipertensi pulmonal;hipertensi pulmonal;[];[]
hiperurisemia;hiperurisemia sekunder;[];[]
hiperurisemia;hiperurisemia;[];[]
hiperurisemia;hiperuresemia;[];[]
hiperurisemia;hiperurisemia primer;[];[]
hipoalbuminemia;hipoalbuminemia;[];[]
hipokalemia;hipokalemia;[];[]
hipomagnesemia;hipomagnesemia;[];[]
hipomagnesemia;hipomagnesia;[];[]
hipoparatiroid;hipoparatiroidisme;[];[]
hipotensi;hipotensi okuler;[];[]
hipotensi;hipotensi;[];[]
hirsutisme;hirsutisme;[];[]
hirsutisme;hirsutism;[];[]
histoplasmosis;hiptoplasmosis;[];[]
histoplasmosis;histoplasmosis;[];[]
iktiosis;iktiosis;[];[]
iktiosis;iktiosis kulit kering;[];[]
