standardized_disease;list_of_diseases_fuzzy_tfidf_1
glaukoma;['glaukoma sudut terbuka', 'glaukoma', 'glukoma sudut terbuka kronis', 'glaukoma sudut  terbuka', 'aphakic glukoma', 'glaukoma simplek kronis', 'glaukoma sudut  terbuka hipertensi okular', 'glaukoma sudut  terbuka khronis', 'glaukoma sekunder', 'glaukoma sudut terbuka kronis', 'glaukoma sudut terbuka khronis', 'glaukoma sudutterbuka', 'glukoma', 'glaukoma sudut terbuka hipertensi okular', 'glaukoma sudut tertutup']
gonore;['gonore akut', 'uretritis servisitis gonore', 'gonore tidak terkomplikasi', 'eritritis pielonefritis gonore', 'go akut', 'go infeksi', 'gonorea tanpa komplikasi', 'gogonorea tanpa komplikasi', 'go', 'gonorrhea', 'gonorrhoea', 'gonorhea yang tidak terkomplikasi infeksi kulit dan jaringan lunak', 'uretritis gonore', 'gonorhea tidak terkomplikasi infeksi kulit jaringan lunak', 'gonorrhoea tidak terkomplikasi', 'uretritis non gonore', 'gonorrhea komplikasi', 'n gonorrhoea', 'gonore', 'uretritis gonore servisitis komplikasi', 'gonorea', 'gonorrhoeae', 'gonore komplikasi', 'gonorrhoea acute tidak terkomplikasi', 'gonorrhoea akut tidak terkomplikasi', 'neisseria gonorrhoea']
granuloma inguinale;['limfogranuloma inguinale', 'granuloma inguinale']
gusi bengkak;['gusi bengkak']
hematoma;['hematoma']
hepatitis;['hepatitis alkoholik', 'hepatitis', 'hepatitis virus', 'virus hepatitis b', 'profilaksis infeksi hepatitis']
hepatitis b;['infeksi virus hepatitis b kronik', 'virus hepatitis b kronik', 'hepatitis b kronik']
hernia;['hernia peptik', 'hernia']
hernia hiatus;['hiatus hernis', 'hiatus hernia', 'hiatus', 'hernia hiatus']
hernia nukleus pulposus;['hernia neukleus pulposus']
herpes;['herpes labialis', 'virus herpes', 'infeksi rekuren herpes labialis']
herpes genital (herpes simplex);['herpes genital', 'virus herpes simpleks', 'supresi kekambuhan infeksi herpes simplex', 'herpes simplek kulit', 'herpes genitalis', 'infeksi virus herpes simpleks kulit selaput lendir', 'alergi kulit selaput lendir', 'lichen simplek', 'rekuren', 'herpes genital awal', 'herpes genital rekuren', 'infeksi awal herpes labialis', 'herpes simplex tipe 1  2', 'herpes simplex zoster', 'infeksi herpes simplex', 'herpes simpleks', 'infeksi herpes simpleks pada kulit', 'infeksi virus herpes simplex kulit membran mukosa', 'herpes simplex dan zoster', 'herpes genital berulang', 'infeksi rekuren herpes genital', 'infeksi awal herpes genital', 'infeksi virus herpes simpleks pada kulit dan selaput lendir', 'herpes simplex tipe 1 2', 'herpes simplex tipe 1', 'infeksi virus herpes simpleks', 'infeksi herpes simplex kulit', 'infeksi virus herpes simpleks kulit membran mukosa', 'pencegahan infeksi herpes simplex', 'herpes genital awal  rekuren', 'herpes simplex', 'herpes genital awal rekuren', 'herpes simplek', 'herpes simplex tipe 2', 'herpes simplek pada kulit', 'infeksi herpes simpleks kulit', 'herpes genital awal dan rekuren', 'infeksi herpes simplex pada kulit', 'herpes ginital awal', 'herpes ginital', 'herpes simpleks kulit membran mukosa']
herpes zoster;['herpes zoster', 'zoster', 'infeksi virus herpes zoster']
hidung tersumbat;['pilek gatal hidung', 'hidung', 'hidung berair tersumbat', 'hidung tersumbat/gatal', 'hidung tersumbat pilek', 'hidung tersumbat', 'gatal hidung tenggorokan', 'hidung tersumbat bersinbersin', 'tersumbat', 'tenggorokan hidung tersumbat', 'hidung berair', 'gatal hidung']
hiperasiditas gastrointestinal;['hiperasiditas pencernaan', 'hiperasiditas lambung saluran cerna', 'hiperasiditas gastrointestinal']
hiperemesis gravidarum;['emesis gravidarum', 'hiperemesis gravidarum', 'hiperemesis gravidarum muntahmuntah 3 kehamilan']
hiperglikemia;['hiperglikemia']
hiperkalemia;['hiperkalemia']
hiperkolesterolemia;['hiperkolesterolemia primer tipe iia', 'heterozigot familial', 'hiperko - lesterolemia', 'hiperkolesterolemia primer tipe', 'hiperkolesterolemia familial heterozigot homozigot', 'hiperkolesterol primer', 'hiperkolesterolemia familial', 'hiperkolesterolemia tipe iia', 'hiperkolesterol primer tipe iia', 'hiperkolesterolemia', 'hiperkolesterolemia primer', 'hiperkolesterolemia hip', 'hiperkoleterolemia primer', 'hiperkolesterolemia familial heterozigot', 'hiperkolsterolemia', 'hiperko lesterolemia']
hiperlipidemia;['hiperlipidemia', 'hiperlipidaemia', 'hiperlipidemia kombinasi tipe iib ii', 'hiperlipidemia campuran', 'hiperlipidemia kombinasi campuran']
hiperparatiroidisme;['hiperparatiroidisme']
hiperpigmentasi;['hiperpigmentasi melamin', 'hiperpigmentasi melanin area kulit tidak', 'hiperpigmentasi kulit', 'hiperpigmentasi']
hipersekresi mukus;['hipersekresi mukus']
hipertensi;['hipertensi ringan', 'tekanan tinggi pembuluh darah arteri paruparu', 'darah tinggi', 'hipertensi maligna', 'hipertensi esensial renovaskular', 'hipertensi esensial', 'hipertensi esensial ringan', 'hipertensi nefrogenik', 'hipertensi berat', 'hipertensi essensial', 'hipertensi', 'hipertensi essensial ringan', 'hipertensi dewasa', 'hipertensi renovaskuler']
hipertensi okuler;['hipertensi okular responsif', 'hipertensi okuler', 'hipertensi okular', 'hipertensi mata', 'hipertensi okular tidak responsif']
hipertensi pulmonal;['hipertensi pulmonal']
hiperurisemia;['hiperurisemia', 'hiperuresemia', 'hiperurisemia sekunder', 'hiperurisemia primer']
hipoalbuminemia;['hipoalbuminemia']
hipokalemia;['hipokalemia']
hipomagnesemia;['hipomagnesia', 'hipomagnesemia']
hipoparatiroid;['hipoparatiroidisme']
hipotensi;['hipotensi okuler', 'hipotensi']
hirsutisme;['hirsutism', 'hirsutisme']
histoplasmosis;['hiptoplasmosis', 'histoplasmosis']
iktiosis;['iktiosis', 'ikhtiosis', 'iktiosis kulit kering']
ileus paralitik;['ileus paralitik']
impetigo;['impetigo', 'furunculosis', 'impetigo kontagiosum', 'impetigo kontagiosa', 'impetigo go komplikasi', 'impetigo furunculosis']
impotensi;['impoten', 'impoten pria', 'impotensi']
imunisasi;['imunisasi']
infeksi;['infeksi kandida mukosa lainnya', 'infeksi akut', 'infeksi', 'infeksi lain disebabkan kuman gram sensitif', 'infeksi ringan sedang', 'infeksi ringan', 'infeksi lain', 'infeksi sedang', 'infeksi berat', 'infeksi serius', 'infeksi lainnya']
infeksi bakteri;['infeksi bakteri gr gr  sal nafas', 'infeksi bakteri yang rentan', 'infeksi sekunder bakteri gram positif', 'infeksi disebabkan oleh bakteri', 'bakteri gram positif', 'infeksi akibat bakteri saluran kemih', 'infeksi gram', 'infeksi berat disebabkan kuman gr gr', 'infeksi mikobakterial tertentu', 'bakteri endocarditis', 'infeksi bakteri', 'infeksi gram positif negatif', 'staph', 'bakterial', 'bakteri gram negatif', 'bakteria meningitis', 'eritis bakterial', 'bakteriuria asimptomatik masa hamil', 'bakteri gram negativ', 'infeksi bakteri dan jamur fungi', 'infeksi bakteri gram positif', 'disebabkan oleh jamur bakteri mulut', 'infeksi bakteri anaerob', 'infeksi mikobakteri', 'bakteri gr  penyebab bakteremia', 'bakteri gr penyebab bakteremia', 'infeksi akibat bakteri', 'infeksi bakteri sensitif levofloxacin sinusitis', 'infeksi disebabkan mikroorganisme gram positif gram negatif organisme memproduksi penisillinase', 'infeksi bakteri jamur fungi', 'eksaserbasi bakterial akut', 'infeksi bakteri lipatan kulit', 'infeksi oleh bakteri', 'infeksi bakteri anaerob serius', 'bakteriuria asimptomatik pada masa hamil', 'infeksi serius bakteri anaerob', 'infeksi bakteri gr gr sal nafas', 'infeksi gr serius berat', 'infeksi berat disebabkan bakteri gram', 'infeksi rentan berat', 'gram negatif', 'infeksi bakteri pada lipatan kulit', 'infeksi bakteri sensitif moxifloxacin', 'infeksi akibat bakteri saluran pernapasan', 'bakterial akut', 'infeksi bakteri sekunder bronkitis akut', 'infeksi mikobakterial', 'infeksi bakterial sekunder', 'infeksi disebabkan oleh mikroorganisme gram positif gram negatif sensitif terhadap tetracyclin', 'bakteri anaerob', 'infeksi serius disebabkan bakteri anaerob sensitif', 'infeksi staph', 'infeksi gram positif serius berat', 'infeksi bakteri anaerob sensitif', 'infeksi bakteri dan fungi pada mulut dan tenggorokan', 'infeksi akibat chlamydia trachomatis', 'bakteri staph', 'bakteri gr', 'infeksi serius staph', 'infeksi bakterial mata', 'infeksi bakteri fungi mulut tenggorokan', 'infeksi bakteri rentan', 'infeksi bakteri mycobacterium tuberculosis tbc', 'infeksi serius disebabkan bakteri sensitif', 'infeksi bakteri sekunder', 'infeksi akibat bakteri pencernaan', 'anaerob', 'infeksi serius akibat bakteri anaerob', 'infeksi gram positif gram negatif', 'bakteri', 'infeksi gram negatif', 'infeksi gram positif', 'infeksi disebabkan bakteri anaerob', 'infeksi anaerob']
infeksi genital;['infeksi genital']
infeksi gigi;['infeksi gigi']
infeksi ginjal;['infeksi ginjal', 'infeksi pada ginjal', 'pielonefritis infeksi ginjal akut']
infeksi helicobacter pylori;['infeksi bakteri helicobacter pylorus']
infeksi jamur;['fungi', 'infeksi jamur kulit kulit kepala kuku', 'infesi jamur', 'infeksi jamur fungi', 'infeksi jamur sistemik', 'infeksi jamur ringworm kulit rambut kuku disebabkan microsporum epidermophyton trichophyton', 'infeksi jamur ring  worm kulit', 'infeksi jamur pada kulit dengan inflamasiperadangan', 'infeksi jamur ring worm kulit', 'jamur', 'infeksi jamur pada kulit kulit kepala dan kuku', 'infeksi jamur ringworm kulit  rambut kuku disebabkan microsporum  epidermophyton trichophyton', 'infeksi jamur', 'infeksi jamur kulit dengan inflamasiperadangan', 'profilaksis infeksi jamur', 'infeksi akibat jamur', 'infeksi jamur tubuh', 'infeksi fungi', 'infeksi jamur kandidiasis']
infeksi jamur kuku;['infeksi jamur kuku', 'infeksi jamur pada kuku']
infeksi jamur kulit;['infeksi jamur pada kulit dan kuku', 'infeksi jamur lipatan kulit', 'infeksi jamur kulit', 'infeksi kuku kulit dermatofita', 'infeksi di kulit  jaringan lunak', 'dermatofita', 'infeksi jamur pada kulit', 'infeksi jamur kulit kepala', 'infeksi jamur kulit kuku', 'infeksi dermatofita kuku kaki', 'infeksi dermatofita kulit kuku tangan']
infeksi jamur rambut;['infeksi jamur rambut']
infeksi kuku;[]
infeksi kulit;['infeksi kulit primer sekunder', 'infeksi kulit kepala', 'infeksi kulit dan jaringan lunak tanpa komplikasi', 'infeksi kulit lainnya', 'lesi kulit traumatik infeksi sekunder', 'infeksi basah kering kulit bayi', 'infeksi kulit primer akut', 'infeksi kulit struktur kulit ringan terkomplikasi', 'pioderma', 'infeksi kulit struktur kulit komplikasi', 'infeksi kulit sekunder', 'gangguan kulit', 'infeksi kulit jar lunak', 'infeksi kulit jaringan lunak', 'terapi infeksi kulit', 'infeksi sekunder luka terbuka', 'infeksi kulit  jaringan lunak', 'infeksi kulit termasuk herpes genital rekuren herpes labialis', 'kulit jar lunak infeksi serius', 'infeksi sekunder kulit', 'kulit infeksi', 'lesi kulit dengan infeksi primer sekunder oleh bakteri streptokokus', 'infeksi kulit pioderma', 'infeksi kulit termasuk herpes genital rekuren dan herpes labialis', 'infeksi kulit jaringan lunak tanpa komplikasi', 'infeksi kulit strukturnya tanpa komplikasi', 'infeksi kulit dan membran mukosa lokal', 'infeksi sekunder pyoderma', 'infeksi kulit lain organisme peka terhadap kloramfenikol', 'infeksi kulit jaringan luka', 'infeksi kulit lain karena organisme yang peka terhadap kloramfenikol', 'infeksi kulit struktur kulit', 'pioderma dermatitis infeksi sekunder', 'infeksi serius jaringan lunak kulit', 'infeksi kuku kulit', 'infeksi kulit jelunak', 'infeksi kulit dan jar lunak', 'infeksi kulit termasuk herpes genital rekuren', 'infeksi jaringan', 'infeksi kulit struktur kulit terkomplikasi', 'infeksi mikotik kulit', 'infeksi kulit primer maupun sekunder', 'struktur kulit infeksi', 'infeksi kulit dan strukturnya tanpa komplikasi', 'infeksi pada kulit', 'infeksi kulit membran mukosa luar', 'infeksi kulit primer', 'infeksi kulit jar lunak terkomplikasi', 'infeksi kulit lain', 'infeksi kulit dan jaringan lunak', 'infeksi kulit', 'pioderma gangrenosa', 'infeksi jaringan lunak', 'infeksi kulit struktur kulit tak terkomplikasi', 'infeksi kulit dan struktur kulit', 'infeksi kulit primer dan sekunder', 'infeksi kulit kepala demartitis sebaroik ringan', 'infeksi kulit mukosa', 'pioderma primer sekunder', 'infeksi jar lunak', 'infeksi primer sekunder', 'infeksi kulit membran mukosa lokal', 'infeksi kulit struktur kulit tidak terkomplikasi', 'infeksi struktur kulit', 'infeksi kulit dan membran mukosa luar', 'infeksi kulit dan struktur kulit tak terkomplikasi', 'infeksi jaringan lunak kulit', 'mikosis kulit lain']
infeksi lambung;['infeksi lambung']
infeksi luka operasi;['infeksi operasi esofangeal', 'luka dengan infeksi', 'infeksi pasca operasi', 'luka paska operasi', 'infeksi luka operasi', 'infeksi luka', 'infeksi sesudah operasi', 'infeksi operasi']
infeksi mata;['infeksi eksternal mata', 'infeksi mata disebabkan oleh bakteri gram negatif', 'infeksi mata', 'infeksi pada mata', 'infeksi okular', 'infeksi mata eksternal bola mata', 'inflamasi mata', 'infeksi mata okular']
infeksi mulut;['infeksi rongga mulut', 'infeksi jamur rongga mulut', 'infeksi jamur dalam rongga mulut', 'infeksi jamur fungi rongga mulut tenggorokan', 'infeksi mulut']
infeksi paru-paru;['infeksi paru-paru', 'infeksi paru']
infeksi perut;['infeksi perut']
infeksi rahim;['infeksi rahim']
infeksi salmonella;['salmonelosis', 'infeksi disebabkan salmonella', 'infeksi salmonella spp', 'infeksi yang disebabkan oleh salmonella sp', 'infeksi disebabkan oleh salmonella sp', 'salmonellosis', 'salmonelosis infeksi urogenital', 'salmonelosis  infeksi urogenital', 'infeksi salmonella sp', 'salmonella sp', 'infeksi salmonele', 'salmonella', 'infeksi disebabkan salmonella sp', 'infeksi yang disebabkan oleh salmonella', 'infeksi disebabkan oleh salmonella', 'infeksi salmonella', 'infeksi salmonella sp sp']
infeksi saluran kelamin;['infeksi saluran kelamin', 'kelamin infeksi', 'infeksi kelamin']
infeksi saluran kemih;['infeksi saluran kemih', 'infeksi saluran kemih dengan komplikasi', 'infeksi saluran genitourinaria', 'komplikasi infeksi saluran kemih', 'infeksi sal gl', 'infeksi saluran genitourinari', 'infeksi saluran gl', 'infeksi sal kemih', 'infeksi urogenital', 'infeksi akut non komplikata saluran kemih bagian bawah', 'complicated urinary tract infection', 'infeksi saluran kemih bagian bawah', 'infeksi saluran urogenital', 'infeksi pada saluran kemih', 'infeksi bakteri saluran kemih', 'saluran kemih organ genital wanita', 'saluran kemih kelamin infeksi kulit jaringan lunak', 'infeksi saluran kemih  kelamin', 'infeksi saluran kemih akut komplikasi', 'infeksi saluran kemih akut', 'isk', 'infeksi saluram urinarius', 'infeksi di saluran kemih', 'infeksi saluran urin', 'infeksi saluran urinarius', 'infeksi saluran kemih komplikasi', 'infeksi traktus genitourinary', 'kelamin infeksi kulit jaringan lunak', 'infeksi saluran genitourinary', 'infeksi saluran kemih tidak terkomplikasi disebabkan escherichia coli proteus mirabilis', 'infeksi saluran kemih kompleks complicated urinary tract infection', 'infeksi saluran kemih dan kelamin', 'isk komplikasi', 'infeksi saluran kemih tanpa komplikasi', 'infeksi traktus urinarius pielonefritis', 'infeksi traktus urinarius', 'infeksi saluran kencing', 'infeksi saluran kemih kecuali prostatitis', 'isk terkomplikasi', 'infeksi saluran kemih kelamin', 'infeksi sal urogenital kemih kelamin', 'infeksi saluran kelamin', 'saluran kemih kelamin infeksi', 'infeksi saluran kemih kompleks']
infeksi saluran pencernaan;['infeksi intraabdomen dengan komplikasi', 'proteus mirabilisinfeksi saluran pencernaan', 'infeksi pernafasan saluran cerna', 'lesi di saluran pencernaan', 'infeksi saluran cerna', 'lesi saluran pencernaan', 'infeksi saluran pencernaan', 'infeksi pencernaan', 'infeksi gut', 'infeksi sal cerna', 'sal cerna tifoid paratifoid', 'infeksi sistem pencernaan', 'infeksi saluran cerna tifoid paratifoid']
infeksi saluran pernapasan;['infeksi saluran pernapasan bawah', 'infeksi saluran nafas kulit dan jaringan lunak', 'infeksi serius disebabkan bakteri sensitif infeksi saluran nafas bawah', 'infeksi virus sal napa', 'infeksi saluran pernafasan bawah', 'infeksi saluran nafas bawah dan atas', 'infeksi saluran pernapasan atas bawah', 'infeksi saluran nafas akut khronik', 'infeksi sal nafas atas bawah', 'infeksi saluran napa akut kronik', 'infeksi serius saluran nafas bag bawah', 'infeksi saluran napa akut', 'infeksi saluran nafas bagian atas dan bawah', 'infeksi sal nafas', 'infeksi saluran nafas atas dan bawah', 'infeksi ringan sedang sal nafas bawah atas kulit struktur kulit phs', 'infeksi saluran nafas kulit jaringan lunak', 'infeksi saluran nafas atas bawah', 'infeksi saluran pencernaan saluran kemih', 'infeksi saluran nafas akut kronik', 'infeksi saluran nafas bawah', 'infeksi saluran napas bawah', 'infeksi tht', 'infeksi ringan  sedang sal nafas bawah dan atas kulit dan struktur kulit phs', 'infeksi sal nafas atas', 'infeksi saluran pernafasan bagian atas bawah', 'infeksi saluran pernapasan', 'infeksi berat sal nafas', 'infeksi saluran napas atas', 'infeksi saluran pernfasan bagian atas bawah', 'sal nafas kecuali pneumonia strep', 'infeksi saluran pernapasan atas  bawah', 'infeksi sal nafas lainnya', 'infeksi sal pernafasan atas', 'infeksi saluran pernafasan', 'infeksi saluran nafas bagian atas bawah', 'infeksi sal nafas bawah', 'infeksi saluran pernafasan bagian bawah', 'infeksi saluran pernafasan bagian atas  bawah', 'infeksi saluran pernafasan bagian atas', 'infeksi saluran nafas akut dan kronik', 'infeksi sal napa', 'infeksi saluran nafas akut', 'infeksi bakteri saluran pernafasan', 'infeksi saluran nafas kecuali pneumonia strep hemolitikus', 'infeksi saluran nafas kronik', 'infeksi saluran nafas bawah atas', 'infeksi pernafasan', 'infeksi saluran nafas dan tht', 'infeksi saluran pernapasan atas', 'saluran nafas atas', 'infeksi ringan saluran nafas', 'infeksi saluran nafas dan bawah', 'infeksi sal', 'infeksi saluran napas atas  bawah', 'infeksi saluran nafas atas', 'infeksi saluran nafas', 'infeksi saluran napas', 'infeksi saluran pernapasan bagian atas', 'tht', 'infeksi serius saluran nafas', 'infeksi saluran nafas akut dan khronik', 'infeksi saluran napa', 'infeksi sal nafas kulit', 'infeksi sal nafas atas dan bawah', 'infeksi saluran pernapasan atas dan bawah', 'infeksi saluran nafas khronik', 'infeksi sal nafas bakteri gr', 'infeksi saluran napas atas dan bawah', 'infeksi saluran napas atas bawah', 'saluran nafas akut kronik', 'infeksi saluran nafas tht']
infeksi sekunder;['komplikasi infeksi sekunder', 'infeksi sekunder']
infeksi selaput lendir mulut;['infeksi selaput lendir mulut']
infeksi sendi;['infeksi sendi']
infeksi staphylococcus;['staphylococcus', 'staphylococcus aureus', 'infeksi disebabkan staphylococcus', 'luka terinfeksi disebabkan oleh staphylococcus aureus', 'infeksi staphylococcus']
infeksi streptococcus;['streptococcus faecalis', 'hemolitikus', 'streptococcus viridans', 'strep', 'strep hemolitikus', 'streptococcus', 'streptococcus hemolyticus', 'infeksi streptococcus', 'streptococcus pyogenes', 'streptococcus epidermidis', 'infeksi strep']
infeksi telinga;['infeksi rongga telinga', 'infeksi telinga hidung tenggorokan', 'peradangan akibat infeksi telinga', 'infeksi telinga']
infeksi tulang;['infeksi tulang sendi', 'infeksi tulang persendian', 'infeksi tulang']
infeksi usus;['infeksi usus', 'infeksi traktus gastrointestinal']
infeksi vagina;['infeksi vagina campuran', 'infeksi vagina disebabkan trichomonas vaginalis', 'infeksi vagina', 'infeksi vagina disebabkan candida albicans']
infeksi virus;['infeksi virus']
inflamasi;['inflamasi']
inflamasi okular;['inflamasi okular']
inflamasi pasca operasi;['inflamasi paska operasi katarak', 'inflamasi pasca operasi', 'inflamasi paska operasi', 'radang pasca operasi katarak']
inkontinensia tinja;['inkontinensia tinja']
inkontinensia urine;['inkontinensia urin']
insomnia;['insomnia']
intoleransi makanan;['intoleransi terhadap makanan salah cerna', 'intoleransi terhadap makanan']
intoleransi obat;['intoleransi terhadap obat sitotoksik', 'intoleransi obat']
iritasi;['iritasi ringan', 'teriritasi lingkungan']
iritasi mata;['iritasi mata']
iritasi saluran pernapasan;['iritasi saluran nafas lainnya', 'iritasi membran mukosa saluran nafas', 'iritasi membran mukosa']
iritasi usus;['iritasi usus']
iskemia;['iskemia ulkus', 'iskemia miokard', 'iskemia', 'iskemia miokardial']
jamur kulit;['jamur lipatan kulit', 'jamur kulit', 'jamur pada kulit']
jerawat;['infeksi jerawat', 'jerawatakne vulgaris', 'jerawat bisul', 'jerawat berisi nanah', 'jerawat parah', 'jerawat', 'jerawat berat', 'aknejerawat berisi nanah']
jerawat batu;['jerawat batu']
kandidiasis kulit;['kandidasis kutan', 'kandidiasis kulit']
kandidiasis mukosal;['kandidiasis mukokutan kulit mukosa khronik', 'kandidiasis mukokutan kulit mukosa khronik tidak responsif nistatin obat kandidiasis vaginal', 'kandidiasis mukosal', 'kandidiasis mukokutan kulit  mukosa khronik tidak responsif nistatin obat kandidiasis vaginal', 'kandidiasis mukokutan kronis', 'kandidiasis mukokutan khronis', 'kandidiasis mukokutan kulit  mukosa khronik', 'kandidiasi mukosa']
kandidiasis oral;['orofaringeal', 'kandidiasis mulut dermatomikosis', 'kandidiasis orofaringeal  esofageal', 'kandidiasis oral', 'kandidosis oral', 'kandidiasis rongga mulut', 'kandidiasis orofaringeal', 'infeksi orofaringeal', 'kandidiasis orofaringeal esofageal', 'atopik oral kandidiasis', 'kandidiasis mulut', 'kandidiasis oral infeksi jamur rongga mulut', 'kandidiasis orofaringe']
kandidiasis vaginalis;['kandidosis vaginal', 'kandidiasis vulvovaginal', 'kandidiasis vagina', 'kandidiasis vaginal']
kanker;['pasien kanker', 'nyeri kanker', 'kanker emetogenik', 'sel kanker', 'kanker', 'penyakit kanker']
kanker darah;['kanker darah']
kanker hati;['kanker hati']
kanker kandung kemih;['kanker kandung kemih']
kanker lambung;['kanker lambung']
kanker paru-paru;['kanker paru', 'kanker paru paru']
kanker payudara;['kanker payudara stadium lokal lanjutmetastasis', 'kanker payudara stadium dini', 'karsinoma payudara', 'kanker payudara stadium lanjut', 'kanker payu dara', 'kanker payudara']
kanker prostat;['kanker prostat']
kanker rahim;['kanker rahim']
kanker tenggorokan;['kanker tenggorokan']
kapalan;['kalus kapalan', 'kalos kapalan', 'kapalan']
kardiomiopati;['cardiomiopati obstruktif hipertrofik']
kejang;['kejang otot', 'kejang bronkus', 'kejang']
kelahiran prematur;['prematur', 'ancaman kelahiran prematur']
kelainan darah;['kelainan darah']
kelainan kulit;['kelainan kulit']
kelainan muskuloskeletal akut;['kelainan muskuloskeletal akut']
kelainan periodontal;['kelainan periodontal']
kelainan saraf;['kelainan saraf']
kencing manis;['kencing manis']
keputihan;['keputihan', 'gatal akibat keputihan']
keracunan;['keracunan']
keracunan alkohol;['intoksinasi alkohol', 'keracunan alkohol']
keracunan darah;['keracunan darah']
keracunan hati;['keracunan hati']
keracunan obat;['keracunan obat']
keratitis;['keratitis bakterial', 'keratitis metaherpetikum', 'keratitis akibat infeksi virus superfisial', 'keratitis dendritis', 'keratitis gangguan peradangan okular', 'fungal keratitis', 'keratitis kronik', 'keratitis akut', 'keratitis', 'keratitis jamur', 'keratitis fungal', 'keratitis superfisial nonspesifik']
keratokonjungtivitis;['keratokonjungtivitis sicca', 'keratokonjungtivitis']
keratosis pilaris;['keratosis pilaris']
keseleo;['keseleo', 'memar keseleo', 'sprains keseleo', 'kesleo', 'keseleo tegang', 'keseleo terkilir']
kesemutan;['kesemutan']
ketombe;['ketombe disebabkan pytirosporum ovale', 'ketombe', 'ketombe dikulit kepala']
kista;['kista', 'miom kista']
klaudikasio intermiten;['klaudikasi intermiten', 'klaudikasio intermiten']
kolera;['kolera']
kolesterol;['kolesterol total', 'ldl', 'kolesterol', 'kolesterol ldl', 'kolesterol jahat']
kolik ginjal;['kolik ginjal']
kolik kandung kemih;['kolik', 'kolik kandung kemih', 'nyeri kolik', 'kolik ginjal kandung kemih']
koma;['koma hepatic', 'koma', 'pre koma hepatik', 'koma hepatik']
komedo;['komedo', 'peradangan dengan komedo']
komplikasi paru pasca bedah;['komplikasi paru pasca bedah']
konjungtivitis;['konjungtivitis nonpurulen', 'konjungtivitis alergi radang selaput ikat mata akibat alergi', 'konjungtivitis nonpurulen akut kronis', 'konjungtivitis', 'konjungtivitis folikular', 'konjungtivitis alergi', 'konjungtivitis bakterial', 'konjungtivitas', 'konjungktivitis', 'konjungtivitis infeksi bakteri', 'konjungtivitis vernal', 'konjungtivitis infeksi e']
konstipasi;['konstipasi atoni', 'konstipasi akut', 'konstipasi kronis', 'konstipasi akut kronik', 'konstipasi superscript', 'konstipasi kronik', 'konstipasi']
kram otot;['nyeri spasme kram otot polo', 'kram', 'spasme kram otot', 'kram otot']
kram perut;['sakit kram perut', 'kram perut disebabkan oleh menstruasi dysmenorrhea', 'kram perut']
kram saluran kemih;['kram saluran kemih kelamin']
kram saluran pencernaan;['kram saluran cerna pylorus', 'kram saluran cerna']
kriptosporidiosis;['kriptosporidiosis', 'cryptosporidiosis']
kudis;['kudis', 'scabies kudis', 'kadas', 'panu kadas']
kulit kering;['kulit kering']
kurap;['kadaskurap', 'kurap']
kutil;['kutil kalus', 'kutil']
kutu air;['kutu air rangen', 'tinea pedis kutu air', 'kutu air']
kutu badan;['kutu badan']
kutu rambut;['kutu rambut']
labirinitis;['labirinitis', 'sindroma meniere labirinitis']
lambliasis;['lambliasis']
laringitis;['laringitis', 'laryngitis']
leher pegal dan kaku;['leher kaku', 'pegal leher', 'leher kaku bahu']
leptospirosis;['leptospirosis']
lesi kulit;['lesi2 kulit lainnya']
lesi mulut;['lesi inflamasi oral']
lichen planus;['likhen planus erosif', 'likhen planus', 'liken planus', 'lichen planus']
luka;['luka', 'luka kronik']
luka bakar;['luka bakar akibat bahan kimia', 'luka bakar', 'luka bakar terinfeksi', 'luka bakar ringan']
luka tusuk;['luka tusuk']
luka usus;['luka usus', 'luka usus duodenal', 'luka lambung usus']
lupus;['lupus eritematosus', 'lupus eritemmantosus', 'lupus eritematosus diskoid', 'lupus eritematosus diskoid kondisi tidak respon kortikosteroid aktif', 'lupus eritematosus diskoid tidak respon kortikosteroid aktif', 'lupus eritematosus discoid', 'lupus']
mabuk perjalanan;['pencegahan mabuk perjalanan', 'mabuk kendaraan', 'mabuk karena kendaraan', 'mabuk', 'mabuk perjalanan']
makrosomia;['makrosomia']
malaria;['pencegahan malaria', 'malaria', 'malaria falciparum']
mata gatal;['gatal mata']
mata ikan;['mata ikan']
mata kering;['sindroma mata kering', 'kekeringan mata', 'mata kering']
mata lelah;['mata lelah']
mata merah;['kemerahan mata', 'peradangan mata merah', 'mata merah', 'iritasi mata merah']
melasma;['melasma derajat sedang hingga berat', 'melasma']
meningitis;['meningitis']
menopause;['menopause', 'gangguan pasca menopause']
meriang;['badan meriang', 'sumeng meriang', 'meriang']
mialgia;['mialgia']
migrain;['migrain', 'migrain akut', 'migraine', 'migraine akut']
mikosis;['mikosis kulit dermatofita', 'mikosis interdigitalis', 'mikosis', 'infeksi mikosis sistemik', 'mikosis sistemik', 'mikosis mulut kulit kandida']
milia;['milia']
miom;['miom']
molluscum contagiosum;['moluskum kontagiosum', 'molluscum contagiosum']
morning sickness;['morning sickness']
mual;['hiperasiditas mual', 'gejala mual', 'pening mual', 'mual akut', 'rasa mual', 'perut mual', 'mual akibat radiasi', 'mual']
