standardized_disease,list_of_diseases_fuzzy_tfidf_fuzzy_tfidf
gerd,"['gangguan refluks non erosive', 'esofagitis berat', 'refluks esofagitis erosif', 'rasa panas ulu hatikerongkongan akibat reflux esofagitis', 'reflux', 'esofagitis erosifulseratif', 'esofangeal', 'esofageal', 'reflux esofagitis', 'refluks esofagitis erosif atau ulseratif', 'nonerosive reflux disease nerd', 'reflux esophagitis sedang dan berat', 'refluks esofagitis erosifulseratif', 'refluks esofagitis', 'inflamasi esofagus', 'refluks', 'reflux gastroesofagitis', 'refluks esofagitis erosif ulseratif', 'gastroesophageal reflux disease gerd', 'refluks esofagitis berat', 'refluks gastroesofagus erosif', 'gerd', 'nonerosive reflux disease', 'refluks esofagus', 'simtomatik gerd', 'reflucks esofagitis', 'refluks esophagitis', 'reflucks', 'gastroesophageal reflux disease', 'reflux esofagitis erosifulseratif', 'inflamasi esofagus refluks esofagus', 'esofagitis erosif', 'refluks gastroesofagus yang erosif', 'reflux esophagitis sedang berat', 'refluks gastroesofagitis', 'refluks gastroesofagus']"
giardiasis,"['giardia lambliasis', 'giardiasis', 'giardia']"
gigi berlubang,['gigi berlubang']
gigitan serangga,"['gatalgatal akibat gigitan serangga dan nyamuk', 'gatal gigitan serangga', 'gatal  gatal gigit serangga', 'gatal akibat gigitan nyamukserangga', 'gatalgatal karena gigitan serangga', 'gatalgatal akibat gigitan serangganyamuk', 'digigit serangga', 'gigitan nyamuk', 'gigitan nyamukserangga', 'gatalgatal akibat digigit serangga', 'gatal gigitan serangga dan nyamuk', 'gigitan nyamuk  serangga', 'gatalgatal gigitan serangga nyamuk', 'gatal akibat digigit serangga', 'gatal karena gigitan serangga', 'serangga', 'gatalgatal karena gigitan serangga atau nyamuk', 'gatal akibat gigitan seranggga', 'gigitan nyamuk serangga', 'gatalgatal akibat gigitan serangga atau nyamuk', 'gigitan nyamuk bahkan nyamuk demam berdarah', 'gatalgatal akibat gigitan serangga nyamuk', 'gigitan nyamuk/serangga', 'gatal biang keringet udara panas gigitan serangga', 'gatal karena biang keringet udara panas gigitan serangga', 'gigitan serangga', 'gatal gigitan serangga nyamuk', 'gatalgatal akibat gigitan serangga', 'gatal akibat gigitan serangga', 'gatalgatal gigitan serangga', 'gatal gatal gigit serangga']"
glaukoma,"['glaukoma simplek kronis', 'glaukoma sudut terbuka kronis', 'glaukoma sudut tertutup', 'glaukoma sudut terbuka khronis', 'glaukoma', 'aphakic glukoma', 'glaukoma sudut  terbuka', 'glaukoma sudut  terbuka hipertensi okular', 'glaukoma sudut terbuka', 'glaukoma sudut terbuka hipertensi okular', 'glaukoma sudut  terbuka khronis', 'glaukoma sekunder', 'glukoma sudut terbuka kronis', 'glaukoma sudutterbuka', 'glukoma']"
gonore,"['eritritis pielonefritis gonore', 'gonorhea tidak terkomplikasi infeksi kulit jaringan lunak', 'n gonorrhoae', 'gonore tidak terkomplikasi', 'uretritis gonore', 'gonorrhea', 'go infeksi', 'gonorrhoeae', 'gonorrhoea acute tidak terkomplikasi', 'gonorrhoea tidak terkomplikasi', 'gonorrhea komplikasi', 'neisseria gonorrhoea', 'gogonorea tanpa komplikasi', 'gonore', 'gonorhea yang tidak terkomplikasi infeksi kulit dan jaringan lunak', 'gonore komplikasi', 'gonorrhoea', 'uretritis non gonore', 'gonorea', 'gonorea tanpa komplikasi', 'go', 'gonorrhoea akut tidak terkomplikasi', 'uretritis servisitis gonore', 'uretritis gonore servisitis komplikasi', 'n gonorrhoea', 'go akut', 'gonore akut']"
granuloma inguinale,['granuloma inguinale']
gusi bengkak,['gusi bengkak']
hematoma,['hematoma']
hepatitis,"['profilaksis infeksi hepatitis', 'hepatitis virus', 'hepatitis', 'hepatitis alkoholik', 'virus hepatitis b']"
hepatitis b,"['infeksi virus hepatitis b kronik', 'virus hepatitis b kronik', 'hepatitis b kronik']"
hernia,"['hernia', 'hernia peptik']"
hernia hiatus,"['hernia hiatus', 'hiatus hernia', 'hiatus', 'hiatus hernis']"
hernia nukleus pulposus,['hernia neukleus pulposus']
herpes,"['virus herpes', 'infeksi rekuren herpes labialis', 'herpes labialis']"
herpes genital (herpes simplex),"['infeksi herpes simplex', 'infeksi virus herpes simpleks kulit selaput lendir', 'supresi kekambuhan infeksi herpes simplex', 'herpes genital awal rekuren', 'herpes ginital', 'infeksi rekuren herpes genital', 'infeksi herpes simplex pada kulit', 'herpes genital awal', 'virus herpes simpleks', 'herpes simpleks kulit membran mukosa', 'herpes genital rekuren', 'pencegahan infeksi herpes simplex', 'herpes simplek pada kulit', 'infeksi awal herpes genital', 'herpes simplek kulit', 'infeksi herpes simpleks kulit', 'herpes genital berulang', 'herpes simplex dan zoster', 'herpes simpleks', 'infeksi virus herpes simplex kulit membran mukosa', 'lichen simplek', 'herpes simplex tipe 1  2', 'infeksi herpes simplex kulit', 'herpes simplex zoster', 'infeksi herpes simpleks pada kulit', 'rekuren', 'herpes genitalis', 'herpes simplex tipe 1 2', 'herpes genital', 'herpes simplex tipe 2', 'herpes genital awal dan rekuren', 'herpes ginital awal', 'herpes simplex', 'infeksi virus herpes simpleks pada kulit dan selaput lendir', 'infeksi virus herpes simpleks', 'herpes simplek', 'infeksi awal herpes labialis', 'infeksi virus herpes simpleks kulit membran mukosa', 'alergi kulit selaput lendir', 'herpes genital awal  rekuren', 'herpes simplex tipe 1']"
herpes zoster,"['infeksi virus herpes zoster', 'zoster', 'herpes zoster']"
hidung tersumbat,"['hidung tersumbat pilek', 'tenggorokan hidung tersumbat', 'hidung tersumbat/gatal', 'gatal hidung tenggorokan', 'gatal hidung', 'hidung berair', 'hidung berair tersumbat', 'hidung tersumbat', 'hidung tersumbat bersinbersin', 'hidung tersumbatgatal', 'pilek gatal hidung', 'tersumbat']"
hiperasiditas,[]
hiperasiditas gastrointestinal,"['hiperasiditas lambung', 'hiperasiditas gastrointestinal', 'hiperasiditas pencernaan', 'hiperasiditas lambung saluran cerna']"
hiperemesis gravidarum,"['hiperemesis gravidarum', 'hiperemesis gravidarum muntahmuntah 3 kehamilan', 'emesis gravidarum']"
hiperglikemia,['hiperglikemia']
hiperkalemia,['hiperkalemia']
hiperkolesterolemia,"['hiperkolesterol primer tipe iia', 'hiperkolesterolemia primer tipe iia', 'hiperko - lesterolemia', 'hiperkolesterolemia hip', 'hiperkoleterolemia primer', 'hiperkolesterolemia primer tipe', 'heterozigot familial', 'hiperkolesterolemia familial', 'hiperkolesterol primer', 'hiperkolsterolemia', 'hiperko lesterolemia', 'hiperkolesterolemia tipe iia', 'hiperkolesterolemia familial heterozigot', 'hiperkolesterolemia familial heterozigot homozigot', 'hiperkolesterolemia primer', 'hiperkolesterolemia']"
hiperlipidemia,"['hiperlipidemia kombinasi tipe iib ii', 'hiperlipidemia', 'hiperlipidemia kombinasi campuran', 'hiperlipidemia campuran', 'hiperlipidaemia']"
hiperparatiroidisme,['hiperparatiroidisme']
hiperpigmentasi,"['hiperpigmentasi melanin area kulit tidak', 'hiperpigmentasi', 'hiperpigmentasi melamin', 'hiperpigmentasi kulit']"
hipersekresi mukus,['hipersekresi mukus']
hipertensi,"['hipertensi nefrogenik', 'hipertensi dewasa', 'hipertensi berat', 'hipertensi esensial ringan', 'hipertensi renovaskuler', 'hipertensi essensial ringan', 'hipertensi ringan', 'hipertensi essensial', 'hipertensi maligna', 'hipertensi esensial', 'hipertensi', 'darah tinggi', 'hipertensi esensial renovaskular', 'tekanan tinggi pembuluh darah arteri paruparu']"
hipertensi okuler,"['hipertensi mata', 'hipertensi okular tidak responsif', 'hipertensi okular responsif', 'hipertensi okular', 'hipertensi okuler']"
hipertensi pulmonal,['hipertensi pulmonal']
hiperurisemia,"['hiperurisemia sekunder', 'hiperurisemia', 'hiperuresemia', 'hiperurisemia primer']"
hipoalbuminemia,['hipoalbuminemia']
hipokalemia,['hipokalemia']
hipomagnesemia,"['hipomagnesemia', 'hipomagnesia']"
hipoparatiroid,['hipoparatiroidisme']
hipotensi,"['hipotensi', 'hipotensi okuler']"
hirsutisme,"['hirsutisme', 'hirsutism']"
histoplasmosis,"['hiptoplasmosis', 'histoplasmosis']"
iktiosis,"['iktiosis kulit kering', 'ikhtiosis', 'iktiosis']"
ileus paralitik,['ileus paralitik']
impetigo,"['impetigo', 'impetigo furunculosis', 'impetigo kontagiosum', 'impetigo go komplikasi', 'impetigo kontagiosa']"
impotensi,"['impotensi', 'impoten', 'impoten pria']"
imunisasi,['imunisasi']
infark,"['infark', 'infark jantung']"
infeksi,"['infeksi', 'infeksi lain', 'infeksi berat terkomplikasi', 'infeksi ringan', 'infeksi berat', 'infeksi serius', 'infkesi', 'infeksi lain disebabkan kuman gram sensitif', 'infeski', 'infeksi2', 'infeksi eksternal', 'infeksi akut', 'infeksi lainnya', 'infeksi ringan sedang', 'infeksi kandida mukosa lainnya', 'infeksi sedang']"
infeksi bakteri,"['infeksi bakteri fungi mulut tenggorokan', 'infeksi oleh bakteri', 'infeksi gram positif', 'infeksi gram positif serius berat', 'infeksi berat disebabkan bakteri gram', 'gram negatif', 'infeksi bakteri anaerob', 'bakterial', 'bakteri gram positif', 'infeksi disebabkan oleh bakteri', 'bakteriuria asimptomatik pada masa hamil', 'bakteri gr  penyebab bakteremia', 'bakteri anaerob', 'infeksi bakteri dan fungi pada mulut dan tenggorokan', 'infeksi mikobakteri', 'infeksi serius bakteri anaerob', 'infeksi gr serius berat', 'bakteri', 'infeksi bakteri yang rentan', 'infeksi disebabkan bakteri anaerob', 'infeksi serius akibat bakteri anaerob', 'infeksi bakteri sekunder bronkitis akut', 'infeksi serius disebabkan bakteri sensitif', 'infeksi bakteri jamur fungi', 'infeksi bakteri dan jamur fungi', 'infeksi staph', 'infeksi bakteri', 'infeksi gram positif gram negatif', 'infeksi sekunder bakteri gram positif', 'infeksi gram', 'infeksi bakteri rentan', 'bakteri gram negatif', 'infeksi bakteri lipatan kulit', 'infeksi berat disebabkan kuman gr gr', 'bakteri gr', 'bakteriuria asimptomatik masa hamil', 'infeksi bakteri anaerob sensitif', 'infeksi bakterial sekunder', 'infeksi akibat bakteri saluran pernapasan', 'infeksi rentan berat', 'eksaserbasi bakterial akut', 'infeksi bakteri gram positif', 'infeksi bakterial mata', 'bakteri gr penyebab bakteremia', 'eritis bakterial', 'infeksi kandungan eritis bakterial', 'infeksi bakteri sekunder', 'infeksi akibat chlamydia trachomatis', 'infeksi bakteri gr gr sal nafas', 'infeksi mikobakterial tertentu', 'infeksi bakteri mycobacterium tuberculosis tbc', 'anaerob', 'bakteri endocarditis', 'infeksi anaerob', 'disebabkan oleh jamur bakteri mulut', 'infeksi gram positif negatif', 'staph', 'infeksi bakteri pada lipatan kulit', 'infeksi akibat bakteri', 'infeksi bakteri gr gr  sal nafas', 'infeksi bakteri anaerob serius', 'bakteri gram negativ', 'infeksi bakteri sensitif levofloxacin sinusitis', 'infeksi bakteri sensitif moxifloxacin', 'bakterial akut', 'infeksi akibat bakteri pencernaan', 'infeksi gram negatif', 'infeksi mikobakterial', 'infeksi disebabkan mikroorganisme gram positif gram negatif organisme memproduksi penisillinase', 'infeksi disebabkan oleh mikroorganisme gram positif gram negatif sensitif terhadap tetracyclin', 'infeksi akibat bakteri saluran kemih', 'infeksi serius disebabkan bakteri anaerob sensitif']"
infeksi genital,['infeksi genital']
infeksi gigi,['infeksi gigi']
infeksi ginjal,"['infeksi ginjal', 'infeksi pada ginjal', 'pielonefritis akut', 'pielonefritis infeksi ginjal akut']"
infeksi helicobacter pylori,['infeksi bakteri helicobacter pylorus']
infeksi jamur,"['infeksi jamur kandidiasis', 'infeksi jamur', 'infeksi jamur tubuh', 'infeksi fungi', 'infesi jamur', 'jamur', 'infeksi jamur ring  worm kulit', 'infeksi jamur pada kulit dengan inflamasiperadangan', 'infeksi jamur fungi', 'infeksi akibat jamur', 'infeksi jamur sistemik', 'infeksi jamur ringworm kulit rambut kuku disebabkan microsporum epidermophyton trichophyton', 'infeksi jamur kulit kulit kepala kuku', 'infeksi jamur pada kulit kulit kepala dan kuku', 'infeksi jamur ringworm kulit  rambut kuku disebabkan microsporum  epidermophyton trichophyton', 'infeksi jamur kulit dengan inflamasiperadangan', 'infeksi jamur ring worm kulit', 'fungi', 'profilaksis infeksi jamur']"
infeksi jamur kuku,"['infeksi jamur kuku', 'infeksi jamur pada kuku']"
infeksi jamur kulit,"['infeksi jamur kulit', 'infeksi dermatofit', 'infeksi kuku kulit dermatofita', 'infeksi di kulit  jaringan lunak', 'dermatofita', 'infeksi jamur pada kulit', 'infeksi jamur kulit kepala', 'infeksi dermatofita kuku kaki', 'infeksi dermatofita kulit kuku tangan', 'infeksi jamur lipatan kulit', 'infeksi jamur pada kulit dan kuku', 'infeksi jamur kulit kuku', 'dermatofit']"
infeksi jamur rambut,['infeksi jamur rambut']
infeksi kuku,['infeksi kuku']
infeksi kulit,"['infeksi kulit struktur kulit ringan terkomplikasi', 'infeksi kulit lain', 'infeksi kulit membran mukosa lokal', 'infeksi kulit pioderma', 'infeksi sekunder kulit', 'kulit jar lunak infeksi serius', 'infeksi kulit primer maupun sekunder', 'infeksi kulit primer dan sekunder', 'infeksi jar lunak', 'infeksi kulit struktur kulit tak terkomplikasi', 'infeksi basah kering kulit bayi', 'infeksi kulit struktur kulit', 'pioderma dermatitis infeksi sekunder', 'infeksi sekunder luka terbuka', 'infeksi kulit  jaringan lunak', 'infeksi kulit termasuk herpes genital rekuren dan herpes labialis', 'infeksi kulit jaringan lunak', 'infeksi kulit struktur kulit tidak terkomplikasi', 'infeksi kulit lain karena organisme yang peka terhadap kloramfenikol', 'infeksi kulit struktur kulit komplikasi', 'infeksi sekunder pyoderma', 'infeksi kulit struktur kulit terkomplikasi', 'infeksi kulit kepala demartitis sebaroik ringan', 'infeksi kulit mukosa', 'pioderma gangrenosa', 'struktur kulit infeksi', 'infeksi kulit dan membran mukosa luar', 'infeksi kulit jar lunak', 'infeksi kulit dan jaringan lunak', 'infeksi kulit primer sekunder', 'infeksi kulit dan struktur kulit', 'infeksi kulit dan membran mukosa lokal', 'infeksi kulit strukturnya tanpa komplikasi', 'infeksi kulit dan struktur kulit tak terkomplikasi', 'infeksi jaringan lunak', 'infeksi serius jaringan lunak kulit', 'infeksi kulit jar lunak terkomplikasi', 'kulit infeksi', 'infeksi kulit primer', 'infeksi kulit termasuk herpes genital rekuren herpes labialis', 'infeksi kulit lainnya', 'infeksi kulit', 'mikosis kulit lain', 'infeksi kuku kulit', 'infeksi pada kulit', 'pioderma', 'infeksi kulit kepala', 'infeksi mikotik kulit', 'infeksi kulit termasuk herpes genital rekuren', 'infeksi primer sekunder', 'lesi kulit traumatik infeksi sekunder', 'infeksi kulit membran mukosa luar', 'terapi infeksi kulit', 'infeksi kulit primer akut', 'infeksi kulit lain organisme peka terhadap kloramfenikol', 'infeksi kulit dan jar lunak', 'infeksi jaringan lunak kulit', 'infeksi kulit dan jaringan lunak tanpa komplikasi', 'infeksi kulit dan strukturnya tanpa komplikasi', 'infeksi jaringan', 'lesi kulit dengan infeksi primer sekunder oleh bakteri streptokokus', 'infeksi kulit jaringan lunak tanpa komplikasi', 'infeksi struktur kulit', 'pioderma primer sekunder', 'pyoderma', 'infeksi kulit jelunak', 'infeksi kulit jaringan luka', 'infeksi kulit sekunder']"
infeksi lambung,['infeksi lambung']
infeksi luka operasi,"['luka dengan infeksi', 'luka paska operasi', 'infeksi luka operasi', 'infeksi pasca operasi', 'infeksi sesudah operasi', 'infeksi operasi', 'infeksi operasi esofangeal', 'luka terinfeksi', 'infeksi luka']"
infeksi mata,"['infeksi eksternal bola mata struktur terkait', 'infeksi mata disebabkan oleh bakteri gram negatif', 'infeksi okular', 'infeksi eksternal mata', 'inflamasi bola mata eksternal anterior', 'infeksi mata eksternal bola mata', 'infeksi mata okular', 'inflamasi mata', 'infeksi mata', 'infeksi pada mata']"
infeksi mulut,"['infeksi jamur fungi rongga mulut tenggorokan', 'infeksi mulut', 'infeksi rongga mulut', 'infeksi jamur dalam rongga mulut', 'infeksi jamur rongga mulut']"
infeksi paru-paru,"['infeksi paru', 'infeksi paru-paru']"
infeksi perut,['infeksi perut']
infeksi protozoa,['infeksi protozoa']
infeksi rahim,['infeksi rahim']
infeksi salmonella,"['infeksi salmonella', 'infeksi disebabkan salmonella sp', 'infeksi disebabkan oleh salmonella sp', 'infeksi salmonele', 'infeksi salmonella spp', 'infeksi salmonella sp sp', 'salmonelosis infeksi urogenital', 'salmonella', 'infeksi disebabkan oleh salmonella', 'salmonellosis', 'infeksi yang disebabkan oleh salmonella', 'salmonella sp', 'infeksi disebabkan salmonella', 'salmonelosis  infeksi urogenital', 'infeksi yang disebabkan oleh salmonella sp', 'salmonelosis', 'infeksi salmonella sp']"
infeksi saluran kelamin,"['kelamin infeksi', 'infeksi kelamin', 'infeksi sal kelamin']"
infeksi saluran kemih,"['infeksi saluran kelamin', 'infeksi traktus genitourinary', 'infeksi saluran gl', 'komplikasi infeksi saluran kemih', 'infeksi saluram urinarius', 'infeksi saluran kemih komplikasi', 'infeksi urogenital', 'complicated urinary tract infection', 'infeksi bakteri saluran kemih', 'infeksi traktus urinarius', 'isk', 'isk terkomplikasi pielonefritis akut', 'infeksi saluran kemih dengan komplikasi', 'infeksi saluran urogenital', 'isk komplikasi', 'infeksi saluran kemih akut komplikasi', 'saluran kemih kelamin infeksi kulit jaringan lunak', 'infeksi pada saluran kemih', 'infeksi saluran kemih tidak terkomplikasi disebabkan escherichia coli proteus mirabilis', 'infeksi sal urogenital kemih kelamin', 'infeksi saluran kemih akut', 'isk terkomlikasi', 'infeksi saluran urin', 'infeksi saluran kemih dan kelamin', 'infeksi saluran kemih tanpa komplikasi', 'infeksi saluran genitourinary', 'infeksi saluran kemih  kelamin', 'infeksi saluran kemih kecuali prostatitis', 'infeksi akut non komplikata saluran kemih bagian bawah', 'kelamin infeksi kulit jaringan lunak', 'infeksi sal kemih', 'infeksi saluran kemih', 'infeksi traktus urinarius pielonefritis', 'infeksi saluran kemih kompleks complicated urinary tract infection', 'saluran kemih organ genital wanita', 'infeksi saluran kemih kelamin', 'infeksi di saluran kemih', 'infeksi saluran kemih kompleks', 'infeksi saluran urinarius', 'saluran kemih kelamin infeksi', 'infeksi saluran genitourinari', 'infeksi saluran genitourinaria', 'infeksi saluran kemih bagian bawah', 'isk terkomplikasi', 'infeksi sal gl', 'infeksi saluran kencing']"
infeksi saluran pencernaan,"['infeksi saluran cerna', 'infeksi sal cerna', 'infeksi gut', 'infeksi saluran pencernaan', 'infeksi pernafasan saluran cerna', 'proteus mirabilisinfeksi saluran pencernaan', 'infeksi intraabdomen dengan komplikasi', 'sal cerna tifoid paratifoid', 'infeksi pencernaan', 'infeksi intraabdomen komplikasi', 'infeksi saluran cerna tifoid paratifoid', 'infeksi intraabdomen', 'lesi di saluran pencernaan', 'infeksi sistem pencernaan', 'lesi saluran pencernaan']"
infeksi saluran pernapasan,"['infeksi saluran napas atas  bawah', 'infeksi saluran nafas tht', 'infeksi sal nafas', 'infeksi saluran nafas akut khronik', 'infeksi saluran napa akut', 'infeksi saluran nafas bawah atas', 'infeksi saluran napas atas dan bawah', 'infeksi saluran pencernaan saluran kemih', 'infeksi serius disebabkan bakteri sensitif infeksi saluran nafas bawah', 'infeksi saluran pernfasan bagian atas bawah', 'infeksi saluran nafas bawah', 'infeksi saluran nafas bagian atas bawah', 'infeksi saluran nafas bagian atas dan bawah', 'infeksi berat sal nafas', 'infeksi saluran napa akut kronik', 'infeksi serius saluran nafas bag bwh', 'infeksi saluran pernapasan bagian atas', 'infeksi saluran nafas dan bawah', 'infeksi saluran pernafasan bagian bawah', 'infeksi saluran nafas bawah dan atas', 'infeksi sal nafas atas', 'infeksi saluran nafas akut dan khronik', 'saluran nafas akut kronik', 'infeksi saluran nafas dan tht', 'infeksi sal nafas bakteri gr', 'infeksi saluran pernapasan bawah', 'infeksi saluran napas bawah', 'infeksi ringan  sedang sal nafas bawah dan atas kulit dan struktur kulit phs', 'infeksi sal nafas atas dan bawah', 'infeksi saluran pernapasan atas bawah', 'infeksi tht', 'infeksi saluran pernapasan', 'tht', 'infeksi saluran nafas khronik', 'infeksi sal nafas atas bawah', 'infeksi saluran pernapasan atas', 'infeksi sal nafas kulit', 'infeksi virus sal napa', 'infeksi saluran napas atas', 'infeksi saluran pernafasan', 'infeksi ringan saluran nafas', 'infeksi saluran pernafasan bagian atas  bawah', 'infeksi saluran nafas atas bawah', 'infeksi serius saluran nafas bag bawah', 'infeksi sal nafas bawah', 'infeksi bakteri saluran pernafasan', 'saluran napas akut', 'infeksi sal pernafasan atas', 'infeksi sal nafas lainnya', 'infeksi saluran napas', 'infeksi saluran nafas akut dan kronik', 'infeksi sal napa', 'infeksi pernafasan', 'infeksi saluran pernafasan bagian atas', 'infeksi saluran nafas kecuali pneumonia strep hemolitikus', 'infeksi saluran nafas kulit dan jaringan lunak', 'infeksi saluran pernafasan bagian atas bawah', 'infeksi saluran nafas', 'infeksi ringan sedang sal nafas bawah atas kulit struktur kulit phs', 'infeksi saluran pernapasan atas  bawah', 'infeksi saluran nafas akut kronik', 'saluran nafas atas', 'infeksi saluran pernapasan atas dan bawah', 'sal nafas kecuali pneumonia strep', 'infeksi saluran nafas atas dan bawah', 'infeksi serius saluran nafas', 'infeksi saluran napa', 'infeksi saluran nafas kulit jaringan lunak', 'infeksi saluran nafas akut', 'infeksi saluran nafas atas', 'infeksi sal', 'infeksi saluran pernafasan bawah', 'infeksi saluran nafas kronik', 'infeksi saluran napas atas bawah']"
infeksi sekunder,"['komplikasi infeksi sekunder', 'infeksi sekunder']"
infeksi selaput lendir mulut,['infeksi selaput lendir mulut']
infeksi sendi,['infeksi sendi']
infeksi staphylococcus,"['infeksi disebabkan staphylococcus', 'staphylococci', 'luka terinfeksi disebabkan oleh staphylococcus aureus', 'lesi kulit dengan infeksi primer sekunder oleh bakteri stafilokokus', 'staphyloccocus aureus', 'staphylococcus', 'staphylococcusa aureus', 'staphylococcus aureus', 'infeksi serius staph', 'bakteri staph', 'infeksi staphylococcus']"
infeksi streptococcus,"['streptococcus pyogenes', 'hemolitikus', 'streptococcus epidermidis', 'streptococcus viridans', 'strep hemolitikus', 'strep', 'infeksi streptococcus', 's pyogenes', 'streptococci', 'streptococcus hemolyticus', 'streptococcus faecalis', 'streptococus', 'streptococcus', 'infeksi strep']"
infeksi telinga,"['infeksi telinga', 'infeksi telinga hidung tenggorokan', 'peradangan akibat infeksi telinga', 'inteksi tulang', 'infeksi rongga telinga']"
infeksi tulang,"['infeksi tulang sendi', 'infeksi tulang', 'infeksi tulang persendian']"
infeksi usus,"['infeksi usus', 'infeksi traktus gastrointestinal']"
infeksi vagina,"['infeksi vagina campuran', 'infeksi vagina disebabkan trichomonas vaginalis', 'infeksi vagina', 'infeksi vagina disebabkan candida albicans', 'candida albicans']"
infeksi virus,['infeksi virus']
inflamasi,"['keadaan inflamasi', 'inflamasi degeneratif', 'inflamasi']"
inflamasi kulit,['inflamasi kulit']
inflamasi okular,"['inflamasi okular', 'inflamasi peradangan okular']"
inflamasi pasca operasi,"['inflamasi paska operasi katarak', 'radang pasca operasi katarak', 'inflamasi pasca operasi', 'inflamasi paska operasi']"
inkontinensia tinja,['inkontinensia tinja']
inkontinensia urine,['inkontinensia urin']
insomnia,['insomnia']
intertrigo,['intertrigo']
intoleransi makanan,"['intoleransi terhadap makanan', 'intoleransi terhadap makanan salah cerna']"
intoleransi obat,"['intoleransi obat', 'intoleransi terhadap obat sitotoksik']"
intra abdominal,['intra abdominal']
iritasi,"['iriasi', 'iritasi mata ringan', 'iritasi ringan', 'iriasi ringan', 'iritasi', 'teriritasi lingkungan', 'iritasi ringan mata']"
iritasi hidung,"['iritasi hidung ringan', 'iritasi hidung']"
iritasi mata,"['iritasi mata', 'iritasi minor mata']"
iritasi mulut,"['iritasi mulut', 'iritasi ringan mulut']"
iritasi saluran pernapasan,"['iritasi membran mukosa saluran nafas', 'iritasi saluran nafas lainnya', 'iritasi membran mukosa']"
iritasi usus,['iritasi usus']
iskemia,"['iskemia miokardial', 'iskemia', 'iskemia ulkus', 'iskemia miokard']"
jamur kulit,"['jamur pada kulit', 'jamur lipatan kulit', 'jamur kulit']"
jerawat,"['aknejerawat berisi nanah', 'jerawat berisi nanah', 'jerawat berat', 'jerawat parah', 'jerawatakne vulgaris', 'jerawat bisul', 'jerawat', 'infeksi jerawat']"
jerawat batu,['jerawat batu']
kandidiasis kulit,"['kandidiasis kulit', 'kandidasis kutan']"
kandidiasis mukosal,"['kandidiasis mukokutan kulit mukosa khronik', 'kandidiasis mukokutan kulit  mukosa khronik', 'kandidiasis mukokutan kronis', 'kandidiasis mukokutan khronis', 'kandidiasis mukokutan kulit mukosa khronik tidak responsif nistatin obat kandidiasis vaginal', 'kandidiasis mukosal', 'kandidiasi mukosa', 'kandidiasis mukokutan kulit  mukosa khronik tidak responsif nistatin obat kandidiasis vaginal']"
kandidiasis oral,"['kandidiasis rongga mulut', 'infeksi orofaringeal', 'kandidiasis orofaringe', 'kandidiasis mulut dermatomikosis', 'kandidiasis oral', 'orofaringeal', 'kandidiasis mulut', 'kandidiasis orofaringeal', 'kandidiasis oral infeksi jamur rongga mulut', 'atopik oral kandidiasis', 'kandidiasis orofaringeal esofageal', 'kandidosis oral', 'kandidiasis orofaringeal  esofageal']"
kandidiasis vaginalis,"['kandidiasis vaginal', 'kandidiasis vagina', 'kandidosis vaginal', 'kandidiasis vulvovaginal']"
kanker,"['kanker', 'nyeri kanker', 'pasien kanker', 'sel kanker', 'kanker emetogenik', 'penyakit kanker']"
kanker darah,['kanker darah']
kanker hati,['kanker hati']
kanker kandung kemih,['kanker kandung kemih']
kanker lambung,['kanker lambung']
kanker paru-paru,"['kanker paru', 'kanker paru paru']"
kanker payudara,"['kanker payu dara', 'kanker payudara stadium lokal lanjutmetastasis', 'kanker payudara stadium lanjut', 'karsinoma payudara', 'kanker payudara', 'kanker payudara stadium dini']"
kanker prostat,['kanker prostat']
kanker rahim,['kanker rahim']
kanker tenggorokan,['kanker tenggorokan']
kapalan,"['kapalan', 'kalos kapalan', 'kalus kapalan']"
kardiomiopati,['cardiomiopati obstruktif hipertrofik']
kejang,"['kejang otot', 'kejang bronkus', 'kejang']"
kelahiran prematur,"['prematur', 'ancaman kelahiran prematur']"
kelainan darah,['kelainan darah']
kelainan kulit,['kelainan kulit']
kelainan muskuloskeletal akut,['kelainan muskuloskeletal akut']
kelainan periodontal,['kelainan periodontal']
kelainan saraf,['kelainan saraf']
kencing manis,['kencing manis']
keputihan,"['gatal akibat keputihan', 'keputihan']"
keracunan,['keracunan']
keracunan alkohol,"['intoksinasi alkohol', 'keracunan alkohol']"
keracunan darah,"['keracunan darah', 'septikemia keracunan darah bakteri']"
keracunan hati,['keracunan hati']
keracunan obat,['keracunan obat']
keratitis,"['keratitis bakterial', 'keratitis akibat infeksi virus superfisial', 'keratitis', 'keratitis metaherpetikum', 'keratitis fungal', 'keratitis dendritis', 'keratitis superfisial nonspesifik', 'keratitis kronik', 'keratitis jamur', 'fungal keratitis', 'keratitis gangguan peradangan okular', 'keratitis akut']"
keratokonjungtivitis,"['keratokonjungtivitis sicca', 'keratokonjungtivitis']"
keratosis pilaris,['keratosis pilaris']
keseleo,"['keseleo tegang', 'memar keseleo', 'kesleo', 'sprains keseleo', 'sprains', 'keseleo terkilir', 'keseleo']"
kesemutan,['kesemutan']
ketombe,"['ketombe', 'ketombe disebabkan pytirosporum ovale', 'ketombe dikulit kepala']"
kista,"['kista', 'miom kista']"
klaudikasio intermiten,"['klaudikasio intermiten', 'klaudikasi intermiten']"
kolera,['kolera']
kolesterol,"['kolesterol ldl', 'kolesterol total', 'kolesterol jahat', 'kolesterol', 'ldl']"
