standardized_disease;fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf;list_of_diseases;corrected_list_of_diseases
dermatitis;dermatositosis;[];[]
dermatitis;dermatitis alergi;[];[]
dermatitis;dermatitis dengan komplikasi infeksi bakterial;[];[]
dermatitis;dermatitis akut;[];[]
dermatitis atopik;dermatitis kontak maupun atopik;[];[]
dermatitis atopik;dermatitis atopik;[];[]
dermatitis atopik;dermatitis kontak atopik;[];[]
dermatitis atopik;dermatitis atopic;[];[]
dermatitis atopik;dermatitis atopik alergi herediterketurunan;[];[]
dermatitis atopik;atopic dermatitis;[];[]
dermatitis atopik;dermatitis atopik kontak;[];[]
dermatitis atopik;kulit bersisik psoriasis dermatitis atopik;['kulit bersisik'];['kulit bersisik']
dermatitis kontak;dermatitis kontak;[];[]
dermatitis kontak;dermatitis kronik;[];[]
dermatitis kontak;dermatitis akut kronik;[];[]
dermatitis kontak;dermatitis kontak jenis dermatitis;[];[]
dermatitis kontak;contact dermatitis;[];[]
dermatitis seboroik;seborrhoeic dermatitis;[];[]
dermatitis seboroik;dermatitis seboroik;[];[]
dermatitis seboroik;seboroik;[];[]
dermatitis seboroik;demartitis sebaroik ringan;[];[]
dermatomikosis;dermatomikosis;[];[]
dermatomiositis;dermatomiositis;[];[]
dermatomiositis;dermatomiosis;[];[]
dermatosis;dermatosis bakterial mikotik;['dermatosis mikotik'];['dermatosis mikotik']
dermatosis;inflamasi dermatosis;['inflamasi dermatosis reponsif kortikosteroid'];['inflamasi dermatosis reponsif kortikosteroid']
dermatosis;dermatosis alergi inflamasi;[];[]
dermatosis;dermatosis lain;[];[]
dermatosis;dermatosis alergi;[];[]
dermatosis;sermatosis;[];[]
dermatosis;dermatosis;['dermatosis responsif', 'dermatosis resisten'];['dermatosis responsif', 'dermatosis resisten']
dermatosis;dermatosis bakterial;[];[]
diabetes;diabetes obesitas;[];[]
diabetes;diabetes melitus;[];[]
diabetes;diabetik;[];[]
diabetes;diabetik gastroparesis berulang;[];[]
diabetes;non insulin dependent diabetic mellitus;[];[]
diabetes;paresis;[];[]
diabetes;non insulin dependent diabetes mellitus;[];[]
diabetes;diabetik gastro paresis akut;[];[]
diabetes;diabetes;[];[]
diabetes;diabetik gastroparesis akut;[];[]
diabetes;insulin dependent diabetes mellitus;[];[]
diabetes;diabetes mellitus;[];[]
diabetes tipe 1;diabetes melitus tipe  1;[];[]
diabetes tipe 1;diabetes tipe - 1;[];[]
diabetes tipe 1;diabetes tipe 1;[];[]
diabetes tipe 2;diabetes melitus tipe 1;[];[]
diabetes tipe 2;dm tipe  2;[];[]
diabetes tipe 2;pasien dm tipe 2;[];[]
diabetes tipe 2;tipe 2;[];[]
diabetes tipe 2;diabetes melitus tipe  2;[];[]
diabetes tipe 2;diabetes mellitus tipe 2;[];[]
diabetes tipe 2;dmt2;[];[]
diabetes tipe 2;diabetes melitus tipe 2;[];[]
diabetes tipe 2;diabetes tipe 2;[];[]
diabetes tipe 2;diabetes tipe 2 terkontrol;[];[]
diabetes tipe 2;diabetes tipe - 2;[];[]
diabetes tipe 2;diabetes miletus tipe 2;[];[]
diabetes tipe 2;dm tipe 2;[];[]
diare;diare mencret;[];[]
diare;diare;[];[]
diare;diare non  spesifik;[];[]
diare;diare e  coli;[];[]
diare;diare non spesifik;[];[]
diare;diare akut;[];[]
diare;diare kronik;[];[]
diare;diare e coli;[];[]
diare;diare anak;[];[]
diare;diare karena kuman e coli dan staph kolopati spesifik dan non spesifik pada dewasa dan anak;[];[]
diare;diare kuman e coli staph kolopati spesifik non spesifik dewasa anak;['kolopati spesifik'];[]
diare;ecoli;[];[]
diare;diare ecoli;[];[]
diare;diare akut kronik;[];[]
diare;diare kronis;[];[]
diare;diare akut non spesifik kronik;[];[]
diare;diare akut non spesifik;[];[]
diare;mencret;[];[]
diare;diare nonspesifik;[];[]
diare;diare staph;[];[]
difteri;difteri faringeal;[];[]
difteri;difteri;[];[]
discoid;dsikoid;[];[]
discoid;diskoid lupus eritemmantosus;[];[]
discoid;diskoid;[];[]
discoid;discoid;[];[]
discoid;ekzema diskoid;[];[]
disentri;disentri;[];[]
disentri;disentri basil;[];[]
disentri;enterokolitis disentri basiler akibat bakteri gram negatif;[];[]
disentri;paratifoid disentri basiler;[];[]
disentri;disentri basiler;[];[]
disfungsi ereksi;disfungsi ereksi;[];[]
disfungsi ovulasi;disovulasi;[];[]
disfungsi ovulasi;disfungsi ovulasi;[];[]
disfungsi ovulasi;gangguan ovulasi;[];[]
dislipidemia;dislipidemia campuran fredrickson tipe iia iib;[];[]
dislipidemia;dislipidemia campuran;[];[]
dislipidemia;dislipidemia campuran tipe iib;[];[]
dislipidemia;dislipidemia;[];[]
dismenore;dismenor primer;[];[]
dismenore;dysmenorrhea;[];[]
dismenore;disumenore;[];[]
dismenore;dismenorea;[];[]
dismenore;nyeri haid;[];[]
dismenore;nyeri haid primer;[];[]
dismenore;disenore nyeri haid;[];[]
dismenore;dismenorea primer;[];[]
dismenore;nyeri haid dysmenorrhea primer;[];[]
dismenore;dismenore nyeri haid;[];[]
dismenore;nyeri dismenore;[];[]
dismenore;sakit haid;[];[]
dismenore;dismenore;[];[]
dismenore;haid;[];[]
dismenore;keram saat haid;[];[]
dismenore;nyeri waktu haid;[];[]
dismenore;dismenore pasca operasi;[];[]
dismenore;dysmenorrhea primer;[];[]
dismenore;nyeri haid dismenore primer;[];[]
dismenore;disenore;[];[]
dismenore;dismenore primer;[];[]
dismenore;nyeri dismenore primer;[];[]
dismenore;dismenore nyeri saat haid;[];[]
edema;edema akibat chf;[];[]
edema;edema inflamasi;[];[]
edema;edema asites;[];[]
edema;edema gagal jantung kongestif;[];[]
edema;edema;[];[]
ejakulasi dini;ejakulasi dini;[];[]
eksaserbasi;eksaserbasi bakteri akut;[];[]
eksaserbasi;ekarserbasi akut;[];[]
eksaserbasi;eksasaerbasi akut;[];[]
eksaserbasi;eksaserbasi akut;[];[]
eksaserbasi;eksaserbasi;[];[]
eksaserbasi;exaserbasi akut;[];[]
eksema;ekzema bernanah;[];[]
ekstremitas dingin;ekstremitas teraba dingin;[];[]
ekstremitas dingin;extremitastangankaki dingin;[];[]
ekstremitas dingin;ekstremitas dingin;[];[]
emboli;embolus sistemik;[];[]
emboli;embolus paru;[];[]
emboli;emboli;[];[]
emboli;emboli serebral;[];[]
emfisema;enfisema;[];[]
emfisema;emfisema gangguan bronkhopulmoner;[];[]
emfisema;emphysema;[];[]
emfisema;batuk emphysema;[];[]
emfisema;pulmonari emfisema;[];[]
emfisema;emfisema;[];[]
emfisema;emfisema penyakit paru komplikasi bronkhospasme;[];[]
emfisema;ppok emfisema dengan bronkitis bronkitis kronis bronkiektasi;[];[]
emfisema;emfisema paru;[];[]
emfisema;gangguan bronkhopulmoner;[];[]
emfisema;emfisema dengan bronkitis;[];[]
empiema;emfiema;[];[]
endokarditis;endokarditis;[];[]
endometriosis;endometriosis;[];[]
endometritis;endometritis;[];[]
ensefalitis;toksoplasmik ensefalitis;['ensefalitis'];['ensefalitis']
ensefalopati;ensefalopati portal sistemik kronik;[];[]
ensefalopati;ensefalopati portalsistemik;[];[]
ensefalopati;ensefalopati;[];[]
ensefalopati;portal systemic encephalopathy;[];[]
ensefalopati;encephalopathy;[];[]
ensefalopati;ensefalopati portal;[];[]
ensefalopati;ensefalopati portal  sistemik;[];[]
ensefalopati;ensefalopati portal sistemik;[];[]
ensefalopati;portal sistemik;[];[]
epididimitis;epididimitis;[];[]
epididimo-orkitis;epididimo-orkitis;[];[]
epididimo-orkitis;epididimo orkitis;[];[]
epididimoorkitis;epididimoorkitis;[];[]
episkleritis;episcleritis;[];[]
episkleritis;episkleritis;[];[]
episkleritis;episklerit;[];[]
eritritis;eritritis;[];[]
erosi kornea;erosi kornea;['erosi lambung'];[]
esofagitis;eosifagitis;[];[]
esofagitis;esophagitis;[];[]
esofagitis;peptik eosifagitis;[];[]
esofagitis;peptik esofagitis;[];[]
esofagitis;esofagitis;[];[]
faringitis;faringitis;[];[]
faringitis;faringitis tonsilitis;[];[]
faringitis;faringitis tonsilitis streptokokus;[];[]
faringitis;pharingitis;[];[]
fatigue;fatig lelah;[];[]
fistula ani;fistula;[];[]
fistula ani;fistula ani;[];[]
fisura ani;fisura ani;[];[]
fisura ani;fisura anal;[];[]
fisura ani;fisura anal superfisial;[];[]
flek;flek;[];[]
flek;flek hitam;[];[]
flek;flek kanker paru paru;[];[]
flu;influenza dewasa;[];[]
flu;flu influensa;[];[]
flu;influenza;['haemophyllus influenza'];['haemophyllus influenza']
flu;virus influenza tipe a;[];[]
flu;flu pilek;[];[]
flu;h influenzae;[];[]
flu;infuenza;[];[]
flu;virus influenza tipe a atau b;[];[]
flu;virus influenza b;[];[]
flu;influenza a;[];[]
flu;infeksi virus influenza tipe b;[];[]
flu;flu demam;[];[]
flu;infeksi virus influenza tipe a;[];[]
flu;virus influenza tipe a b;[];[]
flu;virus influenza c;[];[]
flu;infeksi h influenzae;['h influenzae infeksi meningeal', 'h influenzae infeksi meningen'];['h influenzae infeksi meningeal', 'h influenzae infeksi meningen']
flu;influensa;[];[]
flu;demam influensa;[];[]
flu;flu anak orang dewasa;[];[]
flu;fluinfluensa;[];[]
flu;flu;[];[]
flu;flu pada anak dan orang dewasa;[];[]
flu;flu disertai batuk kering;[];[]
flu;influenza anak;[];[]
flu;hinfluenzae;[];[]
flu;influensa demam;[];[]
flu;flu seperti demam;[];[]
flu;influenza tipe a;[];[]
flu;influenza tipe b;[];[]
flu;h influenza;[];[]
flu;virus influenza a;[];[]
flu;gejala flu;[];[]
flu burung;flu burung;[];[]
folikulitis;folikulitis superfisial;[];[]
folikulitis;falikulitis superfisialis;[];[]
folikulitis;folikulitis;[];[]
folikulitis;folikulitis barbae;[];[]
folikulitis;folikulitis superfisialis;[];[]
furunculosis;furunkuloris;[];[]
furunculosis;furunkulosis;[];[]
furunculosis;furunculosis;[];[]
gagal ginjal akut;gagal ginjal;[];[]
gagal ginjal akut;gagal ginjal akut;[];[]
gagal ginjal akut;insufisiensi ginjal;[];[]
gagal ginjal kronis;gangguan ginjal khronik;[];[]
gagal ginjal kronis;pasien gagal ginjal khronik;[];[]
gagal ginjal kronis;gagal ginjal khronis;[];[]
gagal ginjal kronis;insufisiensi ginjal kronik;[];[]
gagal ginjal kronis;gagal ginjal akut kronik;[];[]
gagal ginjal kronis;gagal ginjal kronik;[];[]
gagal ginjal kronis;insufisiensi ginjal khronik;[];[]
gagal jantung;gagal jantung kronik;[];[]
gagal jantung;gagal jantung kongestif;[];[]
gagal jantung;gagal jantung kongesti;[];[]
gagal jantung;masalah jantung;[];[]
gagal jantung;gagal jantung;[];[]
gagal jantung;gangguan jantung;[];[]
gagal jantung;infeksi jantung;[];[]
gangguan ginjal;gangguan ginjal prostat;[];[]
gangguan ginjal;gangguan ginjal;[];[]
gangguan hati;gangguan hati;[];[]
gangguan kehamilan;kehamilan;[];[]
gangguan kehamilan;komplikasi kehamilan;[];[]
gangguan kehamilan;gangguan kehamilan;[];[]
gangguan keseimbangan;gangguan keseimbangan;[];[]
gangguan keseimbangan;gangguan keseimbangan hormonal;['gangguan hormonal'];['gangguan hormonal']
gangguan kulit;gangguan kulit;[];[]
gangguan memori;gangguan memori;[];[]
gangguan memori;gangguan memori tidur;[];[]
gangguan metabolik;gangguan metabolik;[];[]
gangguan metabolik;gangguan vaskulo metabolik perifer akut khronik;[];[]
gangguan metabolik;gangguan metabolisme otot jantung;[];[]
gangguan metabolik;gangguan vaskulo metabolik serebral akut khronik;[];[]
gangguan metabolik;gangguan metabolisme;[];[]
gangguan muskuloskeletal;gangguan muskulosketal akut;[];['gangguan muskuloskeletal akut']
gangguan muskuloskeletal;gangguan musculoskeletal akut gout akut;[];[]
gangguan muskuloskeletal;gangguan musculoskeletal akut;[];[]
gangguan panik;gangguan panik;[];[]
gangguan pencernaan;gangguan lambung;[];[]
gangguan pencernaan;gangguan lambungusus;[];[]
gangguan pencernaan;gangguan pencernaan fungsional;[];[]
gangguan pencernaan;gangguan pencernaan;[];[]
gangguan pencernaan;gangguan saluran cerna;[];[]
gangguan pencernaan;gangguan pada pencernaan;[];[]
gangguan pencernaan;gangguan pencernaan neurogenik;[];[]
gangguan pencernaan;dispepsia gangguan pencernaan neurogenik;[];[]
gangguan pendengaran;gangguan pendengaran;[];[]
gangguan peradangan okular;gangguan peradangan okular;[];[]
gangguan pernapasan;gangguan saluran pernapasan akut kronik;[];[]
gangguan pernapasan;gangguan saluran nafas khronik;[];[]
gangguan pernapasan;gangguan saluran nafas kronis;[];[]
gangguan pernapasan;gangguan saluran napa;[];[]
gangguan pernapasan;gangguan pernapasan;[];[]
gangguan pernapasan;gangguan saluran pernafasan disebabkan dahak mukus;[];[]
gangguan pernapasan;gangguan saluran nafas akut;[];[]
gangguan pernapasan;gangguan saluran pernafasan akut kronik;[];[]
gangguan pernapasan;gangguan saluran nafas akut kronis;[];[]
gangguan pernapasan;gangguan saluran pernafasan;[];[]
gangguan pernapasan;gangguan pernapasan akut kronis;[];[]
gangguan pernapasan;gangguan pernafasan;[];[]
gangguan pernapasan;gangguan pernafasan akibat rokok;[];[]
gangguan pernapasan;gangguan saluran pernapasan;[];[]
gangguan pernapasan;gangguan saluran napa akut khronik;[];[]
gangguan pernapasan;gangguan saluran pernafasan akut;[];[]
gangguan pernapasan;gangguan saluran pernapasan alergi dermatologi serta gangguan inflamasi ocular;[];[]
gangguan pernapasan;gangguan di saluran pernafasan;[];[]
gangguan pernapasan;sekretolitik gangguan saluran napa akut khronik;[];[]
gangguan pernapasan;gangguan saluran pernafasan kronik;[];[]
gangguan prostat;gangguan prostat;[];[]
gangguan saluran gastrointestinal;gi;[];[]
gangguan saluran gastrointestinal;gangguan gi;[];[]
gangguan saluran gastrointestinal;gangguan gi mual;[];[]
gangguan saluran kemih;gangguan saluran kemih bagian bawah berhubungan dengan hiperplasia prostat jinak;['hiperplasia prostat jinak'];[]
gangguan saluran kemih;gangguan saluran kemih bagian bawah;[];[]
gangguan saraf;gangguan saraf;[];[]
gangguan saraf;gangguan saraf perifer;[];[]
gangguan saraf;gangguan sistem saraf perifer;['gangguan sistem saraf tepi'];['gangguan sistem saraf tepi']
gangguan sirkulasi;gangguan sirkulasi darah perifer;['gangguan peredaran darah perifer', 'gangguan sirkulasi darah pembuluh darah tepi', 'gangguan sirkulasi darah perifer serebral'];['gangguan peredaran darah perifer', 'gangguan sirkulasi darah pembuluh darah tepi', 'gangguan sirkulasi darah perifer serebral']
gangguan sirkulasi;gangguan sirkulasi serebralpada otak;[];[]
gangguan sirkulasi;gangguan sirkulasi serebral otak;['gangguan sirkulasi darah otak'];['gangguan sirkulasi darah otak']
gangguan sirkulasi;gangguan sirkulasi serebral;['sirkulasi serebral perifer', 'kelainan sirkulasi perifer serebral'];['sirkulasi serebral perifer', 'kelainan sirkulasi perifer serebral']
gangguan sirkulasi;gangguan sistem sirkulasi perifer;[];[]
gangguan sirkulasi;gangguan sirkulasi serebral vestibular;[];[]
gangguan sirkulasi;gangguan sirkulasi;[];[]
gangguan sirkulasi;gangguan sirkulasi perifer;['gangguan sirkulasi perifer arteriopati organik', 'sirkulasi perifer'];['gangguan sirkulasi perifer arteriopati organik', 'sirkulasi perifer']
gangguan spastik;gangguan spastik;[];[]
gangguan spastik;gangguan spastik saluran cerna;[];[]
gangguan spastik;gangguan spastik saluran genital wanita;[];[]
gangguan spastik;gangguan spastik saluran kemih;[];[]
gangguan spastik;gangguan spastik saluran empedu;[];[]
gangguan tidur;gangguan ritme tidur;[];[]
gangguan tidur;sulit tidur;[];[]
gangguan tidur;gangguan irama tidur;[];[]
gangguan tidur;gangguan sulit tidur;[];[]
gangguan tidur;gangguan tidur;[];[]
gangguan tidur;susah tidur;[];[]
gangguan tropik;gangguan trofik;[];[]
gangguan tropik;gangguan tropik;[];[]
gangguan vestibular;gangguan vaskular vestibular;[];[]
gangguan vestibular;gangguan vestibular;[];[]
gangrene;ganggren;[];[]
gangrene;gangrene;[];[]
gastritis;ulkus gastritis;[];[]
gastritis;gastritis;[];[]
gastritis;gastritis kronik;[];[]
gastritis;gastritis kronik sd 8 minggu;[];[]
gastritis;gastritis kronis;[];[]
gastritis;penuh lambung gastritis;[];[]
gastritis;antasida gastritis;[];[]
gastritis;gastritis alkoholisme khronik;[];[]
gastritis;gastristis;[];[]
gastritis;gastritis tukak lambung tukak usus dua belas jari;[];[]
gastroenteritis;gastroenteritis bayi;[];[]
gastroenteritis;gastroenteritis anak;[];[]
gastroenteritis;gastroenteritis;[];[]
gastroparesis;gastroparesis berulang;[];[]
gastroparesis;gastroparesis akut berulang;[];[]
gastroparesis;gastroparesis diabetikum;[];[]
gastroparesis;gastroparesis diabetikum akut berulang;[];[]
gastroparesis;gastroparesis akut;[];[]
gastroparesis;gastroparesis;[];[]
gastroparesis;gastroparesis akut dan berulang;[];[]
gastroparesis;gastroparesis diabetikum akut rekuren;[];[]
gatal;gatalgatal;['gatalgatal kaki'];['gatalgatal kaki','gatal tidak nyaman vagina','gatal dengan luka ringan']
gatal;urtikaria gatal gatal;[];[]
gatal;sakit gigi gatal gatal;[];[]
gatal;gatal2;[];[]
gatal;inflamasi gatal gatal;[];[]
gatal;gatal kulit;[];[]
gatal;gatalgatal disebabkan oleh infeksi jamur;[];[]
gatal;gatal;['rasa gatal'];['rasa gatal']
gatal;gatal gatal;[];[]
gatal;gatal jamur kulit;[];[]
gerd;refluks esofagitis erosif ulseratif;[];[]
gerd;nonerosive reflux disease;[];[]
gerd;refluks esofagitis erosifulseratif;[];[]
gerd;refluks esophagitis;[];[]
gerd;gastroesophageal reflux disease;[];[]
gerd;inflamasi esofagus;[];[]
gerd;rasa panas ulu hatikerongkongan akibat reflux esofagitis;[];[]
gerd;refluks esofagitis berat;[];[]
gerd;refluks esofagitis;[];[]
gerd;reflux;[];[]
gerd;esofagitis erosifulseratif;[];[]
gerd;esofagitis erosif;[];[]
gerd;refluks esofagus;[];[]
gerd;refluks;[];[]
gerd;inflamasi esofagus refluks esofagus;[];[]
gerd;reflux gastroesofagitis;[];[]
gerd;refluks gastroesofagus erosif;[];[]
gerd;gangguan refluks non erosive;[];[]
gerd;reflux esofagitis erosifulseratif;[];[]
gerd;reflux esophagitis sedang berat;[];[]
gerd;refluks esofagitis erosif;[];[]
gerd;esofagitis berat;[];[]
gerd;refluks esofagitis erosif atau ulseratif;[];[]
gerd;reflux esophagitis sedang dan berat;[];[]
gerd;esofageal;[];[]
gerd;reflucks esofagitis;[];[]
gerd;refluks gastroesofagus;[];[]
gerd;refluks gastroesofagus yang erosif;[];[]
gerd;reflux esofagitis;[];[]
gerd;refluks gastroesofagitis;[];[]
gerd;simtomatik gerd;[];[]
gerd;gastroesophageal reflux disease gerd;[];[]
gerd;reflucks;[];[]
gerd;asofangeal;[];[]
gerd;nonerosive reflux disease nerd;[];[]
gerd;gerd;[];[]
gerd;esofangeal;[];[]
giardiasis;giardia lambliasis;[];[]
giardiasis;giardia;[];[]
giardiasis;giardiasis;[];[]
gigi berlubang;gigi berlubang;[];[]
gigitan serangga;gatal gigitan serangga;[];[]
gigitan serangga;gatal akibat gigitan serangga;[];[]
gigitan serangga;gigitan nyamukserangga;[];[]
gigitan serangga;gatal karena biang keringet udara panas gigitan serangga;[];[]
gigitan serangga;gatal biang keringet udara panas gigitan serangga;[];[]
gigitan serangga;gigitan nyamuk;[];[]
gigitan serangga;gigitan nyamuk bahkan nyamuk demam berdarah;[];[]
gigitan serangga;gigitan serangga;[];[]
gigitan serangga;gatalgatal akibat gigitan serangga;[];[]
gigitan serangga;gatalgatal gigitan serangga;[];[]
gigitan serangga;gatalgatal akibat gigitan serangganyamuk;[];[]
gigitan serangga;gigitan nyamuk serangga;[];[]
gigitan serangga;gatal gigitan serangga dan nyamuk;[];[]
gigitan serangga;gatal akibat gigitan seranggga;[];[]
gigitan serangga;gatal  gatal gigit serangga;[];[]
gigitan serangga;gatal gatal gigit serangga;[];[]
gigitan serangga;gatalgatal akibat gigitan serangga nyamuk;[];[]
gigitan serangga;gigitan nyamuk  serangga;[];[]
gigitan serangga;gatalgatal gigitan serangga nyamuk;[];[]
gigitan serangga;gatalgatal akibat gigitan serangga atau nyamuk;[];[]
gigitan serangga;gatal karena gigitan serangga;[];[]
gigitan serangga;digigit serangga;[];[]
gigitan serangga;gatal gigitan serangga nyamuk;[];[]
gigitan serangga;gatalgatal akibat gigitan serangga dan nyamuk;[];[]
gigitan serangga;gatalgatal akibat digigit serangga;[];[]
gigitan serangga;gatalgatal karena gigitan serangga;[];[]
gigitan serangga;gatalgatal karena gigitan serangga atau nyamuk;[];[]
gigitan serangga;gigitan nyamuk/serangga;[];[]
gigitan serangga;serangga;[];[]
gigitan serangga;gatal akibat digigit serangga;[];[]
gigitan serangga;gatal akibat gigitan nyamukserangga;[];[]
glaukoma;glaukoma;[];[]
glaukoma;glaukoma sudut  terbuka hipertensi okular;[];[]
glaukoma;glaukoma sekunder;[];[]
glaukoma;glaukoma sudut  terbuka khronis;[];[]
glaukoma;glaukoma sudut tertutup;[];[]
glaukoma;aphakic glukoma;[];[]
glaukoma;glaukoma sudut terbuka khronis;[];[]
glaukoma;glukoma sudut terbuka kronis;[];[]
glaukoma;glaukoma simplek kronis;[];[]
glaukoma;glaukoma sudut terbuka hipertensi okular;[];[]
glaukoma;glaukoma sudut terbuka;[];[]
glaukoma;glaukoma sudut  terbuka;[];[]
glaukoma;glaukoma sudut terbuka kronis;[];[]
glaukoma;glukoma;[];[]
glaukoma;glaukoma sudutterbuka;[];[]
gonore;go infeksi;[];[]
gonore;neisseria gonorrhoea;[];[]
gonore;go;[];[]
gonore;gonore komplikasi;[];[]
gonore;gonorrhoea;[];[]
gonore;gonorrhoea akut tidak terkomplikasi;[];[]
gonore;gonorea;[];[]
gonore;eritritis pielonefritis gonore;[];[]
gonore;gonorrhea;[];[]
gonore;n gonorrhoea;[];[]
gonore;gonorea tanpa komplikasi;[];[]
gonore;uretritis gonore servisitis komplikasi;[];[]
gonore;gonore tidak terkomplikasi;[];[]
gonore;go akut;[];[]
gonore;gonorhea yang tidak terkomplikasi infeksi kulit dan jaringan lunak;[];[]
gonore;uretritis gonore;[];[]
gonore;gonorrhea komplikasi;[];[]
gonore;uretritis servisitis gonore;[];[]
gonore;gonorrhoea tidak terkomplikasi;[];[]
gonore;gonorrhoea acute tidak terkomplikasi;[];[]
gonore;gonorhea tidak terkomplikasi infeksi kulit jaringan lunak;[];[]
gonore;n gonorrhoae;[];[]
gonore;gogonorea tanpa komplikasi;[];[]
gonore;gonorrhoeae;[];[]
gonore;uretritis non gonore;[];[]
gonore;gonore akut;[];[]
gonore;gonore;[];[]
granuloma inguinale;granuloma inguinale;[];[]
gusi bengkak;gusi bengkak;[];[]
hematoma;hematoma;[];[]
hepatitis;hepatitis alkoholik;[];[]
hepatitis;hepatitis virus;[];[]
hepatitis;profilaksis infeksi hepatitis;[];[]
hepatitis;hepatitis;[];[]
hepatitis;virus hepatitis b;[];[]
hepatitis b;hepatitis b kronik;[];[]
hepatitis b;virus hepatitis b kronik;[];[]
hepatitis b;infeksi virus hepatitis b kronik;[];[]
hernia;hernia;[];[]
hernia;hernia peptik;[];[]
hernia hiatus;hiatus hernis;[];[]
hernia hiatus;hiatus hernia;[];[]
hernia hiatus;hernia hiatus;[];[]
hernia hiatus;hiatus;[];[]
hernia nukleus pulposus;hernia neukleus pulposus;[];[]
herpes;infeksi rekuren herpes labialis;[];[]
herpes;virus herpes;[];[]
herpes;herpes labialis;[];[]
herpes genital (herpes simplex);herpes genitalis;[];[]
herpes genital (herpes simplex);infeksi virus herpes simplex kulit membran mukosa;[];[]
herpes genital (herpes simplex);infeksi virus herpes simpleks pada kulit dan selaput lendir;[];[]
herpes genital (herpes simplex);herpes simpleks;[];[]
herpes genital (herpes simplex);rekuren;[];[]
herpes genital (herpes simplex);herpes genital berulang;[];[]
herpes genital (herpes simplex);herpes genital awal rekuren;[];[]
herpes genital (herpes simplex);herpes simplex tipe 1 2;[];[]
herpes genital (herpes simplex);herpes simplek kulit;[];[]
herpes genital (herpes simplex);lichen simplek;[];[]
herpes genital (herpes simplex);infeksi virus herpes simpleks;[];[]
herpes genital (herpes simplex);infeksi virus herpes simpleks kulit selaput lendir;[];[]
herpes genital (herpes simplex);herpes simplek;[];[]
herpes genital (herpes simplex);infeksi awal herpes genital;[];[]
herpes genital (herpes simplex);herpes simpleks kulit membran mukosa;[];[]
herpes genital (herpes simplex);infeksi herpes simplex;[];[]
herpes genital (herpes simplex);herpes simplex tipe 1  2;[];[]
herpes genital (herpes simplex);alergi kulit selaput lendir;[];[]
herpes genital (herpes simplex);infeksi rekuren herpes genital;[];[]
herpes genital (herpes simplex);herpes simplex zoster;[];[]
herpes genital (herpes simplex);infeksi virus herpes simpleks kulit membran mukosa;[];[]
herpes genital (herpes simplex);herpes ginital;[];[]
herpes genital (herpes simplex);herpes simplex;[];[]
herpes genital (herpes simplex);infeksi herpes simplex pada kulit;[];[]
herpes genital (herpes simplex);infeksi herpes simplex kulit;[];[]
herpes genital (herpes simplex);virus herpes simpleks;[];[]
herpes genital (herpes simplex);infeksi awal herpes labialis;[];[]
herpes genital (herpes simplex);herpes genital rekuren;[];[]
herpes genital (herpes simplex);herpes simplex tipe 1;[];[]
herpes genital (herpes simplex);infeksi herpes simpleks pada kulit;[];[]
herpes genital (herpes simplex);herpes genital awal;[];[]
herpes genital (herpes simplex);herpes genital awal  rekuren;[];[]
herpes genital (herpes simplex);herpes genital awal dan rekuren;[];[]
herpes genital (herpes simplex);herpes simplek pada kulit;[];[]
herpes genital (herpes simplex);herpes simplex tipe 2;[];[]
herpes genital (herpes simplex);herpes ginital awal;[];[]
herpes genital (herpes simplex);herpes simplex dan zoster;[];[]
herpes genital (herpes simplex);herpes genital;[];[]
herpes genital (herpes simplex);infeksi herpes simpleks kulit;[];[]
herpes genital (herpes simplex);pencegahan infeksi herpes simplex;[];[]
herpes genital (herpes simplex);supresi kekambuhan infeksi herpes simplex;[];[]
herpes zoster;infeksi virus herpes zoster;[];[]
herpes zoster;zoster;[];[]
herpes zoster;herpes zoster;[];[]
hidung tersumbat;hidung berair;[];[]
hidung tersumbat;hidung tersumbat/gatal;[];[]
hidung tersumbat;hidung tersumbatgatal;[];[]
hidung tersumbat;hidung berair tersumbat;[];[]
hidung tersumbat;tenggorokan hidung tersumbat;[];[]
hidung tersumbat;gatal hidung;[];[]
hidung tersumbat;tersumbat;[];[]
hidung tersumbat;pilek gatal hidung;[];[]
hidung tersumbat;hidung tersumbat;[];[]
hidung tersumbat;gatal hidung tenggorokan;[];[]
hidung tersumbat;hidung tersumbat bersinbersin;[];[]
hidung tersumbat;hidung tersumbat pilek;[];[]
hiperasiditas gastrointestinal;hiperasiditas gastrointestinal;[];['hiperasiditas','hiperasiditas kembung']
hiperasiditas gastrointestinal;hiperasiditas lambung saluran cerna;[];[]
hiperasiditas gastrointestinal;hiperasiditas pencernaan;[];[]
hiperasiditas gastrointestinal;hiperasiditas lambung;[];[]
hiperemesis gravidarum;hiperemesis gravidarum;[];[]
hiperemesis gravidarum;emesis gravidarum;[];[]
hiperemesis gravidarum;hiperemesis gravidarum muntahmuntah 3 kehamilan;[];[]
hiperglikemia;hiperglikemia;[];[]
hiperkalemia;hiperkalemia;[];[]
hiperkolesterolemia;hiperkolesterolemia tipe iia;[];[]
hiperkolesterolemia;hiperkolesterolemia hip;[];[]
hiperkolesterolemia;hiperko - lesterolemia;[];[]
hiperkolesterolemia;heterozigot familial;[];[]
hiperkolesterolemia;hiperkolesterolemia familial heterozigot homozigot;[];[]
