standardized_disease;fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf_fuzzy_tfidf;list_of_diseases;corrected_list_of_diseases
demam pada anak;demam pada anak;[];[]
demam pada anak;demam anak anak;[];[]
demam pada anak;demam anak;[];[]
demam pada anak;menurunkan demam anak;[];[]
demam pada anak;demam anak dewasa;[];[]
demam paratifoid;paratifoid;[];[]
demam paratifoid;demam paratifoid;[];[]
demam scarlet;demam scarlet;[];[]
demam tifoid;demam tifoid;[];[]
dermatitis;dermatitis dengan komplikasi infeksi bakterial;[];[]
dermatitis;dermatitis alergi;[];[]
dermatitis;pruritik dermatitis;[];[]
dermatitis;dermatitis lainnya;[];[]
dermatitis;dermatitis;[];[]
dermatitis;dermatitis komplikasi infeksi bakterial;[];[]
dermatitis;dermatitis akut;[];[]
dermatitis;eksim dermatitis;[];[]
dermatitis;dermatitis eksfoliatif;[];[]
dermatitis;dermatitis terinfeksi bisul;[];[]
dermatitis;exfoliative dermatitis;[];[]
dermatitis;dermatofitosis;[];[]
dermatitis;dermatitis ekzematous;[];[]
dermatitis;dermatositosis;[];[]
dermatitis;dermatitis disertai infeksi;[];[]
dermatitis;dermatitis ekzematoid terinfeksi;[];[]
dermatitis;dermatitis terinfeksi;[];[]
dermatitis atopik;dermatitis atopik kontak;[];[]
dermatitis atopik;kulit bersisik;[];[]
dermatitis atopik;dermatitis atopik alergi herediterketurunan;[];[]
dermatitis atopik;dermatitis kontak maupun atopik;[];[]
dermatitis atopik;dermatitis atopik;[];[]
dermatitis atopik;kulit bersisik psoriasis dermatitis atopik;[];[]
dermatitis atopik;dermatitis kontak atopik;[];[]
dermatitis atopik;dermatitis atopic;[];[]
dermatitis atopik;atopic dermatitis;[];[]
dermatitis kontak;dermatitis kontak;[];[]
dermatitis kontak;contact dermatitis;[];[]
dermatitis kontak;dermatitis kronik;[];[]
dermatitis kontak;dermatitis akut kronik;[];[]
dermatitis kontak;dermatitis kontak jenis dermatitis;[];[]
dermatitis seboroik;seboroik;[];[]
dermatitis seboroik;demartitis sebaroik ringan;[];[]
dermatitis seboroik;seborrhoeic dermatitis;[];[]
dermatitis seboroik;dermatitis seboroik;[];[]
dermatomikosis;dermatomikosis;[];[]
dermatomiositis;dermatomiositis;[];[]
dermatomiositis;dermatomiosis;[];[]
dermatosis;dermatosis alergi;[];[]
dermatosis;sermatosis;[];[]
dermatosis;dermatosis alergi inflamasi;[];[]
dermatosis;dermatosis;[];[]
dermatosis;inflamasi dermatosis;[];[]
dermatosis;inflamasi dermatosis reponsif kortikosteroid;[];[]
dermatosis;dermatosis bakterial mikotik;[];[]
dermatosis;seluruh dermatosis responsif;[];[]
dermatosis;dermatosis mikotik;[];[]
dermatosis;dermatosis lebih resisten;[];[]
dermatosis;dermatosis responsif;['dermatosis responsif kortikosteroid', 'dermatosis responsif terhadap kortikosteroid'];['dermatosis responsif kortikosteroid', 'dermatosis responsif terhadap kortikosteroid']
dermatosis;dermatosis resisten;[];[]
dermatosis;dermatosis lain;[];[]
dermatosis;dermatosis bakterial;[];[]
dermatosis;dermatosis sensitif kortikosteroid;[];[]
diabetes;diabetik;[];[]
diabetes;non insulin dependent diabetes mellitus;[];[]
diabetes;diabetes melitus;[];[]
diabetes;diabetik gastro paresis akut;[];[]
diabetes;diabetik gastroparesis berulang;[];[]
diabetes;diabetes obesitas;[];[]
diabetes;insulin dependent diabetes mellitus;[];[]
diabetes;diabetes mellitus;[];[]
diabetes;non insulin dependent diabetic mellitus;[];[]
diabetes;diabetik gastroparesis akut;[];[]
diabetes;diabetes;[];[]
diabetes;paresis;[];[]
diabetes tipe 1;diabetes tipe 1;[];[]
diabetes tipe 1;diabetes tipe - 1;[];[]
diabetes tipe 1;diabetes melitus tipe  1;[];[]
diabetes tipe 2;pasien dm tipe 2;[];[]
diabetes tipe 2;dm tipe 2;[];[]
diabetes tipe 2;dm tipe  2;[];[]
diabetes tipe 2;diabetes melitus tipe  2;[];[]
diabetes tipe 2;tipe 2;[];[]
diabetes tipe 2;diabetes melitus tipe 2;[];[]
diabetes tipe 2;diabetes tipe 2 terkontrol;[];[]
diabetes tipe 2;diabetes tipe 2;[];[]
diabetes tipe 2;dmt2;[];[]
diabetes tipe 2;diabetes mellitus tipe 2;[];[]
diabetes tipe 2;diabetes tipe - 2;[];[]
diabetes tipe 2;diabetes miletus tipe 2;[];[]
diabetes tipe 2;diabetes melitus tipe 1;[];[]
diare;diare akut non spesifik kronik;[];[]
diare;diare akut;[];[]
diare;diare akut kronik;[];[]
diare;diare non  spesifik;[];[]
diare;diare anak;[];[]
diare;diare karena kuman e coli dan staph kolopati spesifik dan non spesifik pada dewasa dan anak;[];[]
diare;diare mencret;[];[]
diare;diare;[];[]
diare;diare staph;[];[]
diare;diare akut non spesifik;[];[]
diare;mencret;[];[]
diare;diare e coli;[];[]
diare;diare e  coli;[];[]
diare;diare kronis;[];[]
diare;ecoli;[];[]
diare;diare nonspesifik;[];[]
diare;diare ecoli;[];[]
diare;diare kuman e coli staph kolopati spesifik non spesifik dewasa anak;[];[]
diare;diare kronik;[];[]
diare;diare non spesifik;[];[]
difteri;difteri faringeal;[];[]
difteri;difteri;[];[]
discoid;diskoid;[];[]
discoid;discoid;[];[]
discoid;ekzema diskoid;[];[]
discoid;diskoid lupus eritemmantosus;[];[]
discoid;dsikoid;[];[]
disentri;paratifoid disentri basiler;[];[]
disentri;disentri basil;[];[]
disentri;enterokolitis disentri basiler akibat bakteri gram negatif;[];[]
disentri;disentri basiler;[];[]
disentri;disentri;[];[]
disfungsi ereksi;disfungsi ereksi;[];[]
disfungsi ovulasi;disovulasi;[];[]
disfungsi ovulasi;disfungsi ovulasi;[];[]
disfungsi ovulasi;gangguan ovulasi;[];[]
dislipidemia;dislipidemia campuran;[];[]
dislipidemia;dislipidemia campuran tipe iib;[];[]
dislipidemia;dislipidemia campuran fredrickson tipe iia iib;[];[]
dislipidemia;dislipidemia;[];[]
dismenore;dismenorea primer;[];[]
dismenore;nyeri dismenore;[];[]
dismenore;dismenor primer;[];[]
dismenore;keram saat haid;[];[]
dismenore;nyeri haid;[];[]
dismenore;dismenore pasca operasi;[];[]
dismenore;disenore;[];[]
dismenore;dysmenorrhea;[];[]
dismenore;dysmenorrhea primer;[];[]
dismenore;sakit haid;[];[]
dismenore;disumenore;[];[]
dismenore;dismenore nyeri saat haid;[];[]
dismenore;nyeri waktu haid;[];[]
dismenore;nyeri dismenore primer;[];[]
dismenore;nyeri haid dismenore primer;[];[]
dismenore;dismenorea;[];[]
dismenore;dismenore;[];[]
dismenore;dismenore primer;[];[]
dismenore;nyeri haid dysmenorrhea primer;[];[]
dismenore;nyeri haid primer;[];[]
dismenore;disenore nyeri haid;[];[]
dismenore;dismenore nyeri haid;[];[]
dismenore;haid;[];[]
edema;edema gagal jantung kongestif;[];[]
edema;edema asites;[];[]
edema;edema akibat chf;[];[]
edema;edema;[];[]
edema;edema inflamasi;[];[]
ejakulasi dini;ejakulasi dini;[];[]
eksaserbasi;eksaserbasi;[];[]
eksaserbasi;exaserbasi akut;[];[]
eksaserbasi;eksaserbasi bakteri akut;[];[]
eksaserbasi;eksaserbasi akut;[];[]
eksaserbasi;eksasaerbasi akut;[];[]
eksaserbasi;ekarserbasi akut;[];[]
eksim;eksema rekalsitrans;[];[]
eksim;ekzema;['ekzema resisten', 'ekzema rekalsitran', 'ekzema infantil', 'ekzema stasis'];['ekzema resisten', 'ekzema rekalsitran', 'ekzema infantil', 'ekzema stasis']
eksim;eksim;[];[]
eksim;eksim rekalsitran;[];[]
eksim;ekzema terinfeksi;[];[]
eksim;ekzema atopik;[];[]
eksim;eksma;[];[]
eksim;ekzema bernanah;[];[]
eksim;ecsema;[];[]
eksim;ekzim terutama anak;[];[]
eksim;eksim rekalsitrans;[];[]
eksim;eczema;[];[]
eksim;eksema;[];[]
eksim;eksem;[];[]
eksim;ekzim;[];[]
ekstremitas dingin;ekstremitas teraba dingin;[];[]
ekstremitas dingin;extremitastangankaki dingin;[];[]
ekstremitas dingin;ekstremitas dingin;[];[]
emboli;emboli;[];[]
emboli;embolus paru;[];[]
emboli;embolus sistemik;[];[]
emboli;emboli serebral;[];[]
emfisema;ppok emfisema dengan bronkitis bronkitis kronis bronkiektasi;[];[]
emfisema;enfisema;[];[]
emfisema;emfisema gangguan bronkhopulmoner;[];[]
emfisema;emfisema;[];[]
emfisema;gangguan bronkhopulmoner;[];[]
emfisema;pulmonari emfisema;[];[]
emfisema;batuk emphysema;[];[]
emfisema;emfisema dengan bronkitis;[];[]
emfisema;emphysema;[];[]
emfisema;emfisema penyakit paru komplikasi bronkhospasme;[];[]
emfisema;emfisema paru;[];[]
empiema;emfiema;[];[]
endokarditis;endokarditis;[];[]
endometriosis;endometriosis;[];[]
endometritis;endometritis;[];[]
ensefalitis;toksoplasmik ensefalitis;[];[]
ensefalitis;ensefalitis;[];[]
ensefalopati;encephalopathy;[];[]
ensefalopati;ensefalopati portal sistemik;[];[]
ensefalopati;ensefalopati portalsistemik;[];[]
ensefalopati;ensefalopati portal  sistemik;[];[]
ensefalopati;portal sistemik;[];[]
ensefalopati;ensefalopati portal;[];[]
ensefalopati;ensefalopati;[];[]
ensefalopati;portal systemic encephalopathy;[];[]
ensefalopati;sistemik ensepalopati;[];[]
ensefalopati;ensefalopati portal sistemik kronik;[];[]
epididimitis;epididimitis;[];[]
epididimo-orkitis;epididimo-orkitis;[];[]
epididimo-orkitis;epididimo orkitis;[];[]
epididimoorkitis;epididimoorkitis;[];[]
episkleritis;episcleritis;[];[]
episkleritis;episklerit;[];[]
episkleritis;episkleritis;[];[]
eritritis;eritritis;[];[]
erosi kornea;erosi kornea;[];[]
erosi lambung;erosi lambung;[];[]
esofagitis;esofagitis;[];[]
esofagitis;esophagitis;[];[]
esofagitis;peptik esofagitis;[];[]
esofagitis;eosifagitis;[];[]
esofagitis;peptik eosifagitis;[];[]
faringitis;faringitis;[];[]
faringitis;pharingitis;[];[]
faringotonsilitis;faringitis tonsilitis streptokokus;[];[]
faringotonsilitis;faringotosilitis;[];[]
faringotonsilitis;faringotonsilitis;[];[]
faringotonsilitis;faringitis tonsilitis;[];[]
fatigue;fatig lelah;[];[]
fistula ani;fistula ani;[];[]
fistula ani;fistula;[];[]
fisura ani;fisura ani;[];[]
fisura ani;fisura anal superfisial;[];[]
fisura ani;fisura anal;[];[]
flek;flek kanker paru paru;[];[]
flek;flek hitam;[];[]
flek;flek;[];[]
flu;influensa;[];[]
flu;influenza;[];[]
flu;virus influenza c;[];[]
flu;virus influenza tipe a;[];[]
flu;influenza tipe b;[];[]
flu;hinfluenzae;[];[]
flu;h influenzae infeksi meningeal;[];[]
flu;influensa demam;[];[]
flu;flu anak orang dewasa;[];[]
flu;virus influenza tipe a b;[];[]
flu;flu disertai batuk kering;[];[]
flu;infeksi virus influenza tipe b;[];[]
flu;flu seperti demam;[];[]
flu;influenza a;[];[]
flu;infeksi virus influenza tipe a;[];[]
flu;fluinfluensa;[];[]
flu;h influenzae;[];[]
flu;virus influenza b;[];[]
flu;flu pilek;[];[]
flu;influenza tipe a;[];[]
flu;infuenza;[];[]
flu;flu;[];[]
flu;h influenza;[];[]
flu;demam influensa;[];[]
flu;h influenzae infeksi meningen;[];[]
flu;infeksi h influenzae;[];[]
flu;influenza dewasa;[];[]
flu;virus influenza tipe a atau b;[];[]
flu;flu demam;[];[]
flu;haemophyllus influenza;[];[]
flu;virus influenza a;[];[]
flu;flu influensa;[];[]
flu;flu pada anak dan orang dewasa;[];[]
flu;influenza anak;[];[]
flu;gejala flu;[];[]
flu burung;flu burung;[];[]
folikulitis;folikulitis superfisial;[];[]
folikulitis;folikulitis;[];[]
folikulitis;folikulitis barbae;[];[]
folikulitis;falikulitis superfisialis;[];[]
folikulitis;folikulitis superfisialis;[];[]
furunculosis;furunkuloris;[];[]
furunculosis;furunculosis;[];[]
furunculosis;furunkulosis;[];[]
gagal ginjal akut;gagal ginjal;[];[]
gagal ginjal akut;insufisiensi ginjal;[];[]
gagal ginjal akut;gagal ginjal akut;[];[]
gagal ginjal kronis;insufisiensi ginjal khronik;[];[]
gagal ginjal kronis;gagal ginjal khronis;[];[]
gagal ginjal kronis;gangguan ginjal khronik;[];[]
gagal ginjal kronis;pasien gagal ginjal khronik;[];[]
gagal ginjal kronis;insufisiensi ginjal kronik;[];[]
gagal ginjal kronis;gagal ginjal akut kronik;[];[]
gagal ginjal kronis;gagal ginjal kronik;[];[]
gagal jantung;gagal jantung kongestif;[];[]
gagal jantung;gagal jantung kongesti;[];[]
gagal jantung;infeksi jantung;[];[]
gagal jantung;gangguan jantung;[];[]
gagal jantung;masalah jantung;[];[]
gagal jantung;gagal jantung kronik;[];[]
gagal jantung;gagal jantung;[];[]
gangguan endokrin;gangguan endokrin;[];[]
gangguan ginjal;gangguan ginjal prostat;[];[]
gangguan ginjal;gangguan ginjal;[];[]
gangguan hati;gangguan hati;[];[]
gangguan kehamilan;kehamilan;[];[]
gangguan kehamilan;gangguan kehamilan;[];[]
gangguan kehamilan;komplikasi kehamilan;[];[]
gangguan keseimbangan;gangguan keseimbangan;[];[]
gangguan keseimbangan;gangguan keseimbangan hormonal;[];[]
gangguan keseimbangan;gangguan hormonal;[];[]
gangguan kulit;gangguan kulit;[];[]
gangguan memori;gangguan memori;[];[]
gangguan memori;gangguan memori tidur;[];[]
gangguan metabolik;gangguan vaskulo metabolik serebral akut khronik;[];[]
gangguan metabolik;gangguan metabolik;[];[]
gangguan metabolik;gangguan metabolisme;[];[]
gangguan metabolik;gangguan vaskulo metabolik perifer akut khronik;[];[]
gangguan metabolik;gangguan metabolisme otot jantung;[];[]
gangguan muskuloskeletal;gangguan musculoskeletal akut gout akut;[];[]
gangguan muskuloskeletal;gangguan muskulosketal akut;[];[]
gangguan muskuloskeletal;gangguan musculoskeletal akut;[];[]
gangguan muskuloskeletal;gangguan muskuloskeletal akut;[];[]
gangguan panik;gangguan panik;[];[]
gangguan pencernaan;gangguan lambungusus;[];[]
gangguan pencernaan;gangguan saluran cerna;[];[]
gangguan pencernaan;gangguan pencernaan neurogenik;[];[]
gangguan pencernaan;gangguan pencernaan;[];[]
gangguan pencernaan;gangguan pencernaan fungsional;[];[]
gangguan pencernaan;dispepsia gangguan pencernaan neurogenik;[];[]
gangguan pencernaan;gangguan lambung;[];[]
gangguan pencernaan;gangguan pada pencernaan;[];[]
gangguan pencernaan;dispepsiagangguan pencernaan;[];[]
gangguan pendengaran;gangguan pendengaran;[];[]
gangguan peradangan okular;gangguan peradangan okular;[];[]
gangguan pernapasan;gangguan saluran pernafasan akut kronik;[];[]
gangguan pernapasan;gangguan saluran pernafasan kronik;[];[]
gangguan pernapasan;gangguan saluran napa;[];[]
gangguan pernapasan;gangguan saluran pernafasan;[];[]
gangguan pernapasan;gangguan saluran nafas kronis;[];[]
gangguan pernapasan;gangguan saluran napa akut khronik;[];[]
gangguan pernapasan;gangguan pernapasan;[];[]
gangguan pernapasan;gangguan saluran pernafasan disebabkan dahak mukus;[];[]
gangguan pernapasan;gangguan saluran pernafasan akut;[];[]
gangguan pernapasan;gangguan saluran nafas akut;[];[]
gangguan pernapasan;gangguan saluran pernapasan;[];[]
gangguan pernapasan;sekretolitik gangguan saluran napa akut khronik;[];[]
gangguan pernapasan;gangguan saluran pernapasan akut kronik;[];[]
gangguan pernapasan;gangguan saluran nafas khronik;[];[]
gangguan pernapasan;gangguan saluran pernapasan alergi dermatologi serta gangguan inflamasi ocular;[];[]
gangguan pernapasan;gangguan pernafasan akibat rokok;[];[]
gangguan pernapasan;gangguan pernafasan;[];[]
gangguan pernapasan;gangguan saluran nafas akut kronis;[];[]
gangguan pernapasan;gangguan pernapasan akut kronis;[];[]
gangguan pernapasan;gangguan di saluran pernafasan;[];[]
gangguan prostat;gangguan prostat;[];[]
gangguan saluran gastrointestinal;gangguan gi;[];[]
gangguan saluran gastrointestinal;gi;[];[]
gangguan saluran gastrointestinal;gangguan gi mual;[];[]
gangguan saluran kemih;gangguan saluran kemih bagian bawah berhubungan dengan hiperplasia prostat jinak;[];[]
gangguan saluran kemih;gangguan saluran kemih bagian bawah;[];[]
gangguan saraf;gangguan sistem saraf tepi;[];[]
gangguan saraf;gangguan sistem syaraf;[];[]
gangguan saraf;gangguan saraf perifer;[];[]
gangguan saraf;gangguan sistem saraf perifer;[];[]
gangguan saraf;gangguan saraf;[];[]
gangguan serebral;gangguan serebrovaskular;[];[]
gangguan serebral;serebrovaskular;[];[]
gangguan serebral;gangguan serebral;[];[]
gangguan serebral;gejala serebrovaskular;[];[]
gangguan sirkulasi;gangguan sirkulasi serebral vestibular;[];[]
gangguan sirkulasi;gangguan peredaran darah kakivarises;[];[]
gangguan sirkulasi;gangguan sirkulasi darah otak;[];[]
gangguan sirkulasi;gangguan aliran darah;[];[]
gangguan sirkulasi;gangguan peredaran darah kaki;[];[]
gangguan sirkulasi;sirkulasi serebral perifer;[];[]
gangguan sirkulasi;gangguan sirkulasi darah perifer serebral;[];[]
gangguan sirkulasi;gangguan sistem sirkulasi perifer;[];[]
gangguan sirkulasi;gangguan sirkulasi darah pembuluh darah tepi;[];[]
gangguan sirkulasi;gangguan peredaran darah otak;['peredaran darah otak'];['peredaran darah otak']
gangguan sirkulasi;sirkulasi perifer;[];[]
gangguan sirkulasi;gangguan sirkulasi darah perifer;[];[]
gangguan sirkulasi;gangguan peredaran darah perifer;[];[]
gangguan sirkulasi;gangguan sirkulasi serebral otak;[];[]
gangguan sirkulasi;gangguan sirkulasi serebral;[];[]
gangguan sirkulasi;gangguan sirkulasi;[];[]
gangguan sirkulasi;gangguan sirkulasi perifer arteriopati organik;['arteriopati organik'];['arteriopati organik']
gangguan sirkulasi;gangguan sirkulasi perifer;[];[]
gangguan sirkulasi;gangguan peredaran darah serebral perifer;[];[]
gangguan sirkulasi;kelainan sirkulasi perifer serebral;[];[]
gangguan sirkulasi;gangguan sirkulasi serebralpada otak;[];[]
gangguan sirkulasi;gangguan peredaran darah otak perifer;[];[]
gangguan sirkulasi;gangguan peredaran darah;[];[]
gangguan spastik;gangguan spastik;[];[]
gangguan spastik;gangguan spastik saluran genital wanita;[];[]
gangguan spastik;gangguan spastik saluran cerna;[];[]
gangguan spastik;gangguan spastik saluran empedu;[];[]
gangguan spastik;gangguan spastik saluran kemih;[];[]
gangguan tidur;susah tidur;[];[]
gangguan tidur;gangguan tidur;[];[]
gangguan tidur;gangguan ritme tidur;[];[]
gangguan tidur;gangguan irama tidur;[];[]
gangguan tidur;gangguan sulit tidur;[];[]
gangguan tidur;sulit tidur;[];[]
gangguan tropik;gangguan tropik;[];[]
gangguan tropik;gangguan trofik;[];[]
gangguan vestibular;gangguan vestibular;[];[]
gangguan vestibular;gangguan vaskular vestibular;[];[]
gangrene;gangrene;[];[]
gangrene;ganggren;[];[]
gastritis;gastritis kronis;[];[]
gastritis;antasida gastritis;[];[]
gastritis;gastritis alkoholisme khronik;[];[]
gastritis;gastritis;[];[]
gastritis;penuh lambung gastritis;[];[]
gastritis;ulkus gastritis;[];[]
gastritis;gastritis kronik sd 8 minggu;[];[]
gastritis;gastristis;[];[]
gastritis;gastritis tukak lambung tukak usus dua belas jari;[];[]
gastritis;gastritis kronik;[];[]
gastroenteritis;gastroenteritis;[];[]
gastroenteritis;gastroenteritis anak;[];[]
gastroenteritis;gastroenteritis bayi;[];[]
gastroparesis;gastroparesis akut berulang;[];[]
gastroparesis;gastroparesis;[];[]
gastroparesis;gastroparesis akut dan berulang;[];[]
gastroparesis;gastroparesis diabetikum;[];[]
gastroparesis;gastroparesis diabetikum akut berulang;[];[]
gastroparesis;gastroparesis berulang;[];[]
gastroparesis;gastroparesis akut;[];[]
gastroparesis;gastroparesis diabetikum akut rekuren;[];[]
gatal;inflamasi gatal gatal;[];[]
gatal;gatal gatal;[];[]
gatal;gatal kulit;[];[]
gatal;gatalgatal;[];[]
gatal;urtikaria gatal gatal;[];[]
gatal;gatal jamur kulit;[];[]
gatal;gatal;[];[]
gatal;gatalgatal kaki;['gatalgatal selasela jari kaki'];['gatalgatal selasela jari kaki']
gatal;rasa gatal;[];[]
gatal;gatal tidak nyaman vagina;[];[]
gatal;sakit gigi gatal gatal;[];[]
gatal;gatal dengan luka ringan;[];[]
gatal;gatalgatal disebabkan oleh infeksi jamur;[];[]
gatal;gatal2;[];[]
gerd;refluks;[];[]
gerd;esofagitis erosif;[];[]
gerd;simtomatik gerd;[];[]
gerd;refluks gastroesofagus;[];[]
gerd;gerd;[];[]
gerd;refluks esofagitis erosif ulseratif;[];[]
gerd;reflux esophagitis sedang dan berat;[];[]
gerd;reflux;[];[]
gerd;reflux esofagitis erosifulseratif;[];[]
gerd;refluks esofagus;[];[]
gerd;gastroesophageal reflux disease gerd;[];[]
gerd;refluks gastroesofagitis;[];[]
gerd;nonerosive reflux disease;[];[]
gerd;refluks gastroesofagus yang erosif;[];[]
gerd;refluks esofagitis berat;[];[]
gerd;esofagitis erosifulseratif;[];[]
gerd;refluks esofagitis erosif;[];[]
gerd;reflux esofagitis;[];[]
gerd;nonerosive reflux disease nerd;[];[]
gerd;refluks gastroesofagus erosif;[];[]
gerd;gastroesophageal reflux disease;[];[]
gerd;reflux gastroesofagitis;[];[]
gerd;inflamasi esofagus refluks esofagus;[];[]
gerd;gangguan refluks non erosive;[];[]
gerd;reflucks esofagitis;[];[]
gerd;esofageal;[];[]
gerd;rasa panas ulu hatikerongkongan akibat reflux esofagitis;[];[]
gerd;reflucks;[];[]
gerd;reflux esophagitis sedang berat;[];[]
gerd;asofangeal;[];[]
gerd;refluks esofagitis;[];[]
gerd;inflamasi esofagus;[];[]
gerd;esofangeal;[];[]
gerd;refluks esophagitis;[];[]
gerd;refluks esofagitis erosif atau ulseratif;[];[]
gerd;esofagitis berat;[];[]
gerd;refluks esofagitis erosifulseratif;[];[]
giardiasis;giardia;[];[]
giardiasis;giardiasis;[];[]
giardiasis;giardia lambliasis;[];[]
gigi berlubang;gigi berlubang;[];[]
gigitan serangga;gatal akibat digigit serangga;[];[]
gigitan serangga;gigitan nyamukserangga;[];[]
gigitan serangga;serangga;[];[]
gigitan serangga;gatal gatal gigit serangga;[];[]
gigitan serangga;gatalgatal akibat digigit serangga;[];[]
gigitan serangga;gatal gigitan serangga nyamuk;[];[]
gigitan serangga;gatalgatal akibat gigitan serangga atau nyamuk;[];[]
gigitan serangga;gatalgatal akibat gigitan serangga dan nyamuk;[];[]
gigitan serangga;gatal gigitan serangga;[];[]
gigitan serangga;gatalgatal karena gigitan serangga atau nyamuk;[];[]
gigitan serangga;gatalgatal akibat gigitan serangga;[];[]
gigitan serangga;gigitan nyamuk bahkan nyamuk demam berdarah;[];[]
gigitan serangga;gigitan nyamuk  serangga;[];[]
gigitan serangga;gatal karena gigitan serangga;[];[]
gigitan serangga;gatal biang keringet udara panas gigitan serangga;[];[]
gigitan serangga;gatalgatal akibat gigitan serangga nyamuk;[];[]
gigitan serangga;gatalgatal akibat gigitan serangganyamuk;[];[]
gigitan serangga;gatalgatal gigitan serangga;[];[]
gigitan serangga;gatal  gatal gigit serangga;[];[]
gigitan serangga;gatalgatal karena gigitan serangga;[];[]
gigitan serangga;gatal akibat gigitan serangga;[];[]
gigitan serangga;gatal akibat gigitan seranggga;[];[]
gigitan serangga;digigit serangga;[];[]
gigitan serangga;gigitan serangga;[];[]
gigitan serangga;gigitan nyamuk/serangga;[];[]
gigitan serangga;gatal karena biang keringet udara panas gigitan serangga;[];[]
gigitan serangga;gigitan nyamuk;[];[]
gigitan serangga;gatal akibat gigitan nyamukserangga;[];[]
gigitan serangga;gatal gigitan serangga dan nyamuk;[];[]
gigitan serangga;gatalgatal gigitan serangga nyamuk;[];[]
gigitan serangga;gigitan nyamuk serangga;[];[]
glaukoma;glaukoma sudut  terbuka;[];[]
glaukoma;glaukoma sudut terbuka;[];[]
glaukoma;glaukoma sudut terbuka khronis;[];[]
glaukoma;glaukoma sudutterbuka;[];[]
glaukoma;glaukoma sudut terbuka kronis;[];[]
glaukoma;glaukoma;[];[]
glaukoma;glaukoma simplek kronis;[];[]
glaukoma;glukoma;[];[]
glaukoma;glaukoma sudut tertutup;[];[]
glaukoma;glukoma sudut terbuka kronis;[];[]
glaukoma;glaukoma sekunder;[];[]
glaukoma;glaukoma sudut  terbuka khronis;[];[]
glaukoma;glaukoma sudut terbuka hipertensi okular;[];[]
glaukoma;glaukoma sudut  terbuka hipertensi okular;[];[]
glaukoma;aphakic glukoma;[];[]
gonore;gonorrhoea;[];[]
gonore;eritritis pielonefritis gonore;[];[]
gonore;gonorrhoeae;[];[]
gonore;gonorrhea komplikasi;[];[]
gonore;gonorrhea;[];[]
gonore;gonorea;[];[]
gonore;uretritis servisitis gonore;[];[]
gonore;n gonorrhoae;[];[]
gonore;gonorhea yang tidak terkomplikasi infeksi kulit dan jaringan lunak;[];[]
gonore;uretritis non gonore;[];[]
gonore;neisseria gonorrhoea;[];[]
gonore;gonorrhoea acute tidak terkomplikasi;[];[]
gonore;go infeksi;[];[]
gonore;go;[];[]
gonore;uretritis gonore servisitis komplikasi;[];[]
gonore;uretritis gonore;[];[]
gonore;go akut;[];[]
gonore;gonore tidak terkomplikasi;[];[]
gonore;gonorea tanpa komplikasi;[];[]
gonore;gonore akut;[];[]
gonore;gonore;[];[]
gonore;gonorrhoea akut tidak terkomplikasi;[];[]
gonore;gonorrhoea tidak terkomplikasi;[];[]
gonore;n gonorrhoea;[];[]
gonore;gogonorea tanpa komplikasi;[];[]
gonore;gonorhea tidak terkomplikasi infeksi kulit jaringan lunak;[];[]
gonore;gonore komplikasi;[];[]
granuloma inguinale;granuloma inguinale;[];[]
gusi bengkak;gusi bengkak;[];[]
hematoma;hematoma;[];[]
hepatitis;hepatitis virus;[];[]
hepatitis;virus hepatitis b;[];[]
hepatitis;profilaksis infeksi hepatitis;[];[]
hepatitis;hepatitis alkoholik;[];[]
hepatitis;hepatitis;[];[]
hepatitis b;hepatitis b kronik;[];[]
hepatitis b;virus hepatitis b kronik;[];[]
hepatitis b;infeksi virus hepatitis b kronik;[];[]
hernia;hernia;[];[]
hernia;hernia peptik;[];[]
hernia hiatus;hiatus hernia;[];[]
hernia hiatus;hiatus hernis;[];[]
hernia hiatus;hernia hiatus;[];[]
hernia hiatus;hiatus;[];[]
hernia nukleus pulposus;hernia neukleus pulposus;[];[]
herpes;virus herpes;[];[]
herpes;infeksi rekuren herpes labialis;[];[]
herpes;herpes labialis;[];[]
herpes genital (herpes simplex);herpes simplek pada kulit;[];[]
herpes genital (herpes simplex);infeksi herpes simplex pada kulit;[];[]
herpes genital (herpes simplex);infeksi herpes simpleks pada kulit;[];[]
herpes genital (herpes simplex);infeksi rekuren herpes genital;[];[]
herpes genital (herpes simplex);infeksi virus herpes simplex kulit membran mukosa;[];[]
herpes genital (herpes simplex);herpes genital awal rekuren;[];[]
herpes genital (herpes simplex);herpes simplex tipe 1;[];[]
herpes genital (herpes simplex);herpes simplex tipe 1  2;[];[]
herpes genital (herpes simplex);infeksi awal herpes genital;[];[]
herpes genital (herpes simplex);supresi kekambuhan infeksi herpes simplex;[];[]
herpes genital (herpes simplex);herpes simplex tipe 1 2;[];[]
herpes genital (herpes simplex);herpes simplex zoster;[];[]
herpes genital (herpes simplex);herpes simpleks kulit membran mukosa;[];[]
herpes genital (herpes simplex);infeksi virus herpes simpleks kulit membran mukosa;[];[]
herpes genital (herpes simplex);herpes simplek kulit;[];[]
herpes genital (herpes simplex);infeksi virus herpes simpleks kulit selaput lendir;[];[]
herpes genital (herpes simplex);herpes genital awal dan rekuren;[];[]
herpes genital (herpes simplex);herpes simplex tipe 2;[];[]
herpes genital (herpes simplex);herpes genital;[];[]
