standardized_disease;fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf_fuzzy_tfidf_fuzzy_tfidf;list_of_diseases;corrected_list_of_diseases;
demam;demam flu;[];[];
demam;demam sesudah vaksinasi;[];[];
demam;demam q;[];[];
demam;demam paska vaksinasi;[];[];
demam;nyeri demam;[];[];
demam;panas demam;[];[];
demam;demam pasca vaksinasi;[];[];
demam berdarah;demam berdarah;[];[];
demam pada anak;menurunkan demam anak;[];[];
demam pada anak;demam anak;[];[];
demam pada anak;demam anak anak;[];[];
demam pada anak;demam anakanak;[];[];
demam pada anak;demam anak dewasa;[];[];
demam pada anak;demam pada anak;[];[];
demam paratifoid;paratifoid;[];[];
demam paratifoid;demam paratifoid;[];[];
demam scarlet;demam scarlet;[];[];
demam tifoid;demam tifoid;[];[];
dermatitis;dermatitis terinfeksi;[];[];
dermatitis;exfoliative dermatitis;[];[];
dermatitis;dermatitis disertai infeksi;[];[];
dermatitis;dermatitis komplikasi infeksi bakterial;[];[];
dermatitis;dermatitis ekzematoid terinfeksi;[];[];
dermatitis;dermatitis dengan komplikasi infeksi bakterial;[];[];
dermatitis;dermatitis terinfeksi bisul;[];[];
dermatitis;dermatitis eksfoliatif;[];[];
dermatitis;dermatitis lainnya;[];[];
dermatitis;eksim dermatitis;[];[];
dermatitis;dermatitis;[];[];
dermatitis;dermatositosis;[];[];
dermatitis;dermatitis alergi;[];[];
dermatitis;dermatitis akut;[];[];
dermatitis;dermatofitosis;[];[];
dermatitis;pruritik dermatitis;[];[];
dermatitis;dermatitis ekzematous;[];[];
dermatitis atopik;dermatitis atopik alergi herediterketurunan;[];[];
dermatitis atopik;atopic dermatitis;[];[];
dermatitis atopik;dermatitis atopik kontak;[];[];
dermatitis atopik;kulit bersisik;[];[];
dermatitis atopik;dermatitis kontak atopik;[];[];
dermatitis atopik;dermatitis atopik;[];[];
dermatitis atopik;kulit bersisik psoriasis dermatitis atopik;[];[];
dermatitis atopik;dermatitis kontak maupun atopik;[];[];
dermatitis atopik;dermatitis atopic;[];[];
dermatitis kontak;dermatitis kontak jenis dermatitis;[];[];
dermatitis kontak;contact dermatitis;[];[];
dermatitis kontak;dermatitis kontak;[];[];
dermatitis kontak;dermatitis akut kronik;[];[];
dermatitis kontak;dermatitis kronik;[];[];
dermatitis seboroik;dermatitis seboroik;[];[];
dermatitis seboroik;demartitis sebaroik ringan;[];[];
dermatitis seboroik;seborrhoeic dermatitis;[];[];
dermatitis seboroik;seboroik;[];[];
dermatomikosis;dermatomikosis;[];[];
dermatomiositis;dermatomiositis;[];[];
dermatomiositis;dermatomiosis;[];[];
dermatosis;dermatosis bakterial mikotik;[];[];
dermatosis;dermatosis responsif;[];['dermatosis dengan disertai infeksi sekunder'];
dermatosis;dermatosis mikotik;[];[];
dermatosis;inflamasi dermatosis;[];[];
dermatosis;dermatosis bakterial;[];[];
dermatosis;inflamasi dermatosis reponsif kortikosteroid;[];[];
dermatosis;dermatosis lain;[];[];
dermatosis;dermatosis alergi;[];[];
dermatosis;seluruh dermatosis responsif;[];[];
dermatosis;sermatosis;[];[];
dermatosis;dermatosis sensitif kortikosteroid;[];[];
dermatosis;dermatosis alergi inflamasi;[];[];
dermatosis;dermatosis responsif terhadap kortikosteroid;['dermatosis responsif terhadap kortikosteroid dengan komplikasi infeksi sekunder', 'sermatosis responsif terhadap kortikosteroid'];['dermatosis responsif terhadap kortikosteroid dengan komplikasi infeksi sekunder', 'sermatosis responsif terhadap kortikosteroid'];
dermatosis;dermatosis;['nyeri radanginflamasi dermatosis'];[];
dermatosis;dermatosis lebih resisten;[];[];
dermatosis;dermatosis resisten;['resisten berat'];[];
dermatosis;dermatosis responsif kortikosteroid;['inflamasi gejala pruritus dermatosis responsif kortikosteroid', 'kortikosteroid', 'inflamasi dermatosis responsif kortikosteroid terkomplikasi infeksi sekunder disebabkan organisme rentan neomisin', 'penyakit kulit responsif kortikosteroid', 'gangguan mata responsif kortikosteroid'];[];
diabetes;diabetik gastroparesis berulang;[];[];
diabetes;diabetes;[];[];
diabetes;diabetes melitus;[];[];
diabetes;non insulin dependent diabetes mellitus;['non insulin dependent type ii'];['non insulin dependent type ii'];
diabetes;insulin dependent diabetes mellitus;[];[];
diabetes;paresis;[];[];
diabetes;non insulin dependent diabetic mellitus;[];[];
diabetes;diabetik;[];[];
diabetes;diabetik gastroparesis akut;[];[];
diabetes;diabetes mellitus;[];[];
diabetes;diabetes obesitas;[];[];
diabetes;diabetik gastro paresis akut;[];[];
diabetes tipe 1;diabetes tipe 1;[];[];
diabetes tipe 1;diabetes tipe - 1;[];[];
diabetes tipe 1;diabetes melitus tipe  1;[];[];
diabetes tipe 2;diabetes tipe - 2;[];[];
diabetes tipe 2;diabetes melitus tipe 2;[];[];
diabetes tipe 2;diabetes melitus tipe  2;[];[];
diabetes tipe 2;diabetes tipe 2 terkontrol;[];[];
diabetes tipe 2;diabetes miletus tipe 2;[];[];
diabetes tipe 2;dm tipe  2;[];[];
diabetes tipe 2;tipe 2;[];[];
diabetes tipe 2;pasien dm tipe 2;[];[];
diabetes tipe 2;diabetes tipe 2;[];[];
diabetes tipe 2;diabetes mellitus tipe 2;[];[];
diabetes tipe 2;diabetes melitus tipe 1;[];[];
diabetes tipe 2;dmt2;[];[];
diabetes tipe 2;dm tipe 2;[];[];
diare;diare e coli;[];[];
diare;ecoli;[];[];
diare;diare non  spesifik;[];[];
diare;diare e  coli;[];[];
diare;diare staph;[];[];
diare;diare ecoli;[];[];
diare;diare non spesifik;[];[];
diare;diare akut non spesifik kronik;[];[];
diare;diare mencret;[];[];
diare;mencret;[];[];
diare;diare nonspesifik;[];[];
diare;diare karena kuman e coli dan staph kolopati spesifik dan non spesifik pada dewasa dan anak;[];[];
diare;diare kronis;[];[];
diare;diare kronik;[];[];
diare;diare kuman e coli staph kolopati spesifik non spesifik dewasa anak;['kolopati spesifik nonspesifik'];[];
diare;diare akut kronik;[];[];
diare;diare anak;[];[];
diare;diare akut non spesifik;[];[];
diare;diare;[];[];
diare;diare akut;[];[];
difteri;difteri;[];[];
difteri;difteri faringeal;[];[];
discoid;discoid;[];[];
discoid;dsikoid;[];[];
discoid;ekzema diskoid;[];[];
discoid;diskoid;[];[];
discoid;diskoid lupus eritemmantosus;[];[];
disentri;enterokolitis disentri basiler akibat bakteri gram negatif;[];[];
disentri;paratifoid disentri basiler;[];[];
disentri;disentri basil;[];[];
disentri;disentri;[];[];
disentri;disentri basiler;[];[];
disfungsi ereksi;disfungsi ereksi;[];[];
disfungsi ovulasi;gangguan ovulasi;[];[];
disfungsi ovulasi;disovulasi;[];[];
disfungsi ovulasi;disfungsi ovulasi;[];[];
dislipidemia;dislipidemia campuran tipe iib;[];[];
dislipidemia;dislipidemia;[];[];
dislipidemia;dislipidemia campuran;[];[];
dislipidemia;dislipidemia campuran fredrickson tipe iia iib;[];[];
dismenore;dismenorea primer;[];['kram saat menstruasi'];
dismenore;disumenore;[];[];
dismenore;nyeri haid dismenore primer;[];[];
dismenore;dismenore primer;[];[];
dismenore;nyeri dismenore;[];[];
dismenore;dismenore;[];[];
dismenore;dismenore nyeri haid;[];[];
dismenore;dismenor primer;[];[];
dismenore;nyeri waktu haid;[];[];
dismenore;haid;[];[];
dismenore;nyeri haid dysmenorrhea primer;[];[];
dismenore;sakit haid;[];[];
dismenore;dismenore nyeri saat haid;[];[];
dismenore;nyeri dismenore primer;[];[];
dismenore;keram saat haid;[];[];
dismenore;dysmenorrhea primer;[];[];
dismenore;nyeri haid primer;[];[];
dismenore;dismenorea;[];[];
dismenore;nyeri haid;[];[];
dismenore;disenore;[];[];
dismenore;dismenore pasca operasi;[];[];
dismenore;dysmenorrhea;[];[];
dismenore;disenore nyeri haid;[];[];
edema;edema inflamasi;[];[];
edema;edema gagal jantung kongestif;[];[];
edema;edema asites;[];[];
edema;edema;[];[];
edema;edema akibat chf;[];[];
ejakulasi dini;ejakulasi dini;[];[];
eksaserbasi;eksaserbasi akut;[];[];
eksaserbasi;exaserbasi akut;[];[];
eksaserbasi;eksaserbasi bakteri akut;[];[];
eksaserbasi;eksaserbasi;['infeksi eksaserbasi kambuhnya'];['infeksi eksaserbasi kambuhnya'];
eksaserbasi;eksasaerbasi akut;[];[];
eksaserbasi;ekarserbasi akut;[];[];
eksim;ekzim terutama anak;[];[];
eksim;ecsema;[];[];
eksim;eksim rekalsitran;[];[];
eksim;eczema;[];[];
eksim;ekzema terinfeksi;[];[];
eksim;ekzema stasis;['stasis'];[];
eksim;eksema;[];[];
eksim;eksim rekalsitrans;[];[];
eksim;eksim;[];[];
eksim;eksem;[];[];
eksim;ekzim;[];[];
eksim;ekzema bernanah;[];[];
eksim;eksma;[];[];
eksim;ekzem resisten;[];[];
eksim;ekzema rekalsitran;[];[];
eksim;ekzema;[];[];
eksim;ekzema infantil;['infantil'];[];
eksim;ekzema atopik;[];[];
eksim;eksema rekalsitrans;[];[];
eksim;ekzema resisten;['ekzema membandel resisten'];['ekzema membandel resisten'];
ekstremitas dingin;ekstremitas teraba dingin;[];[];
ekstremitas dingin;ekstremitas dingin;['obstruksi ekstremitas'];[];
ekstremitas dingin;extremitastangankaki dingin;[];[];
emboli;embolus sistemik;[];[];
emboli;embolus paru;[];[];
emboli;emboli;[];[];
emboli;emboli serebral;[];[];
emfisema;emfisema paru;[];[];
emfisema;emfisema gangguan bronkhopulmoner;[];[];
emfisema;ppok emfisema dengan bronkitis bronkitis kronis bronkiektasi;[];[];
emfisema;pulmonari emfisema;[];[];
emfisema;emfisema;[];[];
emfisema;emfisema penyakit paru komplikasi bronkhospasme;[];[];
emfisema;enfisema;[];[];
emfisema;gangguan bronkhopulmoner;[];[];
emfisema;emphysema;[];[];
emfisema;batuk emphysema;[];[];
emfisema;emfisema dengan bronkitis;[];[];
empiema;emfiema;[];[];
endokarditis;endokarditis;[];[];
endometriosis;endometriosis;[];[];
endometritis;endometritis;[];[];
ensefalitis;toksoplasmik ensefalitis;[];[];
ensefalitis;ensefalitis;[];[];
ensefalopati;portal sistemik;[];[];
ensefalopati;ensefalopati portal;[];[];
ensefalopati;encephalopathy;[];[];
ensefalopati;ensefalopati portal sistemik kronik;[];[];
ensefalopati;ensefalopati portal  sistemik;[];[];
ensefalopati;sistemik ensepalopati;[];[];
ensefalopati;portal systemic encephalopathy;[];[];
ensefalopati;ensefalopati;[];[];
ensefalopati;ensefalopati portalsistemik;[];[];
ensefalopati;ensefalopati portal sistemik;[];[];
epididimitis;epididimitis;[];[];
epididimo-orkitis;epididimo-orkitis;[];[];
epididimo-orkitis;epididimo orkitis;[];[];
epididimoorkitis;epididimoorkitis;[];[];
episkleritis;episkleritis;[];[];
episkleritis;episcleritis;[];[];
episkleritis;episklerit;[];[];
eritritis;eritritis;[];[];
erosi kornea;erosi kornea;[];[];
erosi lambung;erosi lambung;[];[];
esofagitis;eosifagitis;[];[];
esofagitis;peptik eosifagitis;[];[];
esofagitis;esofagitis;[];[];
esofagitis;esophagitis;[];[];
esofagitis;peptik esofagitis;[];[];
faringitis;faringitis;[];[];
faringitis;pharingitis;[];[];
faringotonsilitis;faringitis tonsilitis;[];[];
faringotonsilitis;faringotonsilitis;[];[];
faringotonsilitis;faringotosilitis;[];[];
faringotonsilitis;faringitis tonsilitis streptokokus;[];[];
fatigue;fatig lelah;[];['rasa lelahlesu akibat selesma penyakit virus lainnya', 'fatigue'];
fistula ani;fistula;['prolaps anus fistula'];[];
fistula ani;fistula ani;[];[];
fisura ani;fisura anal superfisial;[];[];
fisura ani;fisura ani;[];[];
fisura ani;fisura anal;[];[];
flek;flek hitam;[];[];
flek;flek;[];[];
flek;flek kanker paru paru;[];[];
flu;influenza dewasa;[];[];
flu;flu anak orang dewasa;[];[];
flu;virus influenza tipe a atau b;[];[];
flu;flu disertai batuk kering;[];[];
flu;demam influensa;[];[];
flu;infeksi virus influenza tipe a;[];[];
flu;flu influensa;[];[];
flu;virus influenza tipe a b;[];[];
flu;infuenza;[];[];
flu;flu seperti demam;[];[];
flu;flu pada anak dan orang dewasa;[];[];
flu;influenza a;[];[];
flu;virus influenza b;[];[];
flu;flu demam;[];[];
flu;influenza tipe b;[];[];
flu;influensa demam;[];[];
flu;h influenza;[];[];
flu;h influenzae;['h influenzae terutama meningokokus'];['h influenzae terutama meningokokus'];
flu;h influenzae infeksi meningen;[];[];
flu;influenza anak;[];[];
flu;h influenzae infeksi meningeal;[];[];
flu;gejala flu;['gejala kongesti berhubungan flu asma'];['gejala kongesti berhubungan flu asma'];
flu;influensa;[];[];
flu;fluinfluensa;[];[];
flu;virus influenza tipe a;[];[];
flu;influenza;[];[];
flu;hinfluenzae;[];[];
flu;infeksi h influenzae;[];[];
flu;influenza tipe a;[];[];
flu;virus influenza c;[];[];
flu;virus influenza a;[];[];
flu;flu pilek;[];[];
flu;flu;[];[];
flu;haemophyllus influenza;[];[];
flu;infeksi virus influenza tipe b;[];[];
flu burung;flu burung;[];[];
folikulitis;folikulitis superfisialis;[];[];
folikulitis;folikulitis superfisial;[];[];
folikulitis;folikulitis;[];[];
folikulitis;falikulitis superfisialis;[];[];
folikulitis;folikulitis barbae;[];[];
furunculosis;furunculosis;[];[];
furunculosis;furunkulosis;[];[];
furunculosis;furunkuloris;[];[];
gagal ginjal akut;gagal ginjal;[];[];
gagal ginjal akut;insufisiensi ginjal;[];[];
gagal ginjal akut;gagal ginjal akut;[];[];
gagal ginjal kronis;gagal ginjal akut kronik;[];[];
gagal ginjal kronis;gangguan ginjal khronik;[];[];
gagal ginjal kronis;pasien gagal ginjal khronik;[];[];
gagal ginjal kronis;insufisiensi ginjal kronik;[];[];
gagal ginjal kronis;insufisiensi ginjal khronik;[];[];
gagal ginjal kronis;gagal ginjal khronis;[];[];
gagal ginjal kronis;gagal ginjal kronik;[];[];
gagal jantung;masalah jantung;['masalah mental'];[];
gagal jantung;infeksi jantung;[];[];
gagal jantung;gagal jantung kronik;[];[];
gagal jantung;gagal jantung kongesti;[];[];
gagal jantung;gagal jantung kongestif;[];[];
gagal jantung;gagal jantung;[];[];
gagal jantung;gangguan jantung;[];[];
gangguan endokrin;gangguan endokrin;[];[];
gangguan ginjal;gangguan ginjal prostat;[];[];
gangguan ginjal;gangguan ginjal;[];[];
gangguan hati;gangguan hati;['kesehatan hati', 'nyeri ulu hati'];[];
gangguan kehamilan;kehamilan;[];[];
gangguan kehamilan;gangguan kehamilan;[];[];
gangguan kehamilan;komplikasi kehamilan;[];[];
gangguan keseimbangan;gangguan keseimbangan;[];[];
gangguan keseimbangan;gangguan keseimbangan hormonal;[];[];
gangguan keseimbangan;gangguan hormonal;[];[];
gangguan kulit;gangguan kulit;[];[];
gangguan memori;gangguan memori;[];[];
gangguan memori;gangguan memori tidur;[];[];
gangguan metabolik;gangguan metabolisme otot jantung;[];[];
gangguan metabolik;gangguan metabolisme;[];[];
gangguan metabolik;gangguan metabolik;[];[];
gangguan metabolik;gangguan vaskulo metabolik perifer akut khronik;[];[];
gangguan metabolik;gangguan vaskulo metabolik serebral akut khronik;[];[];
gangguan muskuloskeletal;gangguan muskuloskeletal akut;[];[];
gangguan muskuloskeletal;gangguan muskulosketal akut;[];[];
gangguan muskuloskeletal;gangguan musculoskeletal akut;[];[];
gangguan muskuloskeletal;gangguan musculoskeletal akut gout akut;[];[];
gangguan panik;gangguan panik;[];[];
gangguan pencernaan;gangguan pencernaan fungsional;['gangguan statik fungsional tulang'];[];
gangguan pencernaan;gangguan pada pencernaan;[];[];
gangguan pencernaan;gangguan lambung;[];[];
gangguan pencernaan;gangguan lambungusus;[];[];
gangguan pencernaan;dispepsiagangguan pencernaan;[];[];
gangguan pencernaan;gangguan pencernaan;[];[];
gangguan pencernaan;dispepsia gangguan pencernaan neurogenik;['dispepsia'];['dispepsia'];
gangguan pencernaan;gangguan pencernaan neurogenik;[];[];
gangguan pencernaan;gangguan saluran cerna;[];[];
gangguan pendengaran;gangguan pendengaran;[];[];
gangguan peradangan okular;gangguan peradangan okular;[];[];
gangguan pernapasan;gangguan saluran pernapasan;[];[];
gangguan pernapasan;gangguan saluran pernafasan akut kronik;[];[];
gangguan pernapasan;sekretolitik gangguan saluran napa akut khronik;['sekretolitik'];['sekretolitik'];
gangguan pernapasan;gangguan saluran pernafasan kronik;[];[];
gangguan pernapasan;gangguan saluran napa;[];[];
gangguan pernapasan;gangguan di saluran pernafasan;[];[];
gangguan pernapasan;gangguan saluran pernafasan;[];[];
gangguan pernapasan;gangguan saluran pernafasan akut;[];[];
gangguan pernapasan;gangguan saluran pernapasan akut kronik;[];[];
gangguan pernapasan;gangguan pernafasan akibat rokok;[];[];
gangguan pernapasan;gangguan saluran nafas akut kronis;[];[];
gangguan pernapasan;gangguan pernapasan;[];[];
gangguan pernapasan;gangguan saluran nafas akut;[];[];
gangguan pernapasan;gangguan saluran nafas kronis;[];[];
gangguan pernapasan;gangguan pernapasan akut kronis;[];[];
gangguan pernapasan;gangguan saluran nafas khronik;[];[];
gangguan pernapasan;gangguan saluran pernafasan disebabkan dahak mukus;[];[];
gangguan pernapasan;gangguan saluran pernapasan alergi dermatologi serta gangguan inflamasi ocular;[];[];
gangguan pernapasan;gangguan saluran napa akut khronik;[];[];
gangguan pernapasan;gangguan pernafasan;[];[];
gangguan prostat;gangguan prostat;[];[];
gangguan saluran gastrointestinal;gangguan gi mual;[];[];
gangguan saluran gastrointestinal;gangguan gi;[];[];
gangguan saluran gastrointestinal;gi;[];[];
gangguan saluran kemih;gangguan saluran kemih bagian bawah;[];[];
gangguan saluran kemih;gangguan saluran kemih bagian bawah berhubungan dengan hiperplasia prostat jinak;[];[];
gangguan saraf;gangguan saraf perifer;[];[];
gangguan saraf;gangguan sistem saraf tepi;[];[];
gangguan saraf;gangguan saraf;['gangguan faal saraf wajah'];['gangguan faal saraf wajah'];
gangguan saraf;gangguan sistem saraf perifer;[];[];
gangguan saraf;gangguan sistem syaraf;[];[];
gangguan serebral;gangguan serebrovaskular;[];[];
gangguan serebral;serebrovaskular;[];[];
gangguan serebral;gejala serebrovaskular;[];[];
gangguan serebral;gangguan serebral;['periferal serebral', 'serebral periferal', 'vasospasme serebral'];['periferal serebral', 'serebral periferal', 'vasospasme serebral'];
gangguan sirkulasi;gangguan peredaran darah kakivarises;[];[];
gangguan sirkulasi;sirkulasi perifer;[];[];
gangguan sirkulasi;gangguan peredaran darah otak perifer;[];[];
gangguan sirkulasi;gangguan sirkulasi;[];[];
gangguan sirkulasi;gangguan peredaran darah otak;[];[];
gangguan sirkulasi;gangguan peredaran darah perifer;[];[];
gangguan sirkulasi;sirkulasi serebral perifer;[];[];
gangguan sirkulasi;arteriopati organik;[];[];
gangguan sirkulasi;gangguan sirkulasi serebralpada otak;[];[];
gangguan sirkulasi;gangguan sistem sirkulasi perifer;[];[];
gangguan sirkulasi;gangguan sirkulasi serebral;[];[];
gangguan sirkulasi;gangguan peredaran darah kaki;[];[];
gangguan sirkulasi;gangguan sirkulasi perifer;[];[];
gangguan sirkulasi;peredaran darah otak;[];[];
gangguan sirkulasi;gangguan sirkulasi darah perifer serebral;[];[];
gangguan sirkulasi;gangguan sirkulasi serebral vestibular;[];[];
gangguan sirkulasi;gangguan sirkulasi perifer arteriopati organik;[];[];
gangguan sirkulasi;gangguan peredaran darah serebral perifer;[];[];
gangguan sirkulasi;gangguan sirkulasi darah pembuluh darah tepi;[];[];
gangguan sirkulasi;gangguan sirkulasi darah otak;[];[];
gangguan sirkulasi;gangguan aliran darah;['ulkus luka akibat aliran darah arteri'];[];
gangguan sirkulasi;kelainan sirkulasi perifer serebral;[];[];
gangguan sirkulasi;gangguan sirkulasi serebral otak;[];[];
gangguan sirkulasi;gangguan peredaran darah;[];[];
gangguan sirkulasi;gangguan sirkulasi darah perifer;['membantu sirkulasi darah'];['membantu sirkulasi darah'];
gangguan spastik;gangguan spastik saluran empedu;[];[];
gangguan spastik;gangguan spastik saluran cerna;[];[];
gangguan spastik;gangguan spastik;[];[];
gangguan spastik;gangguan spastik saluran kemih;[];[];
gangguan spastik;gangguan spastik saluran genital wanita;[];[];
gangguan tidur;susah tidur;['susah bab'];[];
gangguan tidur;sulit tidur;['sulit konsentrasi'];[];
gangguan tidur;gangguan ritme tidur;[];[];
gangguan tidur;gangguan irama tidur;[];[];
gangguan tidur;gangguan sulit tidur;[];[];
gangguan tidur;gangguan tidur;[];[];
gangguan tropik;gangguan trofik;[];[];
gangguan tropik;gangguan tropik;[];[];
gangguan vestibular;gangguan vestibular;[];[];
gangguan vestibular;gangguan vaskular vestibular;[];[];
gangrene;gangrene;[];[];
gangrene;ganggren;[];[];
gastritis;gastritis kronik sd 8 minggu;[];[];
gastritis;gastritis alkoholisme khronik;[];[];
gastritis;ulkus gastritis;[];[];
gastritis;gastristis;[];[];
gastritis;gastritis;[];[];
gastritis;gastritis kronik;[];[];
gastritis;penuh lambung gastritis;[];[];
gastritis;antasida gastritis;[];[];
gastritis;gastritis tukak lambung tukak usus dua belas jari;[];[];
gastritis;gastritis kronis;[];[];
gastroenteritis;gastroenteritis;[];[];
gastroenteritis;gastroenteritis bayi;[];[];
gastroenteritis;gastroenteritis anak;[];[];
gastroparesis;gastroparesis akut berulang;[];[];
gastroparesis;gastroparesis akut;[];[];
gastroparesis;gastroparesis diabetikum akut berulang;[];[];
gastroparesis;gastroparesis berulang;[];[];
gastroparesis;gastroparesis;[];[];
gastroparesis;gastroparesis diabetikum;[];[];
gastroparesis;gastroparesis akut dan berulang;[];[];
gastroparesis;gastroparesis diabetikum akut rekuren;[];[];
gatal;gatal dengan luka ringan;[];[];
gatal;gatalgatal sela jari selangkangan;['gatalgatal selangkangan paha'];['gatalgatal selangkangan paha','gatal daerah anogenital'];
gatal;gatal kulit;[];[];
gatal;gatalgatal selasela jari kaki;['penyakit kulit selasela jari'];['penyakit kulit selasela jari'];
gatal;gatalgatal;[];[];
gatal;urtikaria gatal gatal;[];[];
gatal;gatal gatal;[];[];
gatal;rasa gatal;[];[];
gatal;sakit gigi gatal gatal;[];[];
gatal;gatalgatal kaki;[];[];
gatal;inflamasi gatal gatal;[];[];
gatal;gatalgatal disebabkan oleh infeksi jamur;[];[];
gatal;gatal2;[];[];
gatal;gatal tidak nyaman vagina;[];[];
gatal;gatal jamur kulit;[];[];
gatal;gatal;['gatal rektal'];['gatal rektal'];
gerd;inflamasi esofagus refluks esofagus;[];[];
gerd;refluks esofagitis erosif ulseratif;['ulseratif'];[];
gerd;refluks gastroesofagitis;[];[];
gerd;refluks esofagitis erosif atau ulseratif;[];[];
gerd;refluks esofagitis erosif;[];[];
gerd;reflux esophagitis sedang berat;[];[];
gerd;reflux gastroesofagitis;[];[];
gerd;refluks esofagitis;[];[];
gerd;refluks esofagus;[];[];
gerd;reflux esofagitis;[];[];
gerd;refluks esofagitis berat;[];[];
gerd;refluks gastroesofagus;[];[];
gerd;refluks gastroesofagus erosif;[];[];
gerd;refluks gastroesofagus yang erosif;[];[];
gerd;reflux esofagitis erosifulseratif;[];[];
gerd;simtomatik gerd;[];[];
gerd;gastroesophageal reflux disease;[];[];
gerd;gerd;[];[];
gerd;reflux esophagitis sedang dan berat;[];[];
gerd;inflamasi esofagus;[];[];
nerd;nonerosive reflux disease nerd;['nerd'];['nerd'];
nerd;nonerosive reflux disease;[];[];
gerd;refluks esofagitis erosifulseratif;[];[];
nerd;gangguan refluks non erosive;[];[];
gerd;gastroesophageal reflux disease gerd;[];[];
gerd;reflucks esofagitis;[];[];
gerd;esofagitis erosif;[];[];
gerd;refluks esophagitis;[];[];
gerd;esofagitis erosifulseratif;[];[];
giardiasis;giardiasis;[];[];
giardiasis;giardia;[];[];
giardiasis;giardia lambliasis;[];[];
gigi berlubang;gigi berlubang;[];[];
gigitan serangga;gatalgatal akibat gigitan serangga;[];[];
gigitan serangga;gatalgatal gigitan serangga nyamuk;[];[];
gigitan serangga;gatal akibat digigit serangga;[];[];
gigitan serangga;gatal akibat gigitan serangga;[];[];
gigitan serangga;gatal gigitan serangga dan nyamuk;[];[];
gigitan serangga;gatal gigitan serangga;[];[];
gigitan serangga;gatal karena biang keringet udara panas gigitan serangga;[];[];
gigitan serangga;gigitan nyamuk bahkan nyamuk demam berdarah;[];[];
gigitan serangga;digigit serangga;[];[];
gigitan serangga;gatalgatal akibat gigitan serangga atau nyamuk;[];[];
gigitan serangga;gatalgatal karena gigitan serangga atau nyamuk;[];[];
gigitan serangga;gatalgatal akibat gigitan serangga dan nyamuk;[];[];
gigitan serangga;gigitan nyamuk/serangga;[];[];
gigitan serangga;gatalgatal akibat gigitan serangganyamuk;[];[];
gigitan serangga;serangga;[];[];
gigitan serangga;gatalgatal gigitan serangga;[];[];
gigitan serangga;gatal gigitan serangga nyamuk;[];[];
gigitan serangga;gatal akibat gigitan nyamukserangga;[];[];
gigitan serangga;gigitan nyamuk  serangga;[];[];
gigitan serangga;gigitan nyamukserangga;[];[];
gigitan serangga;gatal gatal gigit serangga;[];[];
gigitan serangga;gigitan nyamuk serangga;[];[];
gigitan serangga;gatal  gatal gigit serangga;[];[];
gigitan serangga;gigitan serangga;[];[];
gigitan serangga;gatalgatal akibat gigitan serangga nyamuk;[];[];
gigitan serangga;gatalgatal akibat digigit serangga;[];[];
gigitan serangga;gatal akibat gigitan seranggga;[];[];
gigitan serangga;gatal karena gigitan serangga;[];[];
gigitan serangga;gatalgatal karena gigitan serangga;[];[];
gigitan serangga;gatal biang keringet udara panas gigitan serangga;[];[];
gigitan serangga;gigitan nyamuk;[];[];
glaukoma;glaukoma sudut terbuka kronis;[];[];
glaukoma;glukoma;[];[];
glaukoma;glaukoma;[];[];
glaukoma;glaukoma sudut  terbuka khronis;[];[];
glaukoma;glaukoma sekunder;[];[];
glaukoma;glaukoma sudut tertutup;[];[];
glaukoma;glaukoma sudut  terbuka;[];[];
glaukoma;aphakic glukoma;[];[];
glaukoma;glaukoma simplek kronis;[];[];
glaukoma;glaukoma sudut terbuka khronis;[];[];
glaukoma;glaukoma sudutterbuka;[];[];
glaukoma;glaukoma sudut terbuka;[];[];
glaukoma;glukoma sudut terbuka kronis;[];[];
glaukoma;glaukoma sudut  terbuka hipertensi okular;[];[];
glaukoma;glaukoma sudut terbuka hipertensi okular;[];[];
gonore;gonorea tanpa komplikasi;[];[];
gonore;eritritis pielonefritis gonore;[];[];
gonore;gonorrhoea;[];[];
gonore;uretritis gonore servisitis komplikasi;[];[];
gonore;uretritis non gonore;[];[];
gonore;gonorrhoea tidak terkomplikasi;[];[];
gonore;uretritis servisitis gonore;[];[];
gonore;go infeksi;[];[];
gonore;gogonorea tanpa komplikasi;[];[];
gonore;gonorrhoea acute tidak terkomplikasi;[];[];
gonore;neisseria gonorrhoea;[];[];
gonore;gonorrhoea akut tidak terkomplikasi;[];[];
gonore;n gonorrhoea;[];[];
gonore;gonorrhea;[];[];
gonore;go akut;[];[];
gonore;gonore tidak terkomplikasi;[];[];
gonore;n gonorrhoae;[];[];
gonore;gonore;[];[];
gonore;gonore akut;[];[];
gonore;gonore komplikasi;[];[];
gonore;uretritis gonore;[];[];
gonore;gonorrhoeae;[];[];
gonore;gonorhea yang tidak terkomplikasi infeksi kulit dan jaringan lunak;[];[];
gonore;gonorea;[];[];
gonore;gonorhea tidak terkomplikasi infeksi kulit jaringan lunak;[];[];
gonore;go;[];[];
gonore;gonorrhea komplikasi;[];[];
granuloma inguinale;granuloma inguinale;[];[];
gusi bengkak;gusi bengkak;[];[];
hematoma;hematoma;[];[];
hepatitis;hepatitis;[];[];
hepatitis;virus hepatitis b;[];[];
hepatitis;profilaksis infeksi hepatitis;[];[];
hepatitis;hepatitis alkoholik;[];[];
hepatitis;hepatitis virus;[];[];
hepatitis b;hepatitis b kronik;[];[];
